time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-11T08:00:00.0000000Z,2021-08-11T08:15:00.0000000Z,2021-08-11T08:09:15.5950000Z,2021-08-11T08:14:59.9500000Z,1.3673,1.3674,1.28,1.3347,647706.9,1601
2021-08-11T08:15:00.0000000Z,2021-08-11T08:30:00.0000000Z,2021-08-11T08:15:02.2500000Z,2021-08-11T08:29:57.9400000Z,1.3345,1.4115,1.27,1.34,1700542.1,6723
2021-08-11T08:30:00.0000000Z,2021-08-11T08:45:00.0000000Z,2021-08-11T08:30:00.0880000Z,2021-08-11T08:44:58.8920000Z,1.34,1.37,1.2974,1.3301,872284.9,2929
2021-08-11T08:45:00.0000000Z,2021-08-11T09:00:00.0000000Z,2021-08-11T08:45:00.7110000Z,2021-08-11T08:59:55.0830000Z,1.33,1.3345,1.31,1.3181,348567.8,1312
2021-08-11T09:00:00.0000000Z,2021-08-11T09:15:00.0000000Z,2021-08-11T09:00:07.2060000Z,2021-08-11T09:14:59.7360000Z,1.3181,1.4437,1.3181,1.418,1119809.6,5117
2021-08-11T09:15:00.0000000Z,2021-08-11T09:30:00.0000000Z,2021-08-11T09:15:00.1430000Z,2021-08-11T09:29:59.7710000Z,1.4181,1.48,1.34,1.36,1187367.5,5216
2021-08-11T09:30:00.0000000Z,2021-08-11T09:45:00.0000000Z,2021-08-11T09:30:02.1510000Z,2021-08-11T09:44:58.9950000Z,1.36,1.3807,1.315,1.33,421939.0,1814
2021-08-11T09:45:00.0000000Z,2021-08-11T10:00:00.0000000Z,2021-08-11T09:45:02.2210000Z,2021-08-11T09:59:55.7640000Z,1.3301,1.37,1.3201,1.34,230802.9,1262
2021-08-11T10:00:00.0000000Z,2021-08-11T10:15:00.0000000Z,2021-08-11T10:00:02.7680000Z,2021-08-11T10:14:59.6450000Z,1.34,1.3603,1.3178,1.3239,372624.3,1174
2021-08-11T10:15:00.0000000Z,2021-08-11T10:30:00.0000000Z,2021-08-11T10:15:02.5840000Z,2021-08-11T10:29:45.5350000Z,1.3273,1.348,1.32,1.3384,204170.7,1083
2021-08-11T10:30:00.0000000Z,2021-08-11T10:45:00.0000000Z,2021-08-11T10:30:02.9660000Z,2021-08-11T10:44:59.2860000Z,1.3383,1.3699,1.3295,1.348,315593.3,1313
2021-08-11T10:45:00.0000000Z,2021-08-11T11:00:00.0000000Z,2021-08-11T10:45:04.8050000Z,2021-08-11T10:59:56.2070000Z,1.3485,1.35,1.3301,1.34,152212.1,813
2021-08-11T11:00:00.0000000Z,2021-08-11T11:15:00.0000000Z,2021-08-11T11:00:01.9390000Z,2021-08-11T11:14:59.9430000Z,1.3385,1.34,1.313,1.3201,195251.7,759
2021-08-11T11:15:00.0000000Z,2021-08-11T11:30:00.0000000Z,2021-08-11T11:15:00.4570000Z,2021-08-11T11:29:58.9050000Z,1.3201,1.3229,1.3,1.3015,229342.0,814
2021-08-11T11:30:00.0000000Z,2021-08-11T11:45:00.0000000Z,2021-08-11T11:30:00.0950000Z,2021-08-11T11:44:59.5470000Z,1.3,1.3009,1.25,1.2606,444413.6,1408
2021-08-11T11:45:00.0000000Z,2021-08-11T12:00:00.0000000Z,2021-08-11T11:45:00.4810000Z,2021-08-11T11:59:59.7730000Z,1.2618,1.2653,1.2002,1.2296,401273.1,1066
2021-08-11T12:00:00.0000000Z,2021-08-11T12:15:00.0000000Z,2021-08-11T12:00:05.6280000Z,2021-08-11T12:14:59.6590000Z,1.2297,1.2742,1.2241,1.2724,267748.5,960
2021-08-11T12:15:00.0000000Z,2021-08-11T12:30:00.0000000Z,2021-08-11T12:15:03.5340000Z,2021-08-11T12:29:58.5260000Z,1.2724,1.2726,1.2346,1.2372,199155.7,710
2021-08-11T12:30:00.0000000Z,2021-08-11T12:45:00.0000000Z,2021-08-11T12:30:01.6550000Z,2021-08-11T12:44:58.8600000Z,1.2372,1.2399,1.202,1.23,257156.1,844
2021-08-11T12:45:00.0000000Z,2021-08-11T13:00:00.0000000Z,2021-08-11T12:45:00.5260000Z,2021-08-11T12:59:54.7360000Z,1.23,1.2343,1.2002,1.2263,154866.2,502
2021-08-11T13:00:00.0000000Z,2021-08-11T13:15:00.0000000Z,2021-08-11T13:00:23.3500000Z,2021-08-11T13:14:53.4860000Z,1.2263,1.2456,1.2161,1.225,116579.2,382
2021-08-11T13:15:00.0000000Z,2021-08-11T13:30:00.0000000Z,2021-08-11T13:15:01.0490000Z,2021-08-11T13:29:59.6180000Z,1.2229,1.2622,1.217,1.2622,94372.7,431
2021-08-11T13:30:00.0000000Z,2021-08-11T13:45:00.0000000Z,2021-08-11T13:30:00.9090000Z,2021-08-11T13:44:56.5690000Z,1.2599,1.297,1.2461,1.2759,336006.0,1247
2021-08-11T13:45:00.0000000Z,2021-08-11T14:00:00.0000000Z,2021-08-11T13:45:00.0890000Z,2021-08-11T13:59:56.6430000Z,1.2755,1.278,1.2603,1.2748,182845.8,492
2021-08-11T14:00:00.0000000Z,2021-08-11T14:15:00.0000000Z,2021-08-11T14:00:00.8490000Z,2021-08-11T14:14:53.1910000Z,1.272,1.275,1.2246,1.2362,354387.8,826
2021-08-11T14:15:00.0000000Z,2021-08-11T14:30:00.0000000Z,2021-08-11T14:15:00.8250000Z,2021-08-11T14:29:38.1980000Z,1.235,1.2613,1.2245,1.2448,91164.2,419
2021-08-11T14:30:00.0000000Z,2021-08-11T14:45:00.0000000Z,2021-08-11T14:30:06.7090000Z,2021-08-11T14:44:30.6290000Z,1.2449,1.2633,1.2247,1.2416,125012.2,503
2021-08-11T14:45:00.0000000Z,2021-08-11T15:00:00.0000000Z,2021-08-11T14:45:02.5610000Z,2021-08-11T14:59:40.5620000Z,1.2371,1.2419,1.2284,1.23,73293.7,266
2021-08-11T15:00:00.0000000Z,2021-08-11T15:15:00.0000000Z,2021-08-11T15:00:13.6840000Z,2021-08-11T15:14:59.8510000Z,1.2298,1.2535,1.2284,1.252,72325.6,275
2021-08-11T15:15:00.0000000Z,2021-08-11T15:30:00.0000000Z,2021-08-11T15:15:01.5760000Z,2021-08-11T15:29:55.6930000Z,1.2499,1.251,1.2437,1.251,118202.8,244
2021-08-11T15:30:00.0000000Z,2021-08-11T15:45:00.0000000Z,2021-08-11T15:30:05.7350000Z,2021-08-11T15:44:52.6270000Z,1.251,1.2634,1.2428,1.2625,143713.2,331
2021-08-11T15:45:00.0000000Z,2021-08-11T16:00:00.0000000Z,2021-08-11T15:45:03.0830000Z,2021-08-11T15:59:51.5460000Z,1.2625,1.3083,1.2625,1.3044,266790.7,1044
2021-08-11T16:00:00.0000000Z,2021-08-11T16:15:00.0000000Z,2021-08-11T16:00:01.1530000Z,2021-08-11T16:14:59.4550000Z,1.305,1.3078,1.2609,1.2706,158571.0,630
2021-08-11T16:15:00.0000000Z,2021-08-11T16:30:00.0000000Z,2021-08-11T16:15:03.8720000Z,2021-08-11T16:29:49.9340000Z,1.2711,1.2894,1.27,1.279,46637.6,226
2021-08-11T16:30:00.0000000Z,2021-08-11T16:45:00.0000000Z,2021-08-11T16:30:05.3950000Z,2021-08-11T16:44:59.8010000Z,1.2789,1.2877,1.25,1.28,66395.0,320
2021-08-11T16:45:00.0000000Z,2021-08-11T17:00:00.0000000Z,2021-08-11T16:45:01.7030000Z,2021-08-11T16:59:49.8120000Z,1.28,1.2978,1.2734,1.2978,45880.4,196
2021-08-11T17:00:00.0000000Z,2021-08-11T17:15:00.0000000Z,2021-08-11T17:00:10.9700000Z,2021-08-11T17:14:48.6310000Z,1.2979,1.2998,1.2501,1.2559,45267.4,224
2021-08-11T17:15:00.0000000Z,2021-08-11T17:30:00.0000000Z,2021-08-11T17:15:18.8490000Z,2021-08-11T17:29:56.9780000Z,1.2579,1.2801,1.2511,1.2766,25568.0,211
2021-08-11T17:30:00.0000000Z,2021-08-11T17:45:00.0000000Z,2021-08-11T17:30:04.6920000Z,2021-08-11T17:44:03.7620000Z,1.2799,1.2832,1.2511,1.2557,41576.6,193
2021-08-11T17:45:00.0000000Z,2021-08-11T18:00:00.0000000Z,2021-08-11T17:45:06.6040000Z,2021-08-11T17:59:59.6010000Z,1.2556,1.2577,1.2308,1.2408,39777.9,200
2021-08-11T18:00:00.0000000Z,2021-08-11T18:15:00.0000000Z,2021-08-11T18:00:15.8240000Z,2021-08-11T18:14:31.7430000Z,1.2407,1.2634,1.2369,1.25,40262.8,259
2021-08-11T18:15:00.0000000Z,2021-08-11T18:30:00.0000000Z,2021-08-11T18:15:02.7280000Z,2021-08-11T18:29:48.8310000Z,1.2498,1.2799,1.2429,1.2633,52498.1,318
2021-08-11T18:30:00.0000000Z,2021-08-11T18:45:00.0000000Z,2021-08-11T18:30:03.6860000Z,2021-08-11T18:44:57.7460000Z,1.26,1.31,1.246,1.273,189756.0,989
2021-08-11T18:45:00.0000000Z,2021-08-11T19:00:00.0000000Z,2021-08-11T18:45:11.5370000Z,2021-08-11T18:59:54.5780000Z,1.2728,1.295,1.2536,1.2536,127817.5,846
2021-08-11T19:00:00.0000000Z,2021-08-11T19:15:00.0000000Z,2021-08-11T19:00:09.0390000Z,2021-08-11T19:14:54.5860000Z,1.2576,1.258,1.2451,1.255,32805.0,278
2021-08-11T19:15:00.0000000Z,2021-08-11T19:30:00.0000000Z,2021-08-11T19:15:10.3800000Z,2021-08-11T19:29:58.6010000Z,1.255,1.2609,1.249,1.253,23780.9,187
2021-08-11T19:30:00.0000000Z,2021-08-11T19:45:00.0000000Z,2021-08-11T19:30:12.3740000Z,2021-08-11T19:44:31.9190000Z,1.2522,1.26,1.2497,1.2547,42163.6,174
