time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-05T10:00:00.0000000Z,2021-11-05T10:15:00.0000000Z,2021-11-05T10:04:46.3030000Z,2021-11-05T10:11:59.1760000Z,0.7386,0.7386,0.7339,0.7383,220.0,5
2021-11-05T10:15:00.0000000Z,2021-11-05T10:30:00.0000000Z,2021-11-05T10:20:00.1950000Z,2021-11-05T10:26:27.6040000Z,0.7333,0.7338,0.7333,0.7338,35019.0,11
2021-11-05T10:30:00.0000000Z,2021-11-05T10:45:00.0000000Z,2021-11-05T10:35:34.7570000Z,2021-11-05T10:36:25.8520000Z,0.7336,0.7336,0.7336,0.7336,411.0,3
2021-11-05T11:00:00.0000000Z,2021-11-05T11:15:00.0000000Z,2021-11-05T11:01:14.0850000Z,2021-11-05T11:13:47.0270000Z,0.7336,0.735,0.7336,0.735,1790.0,3
2021-11-05T11:15:00.0000000Z,2021-11-05T11:30:00.0000000Z,2021-11-05T11:27:30.1630000Z,2021-11-05T11:27:30.1630000Z,0.735,0.735,0.735,0.735,475.0,1
2021-11-05T11:30:00.0000000Z,2021-11-05T11:45:00.0000000Z,2021-11-05T11:39:53.2880000Z,2021-11-05T11:39:53.2880000Z,0.735,0.735,0.7336,0.7336,1000.0,3
2021-11-05T11:45:00.0000000Z,2021-11-05T12:00:00.0000000Z,2021-11-05T11:46:06.9870000Z,2021-11-05T11:56:10.0830000Z,0.7337,0.7339,0.728,0.7331,2324.0,7
2021-11-05T12:00:00.0000000Z,2021-11-05T12:15:00.0000000Z,2021-11-05T12:02:50.6580000Z,2021-11-05T12:02:50.6580000Z,0.7339,0.7339,0.7339,0.7339,500.0,1
2021-11-05T12:15:00.0000000Z,2021-11-05T12:30:00.0000000Z,2021-11-05T12:26:32.3410000Z,2021-11-05T12:28:55.9070000Z,0.734,0.734,0.7339,0.7339,86.0,4
2021-11-05T12:30:00.0000000Z,2021-11-05T12:45:00.0000000Z,2021-11-05T12:31:29.4430000Z,2021-11-05T12:37:45.8960000Z,0.7354,0.7369,0.7352,0.7352,2884.0,4
2021-11-05T12:45:00.0000000Z,2021-11-05T13:00:00.0000000Z,2021-11-05T12:48:36.9760000Z,2021-11-05T12:51:17.4510000Z,0.7355,0.7355,0.7352,0.7352,600.0,4
2021-11-05T13:00:00.0000000Z,2021-11-05T13:15:00.0000000Z,2021-11-05T13:01:28.4570000Z,2021-11-05T13:10:20.7250000Z,0.7352,0.7352,0.7352,0.7352,65.0,2
2021-11-05T13:30:00.0000000Z,2021-11-05T13:45:00.0000000Z,2021-11-05T13:33:00.3540000Z,2021-11-05T13:40:14.3350000Z,0.7385,0.7385,0.7385,0.7385,837.0,2
2021-11-05T13:45:00.0000000Z,2021-11-05T14:00:00.0000000Z,2021-11-05T13:51:42.0230000Z,2021-11-05T13:51:42.0230000Z,0.7363,0.7363,0.7363,0.7363,25.0,1
2021-11-05T14:00:00.0000000Z,2021-11-05T14:15:00.0000000Z,2021-11-05T14:04:02.4310000Z,2021-11-05T14:04:02.4310000Z,0.7343,0.7343,0.7343,0.7343,17.0,1
2021-11-05T14:15:00.0000000Z,2021-11-05T14:30:00.0000000Z,2021-11-05T14:27:02.9950000Z,2021-11-05T14:27:13.2250000Z,0.7351,0.7351,0.7351,0.7351,128.0,2
2021-11-05T14:45:00.0000000Z,2021-11-05T15:00:00.0000000Z,2021-11-05T14:49:02.0440000Z,2021-11-05T14:57:57.8300000Z,0.7353,0.7353,0.7353,0.7353,599.0,2
2021-11-05T15:30:00.0000000Z,2021-11-05T15:45:00.0000000Z,2021-11-05T15:30:10.3790000Z,2021-11-05T15:40:37.2640000Z,0.736,0.7366,0.736,0.7366,2366.0,4
2021-11-05T17:15:00.0000000Z,2021-11-05T17:30:00.0000000Z,2021-11-05T17:17:53.5460000Z,2021-11-05T17:17:53.5460000Z,0.7368,0.7368,0.7368,0.7368,55.0,1
2021-11-05T17:30:00.0000000Z,2021-11-05T17:45:00.0000000Z,2021-11-05T17:35:19.3010000Z,2021-11-05T17:35:19.3010000Z,0.7368,0.7368,0.7368,0.7368,4000.0,2
2021-11-05T17:45:00.0000000Z,2021-11-05T18:00:00.0000000Z,2021-11-05T17:57:14.0050000Z,2021-11-05T17:57:14.0050000Z,0.7368,0.7368,0.7368,0.7368,26.0,1
2021-11-05T18:45:00.0000000Z,2021-11-05T19:00:00.0000000Z,2021-11-05T18:55:50.9440000Z,2021-11-05T18:55:50.9440000Z,0.7368,0.7368,0.7368,0.7368,807.0,1
2021-11-05T20:00:00.0000000Z,2021-11-05T20:15:00.0000000Z,2021-11-05T20:12:04.4190000Z,2021-11-05T20:12:04.4190000Z,0.738,0.738,0.738,0.738,389.0,1
2021-11-05T20:15:00.0000000Z,2021-11-05T20:30:00.0000000Z,2021-11-05T20:16:19.9980000Z,2021-11-05T20:26:12.2230000Z,0.7399,0.7399,0.738,0.738,361.0,4
2021-11-05T20:30:00.0000000Z,2021-11-05T20:45:00.0000000Z,2021-11-05T20:43:38.3510000Z,2021-11-05T20:43:38.3510000Z,0.738,0.738,0.738,0.738,34.0,1
2021-11-05T20:45:00.0000000Z,2021-11-05T21:00:00.0000000Z,2021-11-05T20:58:01.5600000Z,2021-11-05T20:58:01.9620000Z,0.738,0.738,0.738,0.738,1991.0,3
2021-11-05T21:00:00.0000000Z,2021-11-05T21:15:00.0000000Z,2021-11-05T21:12:55.3510000Z,2021-11-05T21:12:55.3510000Z,0.738,0.738,0.738,0.738,34.0,1
2021-11-05T21:30:00.0000000Z,2021-11-05T21:45:00.0000000Z,2021-11-05T21:32:22.0180000Z,2021-11-05T21:32:26.9580000Z,0.738,0.738,0.7359,0.7359,707.0,4
2021-11-05T22:15:00.0000000Z,2021-11-05T22:30:00.0000000Z,2021-11-05T22:26:25.0880000Z,2021-11-05T22:28:42.8320000Z,0.7369,0.7369,0.7369,0.7369,5035.0,4
2021-11-05T22:45:00.0000000Z,2021-11-05T23:00:00.0000000Z,2021-11-05T22:49:24.2880000Z,2021-11-05T22:49:24.2880000Z,0.7373,0.7373,0.7373,0.7373,990.0,1
2021-11-05T23:15:00.0000000Z,2021-11-05T23:30:00.0000000Z,2021-11-05T23:22:38.3800000Z,2021-11-05T23:25:27.7820000Z,0.7386,0.7386,0.7348,0.7348,5032.0,4
