time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-08T12:00:00.0000000Z,2021-10-08T12:15:00.0000000Z,2021-10-08T12:14:53.0090000Z,2021-10-08T12:14:59.9980000Z,3.08,3.10432,3.08,3.10163,105669.0,534
2021-10-08T12:15:00.0000000Z,2021-10-08T12:30:00.0000000Z,2021-10-08T12:15:00.0140000Z,2021-10-08T12:29:59.8850000Z,3.10163,3.19,2.59641,3.05895,21224275.0,103137
2021-10-08T12:30:00.0000000Z,2021-10-08T12:45:00.0000000Z,2021-10-08T12:30:00.0050000Z,2021-10-08T12:44:59.9190000Z,3.06576,3.09,2.81,2.9873,9133773.0,52462
2021-10-08T12:45:00.0000000Z,2021-10-08T13:00:00.0000000Z,2021-10-08T12:45:00.1270000Z,2021-10-08T12:59:59.9940000Z,2.9873,3.17432,2.8501,2.94413,9343741.0,50976
2021-10-08T13:00:00.0000000Z,2021-10-08T13:15:00.0000000Z,2021-10-08T13:00:00.0480000Z,2021-10-08T13:14:59.9610000Z,2.9384,3.17,2.9,3.14556,7185761.0,38957
2021-10-08T13:15:00.0000000Z,2021-10-08T13:30:00.0000000Z,2021-10-08T13:15:00.0000000Z,2021-10-08T13:29:59.9950000Z,3.14997,3.32547,3.07,3.14349,10799656.0,56649
2021-10-08T13:30:00.0000000Z,2021-10-08T13:45:00.0000000Z,2021-10-08T13:30:00.0070000Z,2021-10-08T13:44:59.8450000Z,3.1432,3.55,3.13,3.47851,16448737.0,83712
2021-10-08T13:45:00.0000000Z,2021-10-08T14:00:00.0000000Z,2021-10-08T13:45:00.1320000Z,2021-10-08T13:59:59.9990000Z,3.47851,3.95,3.46,3.77336,20919488.0,110620
2021-10-08T14:00:00.0000000Z,2021-10-08T14:15:00.0000000Z,2021-10-08T14:00:00.0000000Z,2021-10-08T14:14:59.9980000Z,3.77336,4.75,3.76886,4.15824,34936486.0,179821
2021-10-08T14:15:00.0000000Z,2021-10-08T14:30:00.0000000Z,2021-10-08T14:15:00.0000000Z,2021-10-08T14:29:59.9470000Z,4.17026,4.18098,3.671,3.8725,26694814.0,131902
2021-10-08T14:30:00.0000000Z,2021-10-08T14:45:00.0000000Z,2021-10-08T14:30:00.0810000Z,2021-10-08T14:44:59.9280000Z,3.87283,4.05,3.58,3.86082,12606771.0,76411
2021-10-08T14:45:00.0000000Z,2021-10-08T15:00:00.0000000Z,2021-10-08T14:45:00.0240000Z,2021-10-08T14:59:59.9940000Z,3.85998,4.06,3.81882,3.93063,11815057.0,68374
2021-10-08T15:00:00.0000000Z,2021-10-08T15:15:00.0000000Z,2021-10-08T15:00:00.0050000Z,2021-10-08T15:14:59.7810000Z,3.93063,3.9603,3.48,3.58116,10150118.0,63518
2021-10-08T15:15:00.0000000Z,2021-10-08T15:30:00.0000000Z,2021-10-08T15:15:00.1620000Z,2021-10-08T15:29:59.9940000Z,3.58556,3.74661,3.36,3.42973,7966129.0,51191
2021-10-08T15:30:00.0000000Z,2021-10-08T15:45:00.0000000Z,2021-10-08T15:30:00.0800000Z,2021-10-08T15:44:59.8910000Z,3.43595,3.66807,3.41661,3.59331,7312687.0,42924
2021-10-08T15:45:00.0000000Z,2021-10-08T16:00:00.0000000Z,2021-10-08T15:45:00.0490000Z,2021-10-08T15:59:59.9550000Z,3.59761,3.99,3.56714,3.89061,9844134.0,61959
