time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-05T06:00:00.0000000Z,2021-07-05T06:15:00.0000000Z,2021-07-05T06:05:07.6790000Z,2021-07-05T06:14:59.7010000Z,37.41,42.0,34.39,35.4,60333.84,6505
2021-07-05T06:15:00.0000000Z,2021-07-05T06:30:00.0000000Z,2021-07-05T06:15:00.3270000Z,2021-07-05T06:29:59.9180000Z,35.56,36.6,34.5,34.95,16111.11,1830
2021-07-05T06:30:00.0000000Z,2021-07-05T06:45:00.0000000Z,2021-07-05T06:30:01.5320000Z,2021-07-05T06:44:55.5100000Z,34.99,36.6,33.89,35.71,14986.11,1865
2021-07-05T06:45:00.0000000Z,2021-07-05T07:00:00.0000000Z,2021-07-05T06:45:02.7810000Z,2021-07-05T06:59:57.9930000Z,35.67,36.4,34.91,36.29,5192.7,1121
2021-07-05T07:00:00.0000000Z,2021-07-05T07:15:00.0000000Z,2021-07-05T07:00:00.2410000Z,2021-07-05T07:14:44.0620000Z,36.26,36.6,35.3,35.92,4394.12,705
2021-07-05T07:15:00.0000000Z,2021-07-05T07:30:00.0000000Z,2021-07-05T07:15:05.5220000Z,2021-07-05T07:29:59.8450000Z,35.92,35.99,34.64,35.05,3649.45,548
2021-07-05T07:30:00.0000000Z,2021-07-05T07:45:00.0000000Z,2021-07-05T07:30:04.1010000Z,2021-07-05T07:44:58.2070000Z,35.05,35.95,34.91,35.11,2897.36,561
2021-07-05T07:45:00.0000000Z,2021-07-05T08:00:00.0000000Z,2021-07-05T07:45:00.3990000Z,2021-07-05T07:59:59.8830000Z,35.28,36.0,35.12,36.0,3031.68,523
2021-07-05T08:00:00.0000000Z,2021-07-05T08:15:00.0000000Z,2021-07-05T08:00:01.2490000Z,2021-07-05T08:14:57.1720000Z,36.05,36.96,35.9,35.99,9034.65,1138
2021-07-05T08:15:00.0000000Z,2021-07-05T08:30:00.0000000Z,2021-07-05T08:15:00.3490000Z,2021-07-05T08:29:34.8690000Z,35.97,36.22,35.43,36.14,2046.81,507
2021-07-05T08:30:00.0000000Z,2021-07-05T08:45:00.0000000Z,2021-07-05T08:30:07.9370000Z,2021-07-05T08:44:53.8200000Z,36.11,37.6,35.82,37.05,12027.42,983
2021-07-05T08:45:00.0000000Z,2021-07-05T09:00:00.0000000Z,2021-07-05T08:45:01.2510000Z,2021-07-05T08:59:57.7740000Z,37.05,37.05,36.15,36.15,2838.68,557
2021-07-05T09:00:00.0000000Z,2021-07-05T09:15:00.0000000Z,2021-07-05T09:00:05.6380000Z,2021-07-05T09:14:55.0890000Z,36.14,36.5,35.98,36.25,2493.3,546
2021-07-05T09:15:00.0000000Z,2021-07-05T09:30:00.0000000Z,2021-07-05T09:15:07.0980000Z,2021-07-05T09:29:59.0290000Z,36.29,36.47,35.48,35.56,3336.31,536
