time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-16T07:15:00.0000000Z,2021-04-16T07:30:00.0000000Z,2021-04-16T07:27:04.3120000Z,2021-04-16T07:28:37.4030000Z,110.957,112.8,109.895,111.087,26.557,23
2021-04-16T07:30:00.0000000Z,2021-04-16T07:45:00.0000000Z,2021-04-16T07:32:53.0190000Z,2021-04-16T07:44:57.3910000Z,111.236,112.8,110.873,111.715,36.799,53
2021-04-16T07:45:00.0000000Z,2021-04-16T08:00:00.0000000Z,2021-04-16T07:46:32.8340000Z,2021-04-16T07:56:22.9130000Z,111.795,111.795,110.494,110.494,6.72,6
2021-04-16T08:00:00.0000000Z,2021-04-16T08:15:00.0000000Z,2021-04-16T08:03:23.1330000Z,2021-04-16T08:12:00.8050000Z,110.494,110.494,110.3,110.494,6.949,8
2021-04-16T23:45:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T23:45:11.4940000Z,2021-04-16T23:59:11.3950000Z,114.8,117.65,113.801,114.5,61.99,36
2021-04-17T00:00:00.0000000Z,2021-04-17T00:15:00.0000000Z,2021-04-17T00:00:01.3940000Z,2021-04-17T00:14:53.8560000Z,116.899,117.05,113.157,117.05,39.547,41
2021-04-17T00:15:00.0000000Z,2021-04-17T00:30:00.0000000Z,2021-04-17T00:15:44.5420000Z,2021-04-17T00:28:55.4800000Z,117.0,117.0,111.225,111.225,43.575,19
2021-04-17T00:30:00.0000000Z,2021-04-17T00:45:00.0000000Z,2021-04-17T00:32:25.8420000Z,2021-04-17T00:44:28.6800000Z,112.663,113.842,111.018,111.378,40.731,19
2021-04-17T00:45:00.0000000Z,2021-04-17T01:00:00.0000000Z,2021-04-17T00:45:04.8990000Z,2021-04-17T00:52:08.0580000Z,112.114,113.135,112.114,113.135,3.363,5
2021-04-17T01:00:00.0000000Z,2021-04-17T01:15:00.0000000Z,2021-04-17T01:06:03.7490000Z,2021-04-17T01:12:26.6000000Z,111.296,113.167,111.296,113.167,19.476,5
2021-04-17T01:15:00.0000000Z,2021-04-17T01:30:00.0000000Z,2021-04-17T01:21:16.0980000Z,2021-04-17T01:29:25.9470000Z,113.167,113.167,111.86,112.035,7.208,5
2021-04-17T01:30:00.0000000Z,2021-04-17T01:45:00.0000000Z,2021-04-17T01:37:54.3010000Z,2021-04-17T01:44:27.6440000Z,112.83,112.831,112.83,112.831,0.966,4
2021-04-17T01:45:00.0000000Z,2021-04-17T02:00:00.0000000Z,2021-04-17T01:45:00.2980000Z,2021-04-17T01:45:42.1010000Z,112.831,112.831,112.831,112.831,0.738,3
2021-04-17T02:00:00.0000000Z,2021-04-17T02:15:00.0000000Z,2021-04-17T02:01:12.2400000Z,2021-04-17T02:11:03.3780000Z,113.851,114.478,112.481,112.481,14.288,24
2021-04-17T02:15:00.0000000Z,2021-04-17T02:30:00.0000000Z,2021-04-17T02:15:56.2010000Z,2021-04-17T02:26:55.5220000Z,112.904,112.904,112.582,112.772,58.773,6
2021-04-17T02:45:00.0000000Z,2021-04-17T03:00:00.0000000Z,2021-04-17T02:45:26.8870000Z,2021-04-17T02:59:00.3560000Z,114.026,114.222,113.144,113.144,10.853,15
2021-04-17T03:00:00.0000000Z,2021-04-17T03:15:00.0000000Z,2021-04-17T03:14:57.0590000Z,2021-04-17T03:14:57.0590000Z,113.0,113.0,113.0,113.0,0.398,2
