time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-12-03T09:00:00.0000000Z,2021-12-03T09:15:00.0000000Z,2021-12-03T09:11:59.0990000Z,2021-12-03T09:14:26.4060000Z,3.2,3.2016,3.179,3.179,423.0,11
2021-12-03T09:15:00.0000000Z,2021-12-03T09:30:00.0000000Z,2021-12-03T09:15:01.8610000Z,2021-12-03T09:29:39.5300000Z,3.1916,3.2106,3.1594,3.2105,5291.0,69
2021-12-03T09:30:00.0000000Z,2021-12-03T09:45:00.0000000Z,2021-12-03T09:30:03.2930000Z,2021-12-03T09:44:53.3920000Z,3.2106,3.2106,3.16,3.1622,3919.0,34
2021-12-03T09:45:00.0000000Z,2021-12-03T10:00:00.0000000Z,2021-12-03T09:45:55.3900000Z,2021-12-03T09:58:33.4840000Z,3.1975,3.227,3.1792,3.1792,1053.0,24
2021-12-03T10:00:00.0000000Z,2021-12-03T10:15:00.0000000Z,2021-12-03T10:00:29.9120000Z,2021-12-03T10:14:52.9970000Z,3.2,3.26,3.1851,3.229,5143.0,41
2021-12-03T10:15:00.0000000Z,2021-12-03T10:30:00.0000000Z,2021-12-03T10:16:11.5230000Z,2021-12-03T10:28:14.6650000Z,3.229,3.255,3.2233,3.2295,1231.0,29
2021-12-03T10:30:00.0000000Z,2021-12-03T10:45:00.0000000Z,2021-12-03T10:31:32.1620000Z,2021-12-03T10:44:02.5810000Z,3.22,3.22,3.1616,3.193,1319.0,22
2021-12-03T10:45:00.0000000Z,2021-12-03T11:00:00.0000000Z,2021-12-03T10:46:11.1220000Z,2021-12-03T10:59:12.8090000Z,3.2079,3.2079,3.1202,3.1527,9066.0,46
2021-12-03T11:00:00.0000000Z,2021-12-03T11:15:00.0000000Z,2021-12-03T11:01:42.7230000Z,2021-12-03T11:14:10.0540000Z,3.1588,3.1624,3.1332,3.1443,900.0,25
2021-12-03T11:15:00.0000000Z,2021-12-03T11:30:00.0000000Z,2021-12-03T11:15:16.0350000Z,2021-12-03T11:29:37.2470000Z,3.1357,3.1515,3.13,3.1442,587.0,21
2021-12-03T11:30:00.0000000Z,2021-12-03T11:45:00.0000000Z,2021-12-03T11:31:01.8850000Z,2021-12-03T11:44:59.0680000Z,3.15,3.1739,3.1201,3.1469,2964.0,58
2021-12-03T11:45:00.0000000Z,2021-12-03T12:00:00.0000000Z,2021-12-03T11:45:50.7430000Z,2021-12-03T11:59:56.6120000Z,3.1405,3.1662,3.1292,3.1528,1585.0,26
2021-12-03T12:00:00.0000000Z,2021-12-03T12:15:00.0000000Z,2021-12-03T12:01:56.6120000Z,2021-12-03T12:14:51.9550000Z,3.1454,3.27,3.128,3.1723,10033.0,78
2021-12-03T12:15:00.0000000Z,2021-12-03T12:30:00.0000000Z,2021-12-03T12:17:04.2490000Z,2021-12-03T12:29:49.5580000Z,3.162,3.2,3.0777,3.1305,16535.0,146
2021-12-03T12:30:00.0000000Z,2021-12-03T12:45:00.0000000Z,2021-12-03T12:30:00.4170000Z,2021-12-03T12:44:58.3270000Z,3.1393,3.1729,3.1202,3.1202,2468.0,54
2021-12-03T12:45:00.0000000Z,2021-12-03T13:00:00.0000000Z,2021-12-03T12:45:13.8540000Z,2021-12-03T12:59:12.6210000Z,3.12,3.1577,3.1122,3.1507,1560.0,21
2021-12-03T13:00:00.0000000Z,2021-12-03T13:15:00.0000000Z,2021-12-03T13:03:55.4470000Z,2021-12-03T13:13:09.8190000Z,3.1504,3.1516,3.1503,3.1503,920.0,16
2021-12-03T13:15:00.0000000Z,2021-12-03T13:30:00.0000000Z,2021-12-03T13:15:22.4760000Z,2021-12-03T13:29:21.4550000Z,3.1502,3.1598,3.12,3.1347,2212.0,24
2021-12-03T13:30:00.0000000Z,2021-12-03T13:45:00.0000000Z,2021-12-03T13:30:16.0110000Z,2021-12-03T13:43:46.6570000Z,3.1337,3.1337,3.1001,3.1201,479.0,14
2021-12-03T13:45:00.0000000Z,2021-12-03T14:00:00.0000000Z,2021-12-03T13:46:47.6740000Z,2021-12-03T13:56:07.5990000Z,3.1201,3.14,3.1201,3.1388,843.0,10
2021-12-03T14:00:00.0000000Z,2021-12-03T14:15:00.0000000Z,2021-12-03T14:00:27.8540000Z,2021-12-03T14:13:03.5850000Z,3.1082,3.1398,3.1082,3.1396,514.0,11
2021-12-03T14:15:00.0000000Z,2021-12-03T14:30:00.0000000Z,2021-12-03T14:15:15.2310000Z,2021-12-03T14:26:57.4200000Z,3.1201,3.1325,3.1093,3.1168,816.0,18
2021-12-03T14:30:00.0000000Z,2021-12-03T14:45:00.0000000Z,2021-12-03T14:31:27.7700000Z,2021-12-03T14:44:35.9170000Z,3.1168,3.1168,3.089,3.0997,6328.0,34
2021-12-03T14:45:00.0000000Z,2021-12-03T15:00:00.0000000Z,2021-12-03T14:45:33.5330000Z,2021-12-03T14:59:48.8310000Z,3.09,3.099,3.0275,3.0807,10995.0,76
2021-12-03T15:00:00.0000000Z,2021-12-03T15:15:00.0000000Z,2021-12-03T15:03:19.6550000Z,2021-12-03T15:08:55.9190000Z,3.12,3.12,3.0933,3.1002,125.0,5
2021-12-03T15:15:00.0000000Z,2021-12-03T15:30:00.0000000Z,2021-12-03T15:19:03.1430000Z,2021-12-03T15:29:16.3310000Z,3.0823,3.1799,3.0823,3.1799,1323.0,16
2021-12-03T15:30:00.0000000Z,2021-12-03T15:45:00.0000000Z,2021-12-03T15:30:00.7080000Z,2021-12-03T15:44:57.8050000Z,3.1543,3.1543,3.0676,3.0884,5883.0,46
2021-12-03T15:45:00.0000000Z,2021-12-03T16:00:00.0000000Z,2021-12-03T15:47:25.9320000Z,2021-12-03T15:58:40.2810000Z,3.0908,3.1123,2.9109,3.0692,22219.0,166
2021-12-03T16:00:00.0000000Z,2021-12-03T16:15:00.0000000Z,2021-12-03T16:01:08.3030000Z,2021-12-03T16:14:23.4750000Z,3.0463,3.0463,2.9265,2.9443,6644.0,53
2021-12-03T16:15:00.0000000Z,2021-12-03T16:30:00.0000000Z,2021-12-03T16:15:03.7010000Z,2021-12-03T16:28:45.4050000Z,2.9753,3.0925,2.9715,2.9715,5919.0,55
2021-12-03T16:30:00.0000000Z,2021-12-03T16:45:00.0000000Z,2021-12-03T16:30:56.7060000Z,2021-12-03T16:44:38.9950000Z,2.9774,3.0719,2.9773,2.997,1723.0,18
2021-12-03T16:45:00.0000000Z,2021-12-03T17:00:00.0000000Z,2021-12-03T16:49:40.5010000Z,2021-12-03T16:59:51.1380000Z,2.976,2.989,2.9287,2.9374,7458.0,38
2021-12-03T17:00:00.0000000Z,2021-12-03T17:15:00.0000000Z,2021-12-03T17:00:06.2770000Z,2021-12-03T17:14:59.8380000Z,2.9379,2.9794,2.9346,2.9705,5304.0,30
2021-12-03T17:15:00.0000000Z,2021-12-03T17:30:00.0000000Z,2021-12-03T17:19:45.8200000Z,2021-12-03T17:27:19.2390000Z,2.9753,3.0205,2.9753,2.9975,500.0,14
2021-12-03T17:30:00.0000000Z,2021-12-03T17:45:00.0000000Z,2021-12-03T17:30:20.6620000Z,2021-12-03T17:44:35.2080000Z,2.9902,2.9939,2.9534,2.9555,23863.0,87
2021-12-03T17:45:00.0000000Z,2021-12-03T18:00:00.0000000Z,2021-12-03T17:45:22.8080000Z,2021-12-03T17:59:09.4510000Z,2.9625,2.9897,2.9497,2.9735,4901.0,42
2021-12-03T18:00:00.0000000Z,2021-12-03T18:15:00.0000000Z,2021-12-03T18:00:43.2000000Z,2021-12-03T18:13:54.0950000Z,2.9772,3.04,2.9732,3.0335,4079.0,25
2021-12-03T18:15:00.0000000Z,2021-12-03T18:30:00.0000000Z,2021-12-03T18:15:01.4470000Z,2021-12-03T18:29:47.2300000Z,3.0359,3.0359,2.9846,3.0119,4870.0,28
2021-12-03T18:30:00.0000000Z,2021-12-03T18:45:00.0000000Z,2021-12-03T18:32:33.1570000Z,2021-12-03T18:44:55.9940000Z,3.018,3.018,2.9013,2.95,12673.0,82
2021-12-03T18:45:00.0000000Z,2021-12-03T19:00:00.0000000Z,2021-12-03T18:45:14.6550000Z,2021-12-03T18:59:00.2190000Z,2.95,2.9735,2.92,2.931,2867.0,26
2021-12-03T19:00:00.0000000Z,2021-12-03T19:15:00.0000000Z,2021-12-03T19:01:48.6880000Z,2021-12-03T19:14:11.8230000Z,2.9484,2.9587,2.9,2.9087,10874.0,37
2021-12-03T19:15:00.0000000Z,2021-12-03T19:30:00.0000000Z,2021-12-03T19:15:09.2950000Z,2021-12-03T19:29:49.2390000Z,2.9005,2.9318,2.8807,2.8822,1263.0,18
2021-12-03T19:30:00.0000000Z,2021-12-03T19:45:00.0000000Z,2021-12-03T19:31:54.3410000Z,2021-12-03T19:44:17.4000000Z,2.88,2.9017,2.8249,2.8739,6961.0,47
2021-12-03T19:45:00.0000000Z,2021-12-03T20:00:00.0000000Z,2021-12-03T19:47:02.4130000Z,2021-12-03T19:59:43.3710000Z,2.8678,3.12,2.8248,2.8541,19130.0,116
2021-12-03T20:00:00.0000000Z,2021-12-03T20:15:00.0000000Z,2021-12-03T20:00:01.7070000Z,2021-12-03T20:14:52.2520000Z,2.8541,2.8671,2.8138,2.84,3744.0,56
2021-12-03T20:15:00.0000000Z,2021-12-03T20:30:00.0000000Z,2021-12-03T20:15:02.9780000Z,2021-12-03T20:29:54.2910000Z,2.84,2.8669,2.7419,2.789,16774.0,105
2021-12-03T20:30:00.0000000Z,2021-12-03T20:45:00.0000000Z,2021-12-03T20:30:48.7440000Z,2021-12-03T20:44:42.9770000Z,2.812,2.8121,2.7489,2.7707,27152.0,122
2021-12-03T20:45:00.0000000Z,2021-12-03T21:00:00.0000000Z,2021-12-03T20:45:10.1150000Z,2021-12-03T20:59:31.8840000Z,2.7735,2.8537,2.7735,2.8493,5411.0,31
2021-12-03T21:00:00.0000000Z,2021-12-03T21:15:00.0000000Z,2021-12-03T21:02:34.1780000Z,2021-12-03T21:12:14.0040000Z,2.8493,2.8791,2.8418,2.86,2722.0,43
2021-12-03T21:15:00.0000000Z,2021-12-03T21:30:00.0000000Z,2021-12-03T21:15:04.2500000Z,2021-12-03T21:29:19.2720000Z,2.86,2.8738,2.8443,2.8443,426.0,21
2021-12-03T21:30:00.0000000Z,2021-12-03T21:45:00.0000000Z,2021-12-03T21:30:26.2910000Z,2021-12-03T21:44:43.0940000Z,2.836,2.8628,2.8359,2.8431,9497.0,61
2021-12-03T21:45:00.0000000Z,2021-12-03T22:00:00.0000000Z,2021-12-03T21:47:12.4750000Z,2021-12-03T21:59:12.2360000Z,2.8446,2.8446,2.829,2.829,3259.0,27
2021-12-03T22:00:00.0000000Z,2021-12-03T22:15:00.0000000Z,2021-12-03T22:00:16.9150000Z,2021-12-03T22:13:35.0550000Z,2.8288,2.8445,2.808,2.8358,2583.0,19
2021-12-03T22:15:00.0000000Z,2021-12-03T22:30:00.0000000Z,2021-12-03T22:15:04.9040000Z,2021-12-03T22:28:04.5520000Z,2.8369,2.8369,2.8205,2.8205,234.0,10
2021-12-03T22:30:00.0000000Z,2021-12-03T22:45:00.0000000Z,2021-12-03T22:32:33.5060000Z,2021-12-03T22:43:48.7670000Z,2.8342,2.8437,2.8205,2.8408,50.0,7
2021-12-03T22:45:00.0000000Z,2021-12-03T23:00:00.0000000Z,2021-12-03T22:46:06.1370000Z,2021-12-03T22:58:21.2990000Z,2.8357,2.8357,2.7867,2.7867,3613.0,23
2021-12-03T23:00:00.0000000Z,2021-12-03T23:15:00.0000000Z,2021-12-03T23:00:18.3540000Z,2021-12-03T23:14:43.1680000Z,2.8027,2.8212,2.8001,2.8064,15986.0,54
2021-12-03T23:15:00.0000000Z,2021-12-03T23:30:00.0000000Z,2021-12-03T23:16:16.6230000Z,2021-12-03T23:29:41.6910000Z,2.8066,2.8144,2.7876,2.8144,1751.0,23
2021-12-03T23:30:00.0000000Z,2021-12-03T23:45:00.0000000Z,2021-12-03T23:30:30.7560000Z,2021-12-03T23:44:55.3880000Z,2.7999,2.8209,2.7873,2.7897,16486.0,114
2021-12-03T23:45:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T23:45:32.9810000Z,2021-12-03T23:58:46.2180000Z,2.7898,2.8032,2.7754,2.7756,1881.0,29
2021-12-04T00:00:00.0000000Z,2021-12-04T00:15:00.0000000Z,2021-12-04T00:00:11.0050000Z,2021-12-04T00:14:03.9150000Z,2.775,2.7883,2.7534,2.7783,8752.0,38
2021-12-04T00:15:00.0000000Z,2021-12-04T00:30:00.0000000Z,2021-12-04T00:15:17.3560000Z,2021-12-04T00:29:58.9210000Z,2.7812,2.7842,2.7571,2.7641,2066.0,28
2021-12-04T00:30:00.0000000Z,2021-12-04T00:45:00.0000000Z,2021-12-04T00:31:24.5750000Z,2021-12-04T00:43:00.1610000Z,2.7519,2.7561,2.715,2.7248,4179.0,32
2021-12-04T00:45:00.0000000Z,2021-12-04T01:00:00.0000000Z,2021-12-04T00:45:25.0790000Z,2021-12-04T00:59:49.8260000Z,2.7172,2.7217,2.6716,2.6716,19701.0,72
2021-12-04T01:00:00.0000000Z,2021-12-04T01:15:00.0000000Z,2021-12-04T01:00:03.6650000Z,2021-12-04T01:14:42.9670000Z,2.6721,2.7414,2.6625,2.6625,10005.0,73
2021-12-04T01:15:00.0000000Z,2021-12-04T01:30:00.0000000Z,2021-12-04T01:15:07.7440000Z,2021-12-04T01:27:58.4370000Z,2.6625,2.6951,2.6625,2.6951,1130.0,11
2021-12-04T01:30:00.0000000Z,2021-12-04T01:45:00.0000000Z,2021-12-04T01:35:27.2810000Z,2021-12-04T01:43:42.9010000Z,2.704,2.742,2.6879,2.742,616.0,18
2021-12-04T01:45:00.0000000Z,2021-12-04T02:00:00.0000000Z,2021-12-04T01:45:08.4320000Z,2021-12-04T01:58:22.1750000Z,2.7441,2.7661,2.7154,2.7349,2195.0,21
2021-12-04T02:00:00.0000000Z,2021-12-04T02:15:00.0000000Z,2021-12-04T02:05:16.1680000Z,2021-12-04T02:12:21.3710000Z,2.7248,2.7858,2.7059,2.7715,3249.0,44
2021-12-04T02:15:00.0000000Z,2021-12-04T02:30:00.0000000Z,2021-12-04T02:17:14.1250000Z,2021-12-04T02:29:57.9900000Z,2.7715,2.7715,2.7209,2.7272,1743.0,18
