time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-10T11:00:00.0000000Z,2021-03-10T11:15:00.0000000Z,2021-03-10T11:00:00.0000000Z,2021-03-10T11:14:59.0070000Z,7.25,25.0,7.25,11.972,295367.406,14866
2021-03-10T11:15:00.0000000Z,2021-03-10T11:30:00.0000000Z,2021-03-10T11:15:00.6170000Z,2021-03-10T11:29:58.4750000Z,12.042,13.837,12.002,12.597,142277.825,4242
2021-03-10T11:30:00.0000000Z,2021-03-10T11:45:00.0000000Z,2021-03-10T11:30:00.1690000Z,2021-03-10T11:44:57.4550000Z,12.541,12.864,11.624,11.78,56331.22,2807
2021-03-10T11:45:00.0000000Z,2021-03-10T12:00:00.0000000Z,2021-03-10T11:45:01.9550000Z,2021-03-10T11:59:59.2940000Z,11.874,12.186,10.8,10.983,47661.817,2115
2021-03-10T12:00:00.0000000Z,2021-03-10T12:15:00.0000000Z,2021-03-10T12:00:02.2000000Z,2021-03-10T12:14:59.7110000Z,10.912,11.396,10.451,10.773,42591.2,1663
2021-03-10T12:15:00.0000000Z,2021-03-10T12:30:00.0000000Z,2021-03-10T12:15:00.0560000Z,2021-03-10T12:29:58.9170000Z,10.807,11.25,10.501,11.093,34571.655,1191
2021-03-10T12:30:00.0000000Z,2021-03-10T12:45:00.0000000Z,2021-03-10T12:30:07.7800000Z,2021-03-10T12:44:53.6010000Z,11.093,11.59,11.017,11.256,33419.112,1074
2021-03-10T12:45:00.0000000Z,2021-03-10T13:00:00.0000000Z,2021-03-10T12:45:00.3800000Z,2021-03-10T12:59:52.6270000Z,11.355,11.356,10.786,10.843,20910.073,854
2021-03-10T13:00:00.0000000Z,2021-03-10T13:15:00.0000000Z,2021-03-10T13:00:05.2540000Z,2021-03-10T13:14:54.4000000Z,10.864,11.5,10.86,11.146,52033.821,897
2021-03-10T13:15:00.0000000Z,2021-03-10T13:30:00.0000000Z,2021-03-10T13:15:04.2510000Z,2021-03-10T13:29:59.1600000Z,11.197,11.197,10.799,10.825,23135.444,797
2021-03-10T13:30:00.0000000Z,2021-03-10T13:45:00.0000000Z,2021-03-10T13:30:00.7530000Z,2021-03-10T13:44:29.0300000Z,10.867,11.097,10.78,10.983,8391.095,427
2021-03-10T13:45:00.0000000Z,2021-03-10T14:00:00.0000000Z,2021-03-10T13:45:09.5690000Z,2021-03-10T13:59:47.9750000Z,11.006,11.302,10.905,10.905,24170.807,827
2021-03-10T14:00:00.0000000Z,2021-03-10T14:15:00.0000000Z,2021-03-10T14:00:02.4290000Z,2021-03-10T14:14:53.3900000Z,10.908,11.38,10.908,11.25,10745.988,459
2021-03-10T14:15:00.0000000Z,2021-03-10T14:30:00.0000000Z,2021-03-10T14:15:01.4030000Z,2021-03-10T14:29:54.3400000Z,11.252,11.31,11.044,11.077,6581.847,411
2021-03-10T14:30:00.0000000Z,2021-03-10T14:45:00.0000000Z,2021-03-10T14:30:03.6830000Z,2021-03-10T14:44:48.8030000Z,11.078,11.198,10.7,10.8,12915.177,727
2021-03-10T14:45:00.0000000Z,2021-03-10T15:00:00.0000000Z,2021-03-10T14:45:00.7360000Z,2021-03-10T14:59:53.4190000Z,10.8,10.946,10.301,10.5,16733.584,735
2021-03-10T15:00:00.0000000Z,2021-03-10T15:15:00.0000000Z,2021-03-10T15:00:02.2600000Z,2021-03-10T15:14:57.3330000Z,10.5,10.562,10.061,10.203,16488.431,690
2021-03-10T15:15:00.0000000Z,2021-03-10T15:30:00.0000000Z,2021-03-10T15:15:06.9790000Z,2021-03-10T15:29:59.3920000Z,10.262,10.393,10.125,10.329,11045.666,405
2021-03-10T15:30:00.0000000Z,2021-03-10T15:45:00.0000000Z,2021-03-10T15:30:12.3830000Z,2021-03-10T15:44:50.5810000Z,10.267,10.316,10.1,10.106,6851.128,367
