time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-09T02:00:00.0000000Z,2021-09-09T02:15:00.0000000Z,2021-09-09T02:00:16.9740000Z,2021-09-09T02:14:59.9740000Z,12.132,12.3,10.54,11.805,965157.01,28436
2021-09-09T02:15:00.0000000Z,2021-09-09T02:30:00.0000000Z,2021-09-09T02:15:00.1290000Z,2021-09-09T02:29:58.9230000Z,11.805,12.88,11.209,12.525,506278.41,21922
2021-09-09T02:30:00.0000000Z,2021-09-09T02:45:00.0000000Z,2021-09-09T02:30:00.3060000Z,2021-09-09T02:44:59.8640000Z,12.523,14.0,12.307,13.217,614167.96,26569
2021-09-09T02:45:00.0000000Z,2021-09-09T03:00:00.0000000Z,2021-09-09T02:45:00.2350000Z,2021-09-09T02:59:59.9260000Z,13.217,14.47,12.4,14.282,729332.45,28538
2021-09-09T03:00:00.0000000Z,2021-09-09T03:15:00.0000000Z,2021-09-09T03:00:00.1330000Z,2021-09-09T03:14:59.9930000Z,14.259,14.899,13.449,14.218,807910.44,31778
2021-09-09T03:15:00.0000000Z,2021-09-09T03:30:00.0000000Z,2021-09-09T03:15:00.0500000Z,2021-09-09T03:29:59.4550000Z,14.181,14.386,13.27,13.46,527139.22,20019
2021-09-09T03:30:00.0000000Z,2021-09-09T03:45:00.0000000Z,2021-09-09T03:30:00.2550000Z,2021-09-09T03:44:59.8100000Z,13.485,14.5,12.8,13.707,399328.3,15042
2021-09-09T03:45:00.0000000Z,2021-09-09T04:00:00.0000000Z,2021-09-09T03:45:00.0020000Z,2021-09-09T03:59:59.4320000Z,13.706,14.554,12.644,13.499,315594.4,13326
2021-09-09T04:00:00.0000000Z,2021-09-09T04:15:00.0000000Z,2021-09-09T04:00:03.3510000Z,2021-09-09T04:14:59.8940000Z,13.499,14.1,13.2,13.294,190531.74,9682
2021-09-09T04:15:00.0000000Z,2021-09-09T04:30:00.0000000Z,2021-09-09T04:15:00.1750000Z,2021-09-09T04:29:59.9270000Z,13.294,13.6,12.823,12.912,131088.28,6488
2021-09-09T04:30:00.0000000Z,2021-09-09T04:45:00.0000000Z,2021-09-09T04:30:00.0040000Z,2021-09-09T04:44:59.9920000Z,12.912,13.0,12.123,12.636,228496.59,6967
2021-09-09T04:45:00.0000000Z,2021-09-09T05:00:00.0000000Z,2021-09-09T04:45:00.1100000Z,2021-09-09T04:59:59.7040000Z,12.636,13.131,12.288,12.332,143569.47,5247
2021-09-09T05:00:00.0000000Z,2021-09-09T05:15:00.0000000Z,2021-09-09T05:00:00.0360000Z,2021-09-09T05:14:59.3220000Z,12.331,12.89,12.2,12.427,145803.03,5449
2021-09-09T05:15:00.0000000Z,2021-09-09T05:30:00.0000000Z,2021-09-09T05:15:00.1710000Z,2021-09-09T05:29:59.9220000Z,12.413,13.5,12.388,13.048,254874.33,8501
2021-09-09T05:30:00.0000000Z,2021-09-09T05:45:00.0000000Z,2021-09-09T05:30:04.0350000Z,2021-09-09T05:44:59.1270000Z,13.041,13.047,12.59,12.885,81331.56,3304
2021-09-09T05:45:00.0000000Z,2021-09-09T06:00:00.0000000Z,2021-09-09T05:45:00.2450000Z,2021-09-09T05:59:59.9310000Z,12.893,12.946,12.487,12.588,88762.25,3295
2021-09-09T06:00:00.0000000Z,2021-09-09T06:15:00.0000000Z,2021-09-09T06:00:01.9020000Z,2021-09-09T06:14:58.7960000Z,12.588,12.767,12.284,12.341,92628.08,2869
2021-09-09T06:15:00.0000000Z,2021-09-09T06:30:00.0000000Z,2021-09-09T06:15:00.3280000Z,2021-09-09T06:29:56.9720000Z,12.349,12.369,11.65,11.799,121701.59,3861
2021-09-09T06:30:00.0000000Z,2021-09-09T06:45:00.0000000Z,2021-09-09T06:30:00.1670000Z,2021-09-09T06:44:59.2790000Z,11.799,12.2,11.799,12.0,89635.12,3175
2021-09-09T06:45:00.0000000Z,2021-09-09T07:00:00.0000000Z,2021-09-09T06:45:00.2680000Z,2021-09-09T06:59:59.0480000Z,12.0,12.007,11.51,11.75,114675.49,3220
2021-09-09T07:00:00.0000000Z,2021-09-09T07:15:00.0000000Z,2021-09-09T07:00:00.5650000Z,2021-09-09T07:14:59.8290000Z,11.751,11.931,11.428,11.8,71071.39,2719
2021-09-09T07:15:00.0000000Z,2021-09-09T07:30:00.0000000Z,2021-09-09T07:15:01.0990000Z,2021-09-09T07:29:56.9310000Z,11.797,11.816,11.369,11.399,62400.35,2067
2021-09-09T07:30:00.0000000Z,2021-09-09T07:45:00.0000000Z,2021-09-09T07:30:00.4320000Z,2021-09-09T07:44:59.9280000Z,11.399,12.0,11.3,11.549,153353.3,5073
2021-09-09T07:45:00.0000000Z,2021-09-09T08:00:00.0000000Z,2021-09-09T07:45:00.1040000Z,2021-09-09T07:59:59.9120000Z,11.55,12.32,11.549,11.947,161142.74,5921
2021-09-09T08:00:00.0000000Z,2021-09-09T08:15:00.0000000Z,2021-09-09T08:00:00.3140000Z,2021-09-09T08:14:58.4130000Z,11.958,12.705,11.794,12.301,206490.69,8294
2021-09-09T08:15:00.0000000Z,2021-09-09T08:30:00.0000000Z,2021-09-09T08:15:00.9650000Z,2021-09-09T08:29:59.8960000Z,12.32,13.05,12.044,13.014,188814.13,7640
2021-09-09T08:30:00.0000000Z,2021-09-09T08:45:00.0000000Z,2021-09-09T08:30:00.7200000Z,2021-09-09T08:44:59.9220000Z,13.007,13.78,12.948,13.286,425910.89,19576
2021-09-09T08:45:00.0000000Z,2021-09-09T09:00:00.0000000Z,2021-09-09T08:45:00.6240000Z,2021-09-09T08:59:59.8180000Z,13.243,13.3,12.58,12.789,218174.86,8919
2021-09-09T09:00:00.0000000Z,2021-09-09T09:15:00.0000000Z,2021-09-09T09:00:01.0100000Z,2021-09-09T09:14:59.9540000Z,12.754,13.128,12.41,12.833,195448.32,7419
2021-09-09T09:15:00.0000000Z,2021-09-09T09:30:00.0000000Z,2021-09-09T09:15:00.4260000Z,2021-09-09T09:29:59.9040000Z,12.849,13.556,12.575,13.293,209684.56,9205
2021-09-09T09:30:00.0000000Z,2021-09-09T09:45:00.0000000Z,2021-09-09T09:30:00.1200000Z,2021-09-09T09:44:59.8420000Z,13.285,13.979,13.12,13.381,311917.86,13546
2021-09-09T09:45:00.0000000Z,2021-09-09T10:00:00.0000000Z,2021-09-09T09:45:00.1020000Z,2021-09-09T09:59:59.6270000Z,13.415,13.6,12.956,12.956,140872.37,6590
2021-09-09T10:00:00.0000000Z,2021-09-09T10:15:00.0000000Z,2021-09-09T10:00:00.3050000Z,2021-09-09T10:14:59.9660000Z,12.969,13.4,12.828,13.103,145944.67,7766
2021-09-09T10:15:00.0000000Z,2021-09-09T10:30:00.0000000Z,2021-09-09T10:15:00.1370000Z,2021-09-09T10:29:59.6570000Z,13.101,13.293,12.503,12.653,128052.23,6373
2021-09-09T10:30:00.0000000Z,2021-09-09T10:45:00.0000000Z,2021-09-09T10:30:00.0150000Z,2021-09-09T10:44:59.0220000Z,12.655,13.0,12.509,12.655,108242.88,6074
2021-09-09T10:45:00.0000000Z,2021-09-09T11:00:00.0000000Z,2021-09-09T10:45:01.2740000Z,2021-09-09T10:59:59.9560000Z,12.657,13.26,12.583,13.134,106138.68,6763
2021-09-09T11:00:00.0000000Z,2021-09-09T11:15:00.0000000Z,2021-09-09T11:00:00.0730000Z,2021-09-09T11:14:59.2100000Z,13.134,13.35,12.942,13.17,102108.43,6564
2021-09-09T11:15:00.0000000Z,2021-09-09T11:30:00.0000000Z,2021-09-09T11:15:02.7690000Z,2021-09-09T11:29:59.1640000Z,13.171,13.9,13.152,13.693,275206.12,11675
2021-09-09T11:30:00.0000000Z,2021-09-09T11:45:00.0000000Z,2021-09-09T11:30:00.9810000Z,2021-09-09T11:44:59.7670000Z,13.702,15.3,13.676,14.515,715803.66,31364
2021-09-09T11:45:00.0000000Z,2021-09-09T12:00:00.0000000Z,2021-09-09T11:45:00.2160000Z,2021-09-09T11:59:59.9500000Z,14.511,16.1,14.255,16.082,794134.62,35992
2021-09-09T12:00:00.0000000Z,2021-09-09T12:15:00.0000000Z,2021-09-09T12:00:00.0450000Z,2021-09-09T12:14:59.2920000Z,16.083,16.41,14.75,14.971,691266.22,28062
2021-09-09T12:15:00.0000000Z,2021-09-09T12:30:00.0000000Z,2021-09-09T12:15:00.1200000Z,2021-09-09T12:29:59.9530000Z,14.972,15.9,14.786,15.18,450666.05,19731
2021-09-09T12:30:00.0000000Z,2021-09-09T12:45:00.0000000Z,2021-09-09T12:30:00.0400000Z,2021-09-09T12:44:59.7550000Z,15.18,15.373,13.95,14.315,444679.27,15805
2021-09-09T12:45:00.0000000Z,2021-09-09T13:00:00.0000000Z,2021-09-09T12:45:00.2070000Z,2021-09-09T12:59:59.9450000Z,14.333,15.14,14.0,14.779,280984.78,11276
2021-09-09T13:00:00.0000000Z,2021-09-09T13:15:00.0000000Z,2021-09-09T13:00:00.0320000Z,2021-09-09T13:14:58.1450000Z,14.773,15.081,14.39,14.601,237285.15,9127
2021-09-09T13:15:00.0000000Z,2021-09-09T13:30:00.0000000Z,2021-09-09T13:15:00.3980000Z,2021-09-09T13:29:58.3360000Z,14.602,15.25,14.324,14.524,264032.96,9869
2021-09-09T13:30:00.0000000Z,2021-09-09T13:45:00.0000000Z,2021-09-09T13:30:01.0670000Z,2021-09-09T13:44:59.1110000Z,14.524,14.714,14.068,14.352,164381.92,7223
2021-09-09T13:45:00.0000000Z,2021-09-09T14:00:00.0000000Z,2021-09-09T13:45:00.4310000Z,2021-09-09T13:59:59.5170000Z,14.352,14.362,13.697,14.14,176617.49,6618
2021-09-09T14:00:00.0000000Z,2021-09-09T14:15:00.0000000Z,2021-09-09T14:00:00.0140000Z,2021-09-09T14:14:59.8040000Z,14.142,14.39,13.65,13.882,157566.37,6094
2021-09-09T14:15:00.0000000Z,2021-09-09T14:30:00.0000000Z,2021-09-09T14:15:01.0450000Z,2021-09-09T14:29:59.8020000Z,13.895,14.16,13.754,14.066,104268.68,4188
2021-09-09T14:30:00.0000000Z,2021-09-09T14:45:00.0000000Z,2021-09-09T14:30:00.7820000Z,2021-09-09T14:44:59.6480000Z,14.064,14.908,14.05,14.799,218982.59,7702
2021-09-09T14:45:00.0000000Z,2021-09-09T15:00:00.0000000Z,2021-09-09T14:45:00.3020000Z,2021-09-09T14:59:59.4210000Z,14.797,15.048,14.316,14.336,156069.28,5982
2021-09-09T15:00:00.0000000Z,2021-09-09T15:15:00.0000000Z,2021-09-09T15:00:00.7530000Z,2021-09-09T15:14:59.4980000Z,14.337,14.568,13.943,14.25,102849.83,4558
2021-09-09T15:15:00.0000000Z,2021-09-09T15:30:00.0000000Z,2021-09-09T15:15:00.3730000Z,2021-09-09T15:29:59.0180000Z,14.25,15.04,14.0,14.784,207311.68,8199
2021-09-09T15:30:00.0000000Z,2021-09-09T15:45:00.0000000Z,2021-09-09T15:30:02.5770000Z,2021-09-09T15:44:59.8820000Z,14.772,15.293,14.771,15.112,310762.37,11091
2021-09-09T15:45:00.0000000Z,2021-09-09T16:00:00.0000000Z,2021-09-09T15:45:00.7570000Z,2021-09-09T15:59:59.9330000Z,15.106,15.99,15.105,15.799,401157.4,17153
2021-09-09T16:00:00.0000000Z,2021-09-09T16:15:00.0000000Z,2021-09-09T16:00:00.0610000Z,2021-09-09T16:14:59.3140000Z,15.792,16.2,14.8,15.189,466421.72,18593
2021-09-09T16:15:00.0000000Z,2021-09-09T16:30:00.0000000Z,2021-09-09T16:15:00.5610000Z,2021-09-09T16:29:59.3460000Z,15.177,15.289,14.712,14.95,145519.5,6697
2021-09-09T16:30:00.0000000Z,2021-09-09T16:45:00.0000000Z,2021-09-09T16:30:01.0060000Z,2021-09-09T16:44:59.1870000Z,14.942,15.285,14.68,14.811,133951.12,5824
