time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-10T07:00:00.0000000Z,2021-11-10T07:15:00.0000000Z,2021-11-10T07:12:11.2760000Z,2021-11-10T07:14:59.9640000Z,65.39,67.93,63.84,64.72,62039.84,6091
2021-11-10T07:15:00.0000000Z,2021-11-10T07:30:00.0000000Z,2021-11-10T07:15:00.0000000Z,2021-11-10T07:29:59.9710000Z,64.93,66.49,61.11,62.22,182912.26,17177
2021-11-10T07:30:00.0000000Z,2021-11-10T07:45:00.0000000Z,2021-11-10T07:30:00.0960000Z,2021-11-10T07:44:59.9750000Z,62.25,62.77,55.75,56.4,110330.76,13003
2021-11-10T07:45:00.0000000Z,2021-11-10T08:00:00.0000000Z,2021-11-10T07:45:00.0640000Z,2021-11-10T07:59:59.8000000Z,56.48,60.8,56.0,57.66,89932.14,10948
2021-11-10T08:00:00.0000000Z,2021-11-10T08:15:00.0000000Z,2021-11-10T08:00:00.1100000Z,2021-11-10T08:14:59.2100000Z,57.69,57.98,54.3,56.49,80131.59,8746
2021-11-10T08:15:00.0000000Z,2021-11-10T08:30:00.0000000Z,2021-11-10T08:15:00.7230000Z,2021-11-10T08:29:59.8410000Z,56.46,58.29,55.77,57.01,62769.44,5425
2021-11-10T08:30:00.0000000Z,2021-11-10T08:45:00.0000000Z,2021-11-10T08:30:00.2950000Z,2021-11-10T08:44:59.9850000Z,57.0,61.99,56.61,60.48,94571.7,9713
2021-11-10T08:45:00.0000000Z,2021-11-10T09:00:00.0000000Z,2021-11-10T08:45:00.8290000Z,2021-11-10T08:59:59.6640000Z,60.48,65.45,59.81,62.75,120169.14,12471
2021-11-10T09:00:00.0000000Z,2021-11-10T09:15:00.0000000Z,2021-11-10T09:00:00.3460000Z,2021-11-10T09:14:59.9780000Z,62.74,66.66,60.45,66.52,78467.81,9524
2021-11-10T09:15:00.0000000Z,2021-11-10T09:30:00.0000000Z,2021-11-10T09:15:00.2140000Z,2021-11-10T09:29:59.5840000Z,66.53,66.54,62.0,64.01,72840.38,9295
2021-11-10T09:30:00.0000000Z,2021-11-10T09:45:00.0000000Z,2021-11-10T09:30:00.4500000Z,2021-11-10T09:44:59.6280000Z,63.95,64.53,61.5,63.52,40822.63,6259
