time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-11T08:00:00.0000000Z,2021-08-11T08:15:00.0000000Z,2021-08-11T08:09:15.5540000Z,2021-08-11T08:14:59.9970000Z,459.7,487.8,400.0,420.0,4168.552,7534
2021-08-11T08:15:00.0000000Z,2021-08-11T08:30:00.0000000Z,2021-08-11T08:15:00.2380000Z,2021-08-11T08:29:59.9700000Z,420.0,525.0,415.0,420.9,7564.523,14026
2021-08-11T08:30:00.0000000Z,2021-08-11T08:45:00.0000000Z,2021-08-11T08:30:00.2090000Z,2021-08-11T08:44:59.9500000Z,419.9,442.5,392.0,427.3,5349.151,8409
2021-08-11T08:45:00.0000000Z,2021-08-11T09:00:00.0000000Z,2021-08-11T08:45:00.2550000Z,2021-08-11T08:59:59.6290000Z,428.0,437.3,377.0,392.1,4469.243,7184
2021-08-11T09:00:00.0000000Z,2021-08-11T09:15:00.0000000Z,2021-08-11T09:00:00.7220000Z,2021-08-11T09:14:58.9620000Z,390.6,399.0,366.0,377.2,3581.691,5697
2021-08-11T09:15:00.0000000Z,2021-08-11T09:30:00.0000000Z,2021-08-11T09:15:00.0610000Z,2021-08-11T09:29:59.8050000Z,377.2,380.0,359.0,368.6,2838.264,3711
2021-08-11T09:30:00.0000000Z,2021-08-11T09:45:00.0000000Z,2021-08-11T09:30:00.1230000Z,2021-08-11T09:44:59.6820000Z,369.9,373.2,328.6,343.0,3512.618,4158
2021-08-11T09:45:00.0000000Z,2021-08-11T10:00:00.0000000Z,2021-08-11T09:45:00.0300000Z,2021-08-11T09:59:59.8920000Z,340.9,354.7,333.5,354.7,2125.035,3042
2021-08-11T10:00:00.0000000Z,2021-08-11T10:15:00.0000000Z,2021-08-11T10:00:01.3160000Z,2021-08-11T10:14:59.3930000Z,354.4,369.0,340.4,356.2,2578.32,3684
2021-08-11T10:15:00.0000000Z,2021-08-11T10:30:00.0000000Z,2021-08-11T10:15:00.0090000Z,2021-08-11T10:29:57.2840000Z,358.0,365.0,347.7,356.6,2337.728,3258
2021-08-11T10:30:00.0000000Z,2021-08-11T10:45:00.0000000Z,2021-08-11T10:30:04.2680000Z,2021-08-11T10:44:58.9840000Z,356.7,382.0,352.1,353.3,2999.0,4031
2021-08-11T10:45:00.0000000Z,2021-08-11T11:00:00.0000000Z,2021-08-11T10:45:02.1950000Z,2021-08-11T10:59:59.2720000Z,353.8,365.0,352.1,355.3,1485.026,2126
2021-08-11T11:00:00.0000000Z,2021-08-11T11:15:00.0000000Z,2021-08-11T11:00:00.6070000Z,2021-08-11T11:14:58.6430000Z,355.7,375.9,353.6,365.2,2279.841,3288
2021-08-11T11:15:00.0000000Z,2021-08-11T11:30:00.0000000Z,2021-08-11T11:15:01.4210000Z,2021-08-11T11:29:59.4920000Z,365.6,369.0,355.0,357.6,1144.52,1984
2021-08-11T11:30:00.0000000Z,2021-08-11T11:45:00.0000000Z,2021-08-11T11:30:00.0970000Z,2021-08-11T11:44:58.5620000Z,357.6,361.4,348.6,355.0,1555.119,2151
2021-08-11T11:45:00.0000000Z,2021-08-11T12:00:00.0000000Z,2021-08-11T11:45:02.4700000Z,2021-08-11T11:59:59.7870000Z,354.0,356.0,308.3,320.5,2849.829,3234
2021-08-11T12:00:00.0000000Z,2021-08-11T12:15:00.0000000Z,2021-08-11T12:00:00.3190000Z,2021-08-11T12:14:52.7110000Z,320.5,330.2,316.2,324.5,1493.849,2184
2021-08-11T12:15:00.0000000Z,2021-08-11T12:30:00.0000000Z,2021-08-11T12:15:00.5640000Z,2021-08-11T12:29:57.5900000Z,324.0,324.1,306.3,309.3,1230.292,1684
2021-08-11T12:30:00.0000000Z,2021-08-11T12:45:00.0000000Z,2021-08-11T12:30:01.6720000Z,2021-08-11T12:44:57.9940000Z,308.1,315.3,290.0,292.7,2244.499,2465
2021-08-11T12:45:00.0000000Z,2021-08-11T13:00:00.0000000Z,2021-08-11T12:45:01.6710000Z,2021-08-11T12:59:58.8390000Z,291.5,293.3,281.9,289.7,2132.752,1826
2021-08-11T13:00:00.0000000Z,2021-08-11T13:15:00.0000000Z,2021-08-11T13:00:07.1440000Z,2021-08-11T13:14:58.0520000Z,289.9,291.7,276.1,281.3,1567.036,1352
2021-08-11T13:15:00.0000000Z,2021-08-11T13:30:00.0000000Z,2021-08-11T13:15:00.3050000Z,2021-08-11T13:29:58.5250000Z,281.3,290.0,279.6,281.4,1324.956,1016
2021-08-11T13:30:00.0000000Z,2021-08-11T13:45:00.0000000Z,2021-08-11T13:30:09.6530000Z,2021-08-11T13:44:54.3870000Z,281.4,289.2,280.0,284.2,1070.678,900
2021-08-11T13:45:00.0000000Z,2021-08-11T14:00:00.0000000Z,2021-08-11T13:45:10.7320000Z,2021-08-11T13:59:59.0070000Z,285.2,303.5,284.2,286.4,2908.737,2319
2021-08-11T14:00:00.0000000Z,2021-08-11T14:15:00.0000000Z,2021-08-11T14:00:01.7680000Z,2021-08-11T14:14:58.0270000Z,286.3,287.6,277.0,277.0,1348.112,1072
2021-08-11T14:15:00.0000000Z,2021-08-11T14:30:00.0000000Z,2021-08-11T14:15:00.9190000Z,2021-08-11T14:29:51.8280000Z,277.0,285.0,276.6,281.2,1111.124,994
2021-08-11T14:30:00.0000000Z,2021-08-11T14:45:00.0000000Z,2021-08-11T14:30:10.1640000Z,2021-08-11T14:44:55.9810000Z,280.5,280.5,272.0,274.1,1221.766,1034
2021-08-11T14:45:00.0000000Z,2021-08-11T15:00:00.0000000Z,2021-08-11T14:45:08.9930000Z,2021-08-11T14:59:59.7490000Z,274.0,277.0,266.6,268.4,1037.476,877
2021-08-11T15:00:00.0000000Z,2021-08-11T15:15:00.0000000Z,2021-08-11T15:00:00.1720000Z,2021-08-11T15:14:56.4430000Z,268.0,274.0,263.3,270.5,983.673,875
2021-08-11T15:15:00.0000000Z,2021-08-11T15:30:00.0000000Z,2021-08-11T15:15:00.9910000Z,2021-08-11T15:29:48.6780000Z,271.1,284.6,271.1,275.1,1147.297,1153
2021-08-11T15:30:00.0000000Z,2021-08-11T15:45:00.0000000Z,2021-08-11T15:30:06.6150000Z,2021-08-11T15:44:56.9010000Z,275.0,277.8,269.2,274.5,701.665,847
2021-08-11T15:45:00.0000000Z,2021-08-11T16:00:00.0000000Z,2021-08-11T15:45:02.9100000Z,2021-08-11T15:59:59.6480000Z,274.3,308.0,273.4,294.6,2642.107,3099
2021-08-11T16:00:00.0000000Z,2021-08-11T16:15:00.0000000Z,2021-08-11T16:00:00.1120000Z,2021-08-11T16:14:52.4630000Z,294.5,294.5,274.8,274.8,1882.685,1997
2021-08-11T16:15:00.0000000Z,2021-08-11T16:30:00.0000000Z,2021-08-11T16:15:00.0820000Z,2021-08-11T16:29:58.5860000Z,274.8,281.1,272.1,278.6,736.716,877
2021-08-11T16:30:00.0000000Z,2021-08-11T16:45:00.0000000Z,2021-08-11T16:30:03.0230000Z,2021-08-11T16:44:55.1230000Z,278.0,286.0,276.0,284.9,986.935,1050
2021-08-11T16:45:00.0000000Z,2021-08-11T17:00:00.0000000Z,2021-08-11T16:45:01.9010000Z,2021-08-11T16:59:50.6550000Z,285.0,286.4,276.6,279.1,674.757,756
2021-08-11T17:00:00.0000000Z,2021-08-11T17:15:00.0000000Z,2021-08-11T17:00:16.0760000Z,2021-08-11T17:14:57.9060000Z,279.1,280.0,275.0,276.0,389.131,462
2021-08-11T17:15:00.0000000Z,2021-08-11T17:30:00.0000000Z,2021-08-11T17:15:00.3080000Z,2021-08-11T17:29:40.4500000Z,276.1,278.0,274.0,276.6,470.902,478
2021-08-11T17:30:00.0000000Z,2021-08-11T17:45:00.0000000Z,2021-08-11T17:30:09.7810000Z,2021-08-11T17:44:58.6540000Z,276.5,276.8,273.0,273.9,340.518,459
2021-08-11T17:45:00.0000000Z,2021-08-11T18:00:00.0000000Z,2021-08-11T17:45:03.9520000Z,2021-08-11T17:59:58.3120000Z,273.9,275.3,272.5,275.3,324.077,310
2021-08-11T18:00:00.0000000Z,2021-08-11T18:15:00.0000000Z,2021-08-11T18:00:01.1520000Z,2021-08-11T18:14:59.8090000Z,276.0,300.0,275.5,296.2,2579.263,2815
2021-08-11T18:15:00.0000000Z,2021-08-11T18:30:00.0000000Z,2021-08-11T18:15:01.5430000Z,2021-08-11T18:29:59.2350000Z,296.2,329.9,292.3,329.6,6017.315,6459
2021-08-11T18:30:00.0000000Z,2021-08-11T18:45:00.0000000Z,2021-08-11T18:30:00.5370000Z,2021-08-11T18:44:59.8950000Z,329.5,359.0,316.0,317.0,9567.999,10673
2021-08-11T18:45:00.0000000Z,2021-08-11T19:00:00.0000000Z,2021-08-11T18:45:00.1260000Z,2021-08-11T18:59:58.4770000Z,316.8,319.0,302.4,308.0,3922.403,3865
2021-08-11T19:00:00.0000000Z,2021-08-11T19:15:00.0000000Z,2021-08-11T19:00:00.9180000Z,2021-08-11T19:14:58.0940000Z,307.3,310.0,291.5,307.9,2935.771,3064
2021-08-11T19:15:00.0000000Z,2021-08-11T19:30:00.0000000Z,2021-08-11T19:15:00.8980000Z,2021-08-11T19:29:59.0980000Z,307.5,326.0,296.9,309.2,1338.958,1725
2021-08-11T19:30:00.0000000Z,2021-08-11T19:45:00.0000000Z,2021-08-11T19:30:00.5190000Z,2021-08-11T19:44:55.6090000Z,309.5,325.0,302.4,303.7,2754.069,3659
2021-08-11T19:45:00.0000000Z,2021-08-11T20:00:00.0000000Z,2021-08-11T19:45:01.9920000Z,2021-08-11T19:59:58.8400000Z,304.0,319.5,302.0,302.4,1776.601,1868
2021-08-11T20:00:00.0000000Z,2021-08-11T20:15:00.0000000Z,2021-08-11T20:00:00.8500000Z,2021-08-11T20:14:58.0290000Z,302.3,307.0,295.0,304.5,1390.787,1872
2021-08-11T20:15:00.0000000Z,2021-08-11T20:30:00.0000000Z,2021-08-11T20:15:03.4920000Z,2021-08-11T20:29:59.6550000Z,303.7,308.9,297.3,298.7,868.474,1566
2021-08-11T20:30:00.0000000Z,2021-08-11T20:45:00.0000000Z,2021-08-11T20:30:00.4140000Z,2021-08-11T20:44:35.5810000Z,298.6,300.7,296.3,297.4,574.76,836
2021-08-11T20:45:00.0000000Z,2021-08-11T21:00:00.0000000Z,2021-08-11T20:45:00.0760000Z,2021-08-11T20:59:48.2710000Z,297.6,313.0,297.0,306.4,1778.824,2131
2021-08-11T21:00:00.0000000Z,2021-08-11T21:15:00.0000000Z,2021-08-11T21:00:00.1840000Z,2021-08-11T21:14:59.8770000Z,305.7,316.8,305.5,316.0,1404.442,2151
2021-08-11T21:15:00.0000000Z,2021-08-11T21:30:00.0000000Z,2021-08-11T21:15:01.9190000Z,2021-08-11T21:29:57.0500000Z,315.5,330.0,310.1,310.1,1634.456,2272
2021-08-11T21:30:00.0000000Z,2021-08-11T21:45:00.0000000Z,2021-08-11T21:30:00.8530000Z,2021-08-11T21:44:41.6720000Z,310.2,315.0,306.3,308.3,963.746,1004
2021-08-11T21:45:00.0000000Z,2021-08-11T22:00:00.0000000Z,2021-08-11T21:45:04.9200000Z,2021-08-11T21:59:55.0790000Z,308.5,310.5,301.9,307.0,602.804,759
2021-08-11T22:00:00.0000000Z,2021-08-11T22:15:00.0000000Z,2021-08-11T22:00:15.4400000Z,2021-08-11T22:14:59.0990000Z,306.7,306.7,297.0,297.3,719.331,797
2021-08-11T22:15:00.0000000Z,2021-08-11T22:30:00.0000000Z,2021-08-11T22:15:01.0310000Z,2021-08-11T22:29:57.6820000Z,297.4,306.3,293.7,293.7,767.373,964
2021-08-11T22:30:00.0000000Z,2021-08-11T22:45:00.0000000Z,2021-08-11T22:30:03.3900000Z,2021-08-11T22:44:42.4740000Z,293.7,299.0,288.0,291.5,751.244,747
2021-08-11T22:45:00.0000000Z,2021-08-11T23:00:00.0000000Z,2021-08-11T22:45:05.2060000Z,2021-08-11T22:59:59.3840000Z,291.7,305.0,290.1,293.9,783.855,954
2021-08-11T23:00:00.0000000Z,2021-08-11T23:15:00.0000000Z,2021-08-11T23:00:04.4150000Z,2021-08-11T23:14:55.4070000Z,293.1,298.2,290.2,291.5,379.184,383
2021-08-11T23:15:00.0000000Z,2021-08-11T23:30:00.0000000Z,2021-08-11T23:15:02.8490000Z,2021-08-11T23:29:56.8590000Z,291.0,303.0,290.4,292.0,378.551,538
2021-08-11T23:30:00.0000000Z,2021-08-11T23:45:00.0000000Z,2021-08-11T23:30:02.8150000Z,2021-08-11T23:44:57.2720000Z,291.9,293.6,282.6,282.7,375.866,608
2021-08-11T23:45:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T23:45:01.7780000Z,2021-08-11T23:59:38.7400000Z,282.4,296.2,278.3,288.5,550.535,745
2021-08-12T00:00:00.0000000Z,2021-08-12T00:15:00.0000000Z,2021-08-12T00:00:25.0500000Z,2021-08-12T00:14:53.4600000Z,290.1,294.2,278.2,279.2,646.612,824
2021-08-12T00:15:00.0000000Z,2021-08-12T00:30:00.0000000Z,2021-08-12T00:15:00.2470000Z,2021-08-12T00:29:40.2420000Z,279.2,280.1,277.7,278.2,257.026,358
2021-08-12T00:30:00.0000000Z,2021-08-12T00:45:00.0000000Z,2021-08-12T00:30:13.8110000Z,2021-08-12T00:44:52.0930000Z,278.2,284.5,277.8,279.0,276.658,378
2021-08-12T00:45:00.0000000Z,2021-08-12T01:00:00.0000000Z,2021-08-12T00:45:05.2710000Z,2021-08-12T00:59:55.2810000Z,278.5,281.9,277.3,279.1,259.83,384
2021-08-12T01:00:00.0000000Z,2021-08-12T01:15:00.0000000Z,2021-08-12T01:00:10.1210000Z,2021-08-12T01:14:55.9690000Z,278.9,282.4,276.6,279.3,329.698,345
2021-08-12T01:15:00.0000000Z,2021-08-12T01:30:00.0000000Z,2021-08-12T01:15:07.9130000Z,2021-08-12T01:29:59.2960000Z,279.2,279.3,275.0,275.4,379.934,352
2021-08-12T01:30:00.0000000Z,2021-08-12T01:45:00.0000000Z,2021-08-12T01:30:00.0770000Z,2021-08-12T01:44:43.5770000Z,275.1,284.0,275.0,279.9,412.619,466
2021-08-12T01:45:00.0000000Z,2021-08-12T02:00:00.0000000Z,2021-08-12T01:45:03.9590000Z,2021-08-12T01:59:55.4100000Z,279.1,283.4,276.1,276.5,198.514,250
2021-08-12T02:00:00.0000000Z,2021-08-12T02:15:00.0000000Z,2021-08-12T02:00:08.6230000Z,2021-08-12T02:14:05.0040000Z,276.6,279.5,275.0,277.5,237.546,271
2021-08-12T02:15:00.0000000Z,2021-08-12T02:30:00.0000000Z,2021-08-12T02:15:00.2790000Z,2021-08-12T02:29:58.8700000Z,277.1,295.1,276.5,291.4,758.976,1005
2021-08-12T02:30:00.0000000Z,2021-08-12T02:45:00.0000000Z,2021-08-12T02:30:06.1020000Z,2021-08-12T02:44:56.3650000Z,291.4,309.9,281.6,308.0,1199.84,1622
2021-08-12T02:45:00.0000000Z,2021-08-12T03:00:00.0000000Z,2021-08-12T02:45:00.5260000Z,2021-08-12T02:59:58.0500000Z,308.2,310.7,290.5,293.9,1596.202,2050
2021-08-12T03:00:00.0000000Z,2021-08-12T03:15:00.0000000Z,2021-08-12T03:00:03.0760000Z,2021-08-12T03:14:57.0020000Z,293.7,300.6,290.2,291.7,654.99,999
2021-08-12T03:15:00.0000000Z,2021-08-12T03:30:00.0000000Z,2021-08-12T03:15:05.0540000Z,2021-08-12T03:29:56.8270000Z,290.9,302.7,288.9,299.0,469.025,937
2021-08-12T03:30:00.0000000Z,2021-08-12T03:45:00.0000000Z,2021-08-12T03:30:00.1180000Z,2021-08-12T03:44:57.6680000Z,299.0,299.0,293.9,296.6,240.213,426
2021-08-12T03:45:00.0000000Z,2021-08-12T04:00:00.0000000Z,2021-08-12T03:45:01.5500000Z,2021-08-12T03:59:59.8310000Z,296.7,314.0,296.7,301.8,951.562,1729
2021-08-12T04:00:00.0000000Z,2021-08-12T04:15:00.0000000Z,2021-08-12T04:00:00.3440000Z,2021-08-12T04:14:51.3980000Z,301.7,310.7,300.1,302.3,722.577,1241
2021-08-12T04:15:00.0000000Z,2021-08-12T04:30:00.0000000Z,2021-08-12T04:15:04.4190000Z,2021-08-12T04:29:58.6470000Z,302.0,307.2,301.3,304.1,595.346,827
2021-08-12T04:30:00.0000000Z,2021-08-12T04:45:00.0000000Z,2021-08-12T04:30:02.6680000Z,2021-08-12T04:44:50.6810000Z,304.1,304.1,295.4,296.8,478.325,770
2021-08-12T04:45:00.0000000Z,2021-08-12T05:00:00.0000000Z,2021-08-12T04:45:01.8970000Z,2021-08-12T04:59:55.9900000Z,296.8,300.5,294.2,297.5,369.969,525
2021-08-12T05:00:00.0000000Z,2021-08-12T05:15:00.0000000Z,2021-08-12T05:00:03.0880000Z,2021-08-12T05:14:46.2270000Z,297.5,299.2,290.0,290.2,271.196,420
2021-08-12T05:15:00.0000000Z,2021-08-12T05:30:00.0000000Z,2021-08-12T05:15:02.8190000Z,2021-08-12T05:29:55.0700000Z,290.3,293.8,282.8,282.8,362.253,581
