time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-03T08:00:00.0000000Z,2021-03-03T08:15:00.0000000Z,2021-03-03T08:00:00.0000000Z,2021-03-03T08:14:59.5480000Z,3.341,4.399,3.341,3.838,1570543.483,13020
2021-03-03T08:15:00.0000000Z,2021-03-03T08:30:00.0000000Z,2021-03-03T08:15:02.1810000Z,2021-03-03T08:29:58.8710000Z,3.838,3.848,3.588,3.6,492150.853,4114
2021-03-03T08:30:00.0000000Z,2021-03-03T08:45:00.0000000Z,2021-03-03T08:30:00.7370000Z,2021-03-03T08:44:56.6470000Z,3.598,3.63,3.45,3.527,370351.516,3006
2021-03-03T08:45:00.0000000Z,2021-03-03T09:00:00.0000000Z,2021-03-03T08:45:00.2700000Z,2021-03-03T08:59:59.4480000Z,3.528,3.65,3.438,3.615,219789.859,1958
2021-03-03T09:00:00.0000000Z,2021-03-03T09:15:00.0000000Z,2021-03-03T09:00:01.7920000Z,2021-03-03T09:14:59.4630000Z,3.617,3.714,3.533,3.649,167660.832,1672
2021-03-03T09:15:00.0000000Z,2021-03-03T09:30:00.0000000Z,2021-03-03T09:15:03.4080000Z,2021-03-03T09:29:59.9770000Z,3.64,3.641,3.4,3.428,250896.009,2783
2021-03-03T09:30:00.0000000Z,2021-03-03T09:45:00.0000000Z,2021-03-03T09:30:00.7030000Z,2021-03-03T09:44:59.7630000Z,3.441,3.55,3.418,3.5,147858.679,1029
2021-03-03T09:45:00.0000000Z,2021-03-03T10:00:00.0000000Z,2021-03-03T09:45:01.4450000Z,2021-03-03T09:59:56.8880000Z,3.499,3.541,3.464,3.533,57414.288,598
2021-03-03T10:00:00.0000000Z,2021-03-03T10:15:00.0000000Z,2021-03-03T10:00:03.1870000Z,2021-03-03T10:14:51.5250000Z,3.522,3.535,3.473,3.483,34253.783,497
2021-03-03T10:15:00.0000000Z,2021-03-03T10:30:00.0000000Z,2021-03-03T10:15:12.4280000Z,2021-03-03T10:29:54.6310000Z,3.482,3.49,3.381,3.437,88638.466,873
2021-03-03T10:30:00.0000000Z,2021-03-03T10:45:00.0000000Z,2021-03-03T10:30:00.0420000Z,2021-03-03T10:44:59.6770000Z,3.438,3.494,3.402,3.489,48001.729,528
2021-03-03T10:45:00.0000000Z,2021-03-03T11:00:00.0000000Z,2021-03-03T10:45:10.1410000Z,2021-03-03T10:59:55.2020000Z,3.48,3.57,3.462,3.561,43197.574,567
2021-03-03T11:00:00.0000000Z,2021-03-03T11:15:00.0000000Z,2021-03-03T11:00:06.0110000Z,2021-03-03T11:14:58.7460000Z,3.561,3.65,3.491,3.63,105188.137,1101
2021-03-03T11:15:00.0000000Z,2021-03-03T11:30:00.0000000Z,2021-03-03T11:15:03.9230000Z,2021-03-03T11:29:58.0230000Z,3.622,3.679,3.56,3.57,76218.459,622
2021-03-03T11:30:00.0000000Z,2021-03-03T11:45:00.0000000Z,2021-03-03T11:30:00.5400000Z,2021-03-03T11:44:58.3390000Z,3.573,3.609,3.48,3.511,35376.654,665
2021-03-03T11:45:00.0000000Z,2021-03-03T12:00:00.0000000Z,2021-03-03T11:45:03.9660000Z,2021-03-03T11:59:59.5230000Z,3.501,3.557,3.458,3.534,23434.138,545
2021-03-03T12:00:00.0000000Z,2021-03-03T12:15:00.0000000Z,2021-03-03T12:00:06.6490000Z,2021-03-03T12:14:56.7720000Z,3.533,3.533,3.465,3.481,31965.048,383
2021-03-03T12:15:00.0000000Z,2021-03-03T12:30:00.0000000Z,2021-03-03T12:15:03.0560000Z,2021-03-03T12:29:56.1380000Z,3.482,3.61,3.47,3.56,56582.399,521
2021-03-03T12:30:00.0000000Z,2021-03-03T12:45:00.0000000Z,2021-03-03T12:30:03.9250000Z,2021-03-03T12:44:59.6700000Z,3.569,3.58,3.476,3.508,79446.179,893
2021-03-03T12:45:00.0000000Z,2021-03-03T13:00:00.0000000Z,2021-03-03T12:45:07.4270000Z,2021-03-03T12:59:58.4640000Z,3.508,3.55,3.42,3.42,55168.044,650
2021-03-03T13:00:00.0000000Z,2021-03-03T13:15:00.0000000Z,2021-03-03T13:00:00.9540000Z,2021-03-03T13:14:46.1740000Z,3.425,3.502,3.401,3.489,71875.079,672
2021-03-03T13:15:00.0000000Z,2021-03-03T13:30:00.0000000Z,2021-03-03T13:15:00.9640000Z,2021-03-03T13:29:58.0290000Z,3.489,3.497,3.345,3.379,100218.823,929
2021-03-03T13:30:00.0000000Z,2021-03-03T13:45:00.0000000Z,2021-03-03T13:30:03.3660000Z,2021-03-03T13:44:56.4930000Z,3.364,3.399,3.24,3.288,151163.144,1645
2021-03-03T13:45:00.0000000Z,2021-03-03T14:00:00.0000000Z,2021-03-03T13:45:06.2800000Z,2021-03-03T13:59:48.6900000Z,3.276,3.338,3.261,3.28,62326.288,547
2021-03-03T14:00:00.0000000Z,2021-03-03T14:15:00.0000000Z,2021-03-03T14:00:03.3810000Z,2021-03-03T14:14:59.5840000Z,3.28,3.29,3.149,3.181,77472.237,819
2021-03-03T14:15:00.0000000Z,2021-03-03T14:30:00.0000000Z,2021-03-03T14:15:00.5580000Z,2021-03-03T14:29:50.8160000Z,3.178,3.2,3.076,3.09,126962.872,1229
2021-03-03T14:30:00.0000000Z,2021-03-03T14:45:00.0000000Z,2021-03-03T14:30:00.5390000Z,2021-03-03T14:44:58.9550000Z,3.092,3.165,3.081,3.098,95674.729,969
2021-03-03T14:45:00.0000000Z,2021-03-03T15:00:00.0000000Z,2021-03-03T14:45:01.4780000Z,2021-03-03T14:59:57.6620000Z,3.096,3.199,3.08,3.186,62751.628,400
2021-03-03T15:00:00.0000000Z,2021-03-03T15:15:00.0000000Z,2021-03-03T15:00:04.2040000Z,2021-03-03T15:14:58.2200000Z,3.174,3.272,3.174,3.257,65288.72,565
2021-03-03T15:15:00.0000000Z,2021-03-03T15:30:00.0000000Z,2021-03-03T15:15:03.3320000Z,2021-03-03T15:29:57.6620000Z,3.257,3.29,3.221,3.29,17881.145,285
2021-03-03T15:30:00.0000000Z,2021-03-03T15:45:00.0000000Z,2021-03-03T15:30:03.7410000Z,2021-03-03T15:44:59.3160000Z,3.284,3.303,3.226,3.263,32286.407,365
2021-03-03T15:45:00.0000000Z,2021-03-03T16:00:00.0000000Z,2021-03-03T15:45:19.8370000Z,2021-03-03T15:59:40.3510000Z,3.261,3.264,3.195,3.233,21702.659,330
2021-03-03T16:00:00.0000000Z,2021-03-03T16:15:00.0000000Z,2021-03-03T16:00:05.3980000Z,2021-03-03T16:14:59.4100000Z,3.232,3.427,3.232,3.376,118181.953,854
2021-03-03T16:15:00.0000000Z,2021-03-03T16:30:00.0000000Z,2021-03-03T16:15:01.1320000Z,2021-03-03T16:29:51.0480000Z,3.377,3.392,3.325,3.331,45750.878,454
2021-03-03T16:30:00.0000000Z,2021-03-03T16:45:00.0000000Z,2021-03-03T16:30:00.8240000Z,2021-03-03T16:44:58.1540000Z,3.328,3.4,3.32,3.39,44698.513,475
2021-03-03T16:45:00.0000000Z,2021-03-03T17:00:00.0000000Z,2021-03-03T16:45:00.2980000Z,2021-03-03T16:59:55.8510000Z,3.388,3.44,3.346,3.428,58148.033,564
2021-03-03T17:00:00.0000000Z,2021-03-03T17:15:00.0000000Z,2021-03-03T17:00:01.1190000Z,2021-03-03T17:14:32.2200000Z,3.428,3.438,3.381,3.388,29594.729,449
2021-03-03T17:15:00.0000000Z,2021-03-03T17:30:00.0000000Z,2021-03-03T17:15:07.6500000Z,2021-03-03T17:29:54.9380000Z,3.386,3.389,3.346,3.348,19962.796,300
2021-03-03T17:30:00.0000000Z,2021-03-03T17:45:00.0000000Z,2021-03-03T17:30:25.1040000Z,2021-03-03T17:44:57.6520000Z,3.347,3.352,3.252,3.261,55422.156,567
2021-03-03T17:45:00.0000000Z,2021-03-03T18:00:00.0000000Z,2021-03-03T17:45:13.6120000Z,2021-03-03T17:59:53.3830000Z,3.262,3.364,3.261,3.347,81295.625,528
2021-03-03T18:00:00.0000000Z,2021-03-03T18:15:00.0000000Z,2021-03-03T18:00:02.4300000Z,2021-03-03T18:14:53.7710000Z,3.348,3.389,3.348,3.369,32306.118,234
2021-03-03T18:15:00.0000000Z,2021-03-03T18:30:00.0000000Z,2021-03-03T18:15:16.4160000Z,2021-03-03T18:29:34.2260000Z,3.375,3.38,3.3,3.319,34904.716,296
2021-03-03T18:30:00.0000000Z,2021-03-03T18:45:00.0000000Z,2021-03-03T18:30:01.0120000Z,2021-03-03T18:44:44.6150000Z,3.314,3.32,3.282,3.307,25084.281,244
2021-03-03T18:45:00.0000000Z,2021-03-03T19:00:00.0000000Z,2021-03-03T18:45:00.0880000Z,2021-03-03T18:59:40.3060000Z,3.301,3.4,3.287,3.356,36618.862,438
2021-03-03T19:00:00.0000000Z,2021-03-03T19:15:00.0000000Z,2021-03-03T19:00:01.6790000Z,2021-03-03T19:14:56.7390000Z,3.358,3.52,3.347,3.43,160691.679,1889
2021-03-03T19:15:00.0000000Z,2021-03-03T19:30:00.0000000Z,2021-03-03T19:15:02.8130000Z,2021-03-03T19:29:58.2780000Z,3.449,3.469,3.249,3.315,64344.466,1260
2021-03-03T19:30:00.0000000Z,2021-03-03T19:45:00.0000000Z,2021-03-03T19:30:05.3810000Z,2021-03-03T19:44:58.5370000Z,3.315,3.45,3.306,3.44,39405.399,787
2021-03-03T19:45:00.0000000Z,2021-03-03T20:00:00.0000000Z,2021-03-03T19:45:04.5230000Z,2021-03-03T19:59:58.2390000Z,3.431,3.431,3.367,3.398,21086.055,383
2021-03-03T20:00:00.0000000Z,2021-03-03T20:15:00.0000000Z,2021-03-03T20:00:02.6460000Z,2021-03-03T20:14:55.7320000Z,3.389,3.44,3.385,3.386,22436.335,378
2021-03-03T20:15:00.0000000Z,2021-03-03T20:30:00.0000000Z,2021-03-03T20:15:05.5470000Z,2021-03-03T20:29:57.9570000Z,3.386,3.398,3.358,3.392,20081.71,348
