time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-12-10T06:00:00.0000000Z,2021-12-10T06:15:00.0000000Z,2021-12-10T06:06:58.4880000Z,2021-12-10T06:14:59.3190000Z,3.432,3.7,2.956,3.0,127551.06,1617
2021-12-10T06:15:00.0000000Z,2021-12-10T06:30:00.0000000Z,2021-12-10T06:15:00.4310000Z,2021-12-10T06:29:59.8090000Z,3.0,3.443,2.75,3.296,309541.92,2860
2021-12-10T06:30:00.0000000Z,2021-12-10T06:45:00.0000000Z,2021-12-10T06:30:00.0210000Z,2021-12-10T06:44:59.8280000Z,3.299,4.686,3.23,3.988,486215.84,5407
2021-12-10T06:45:00.0000000Z,2021-12-10T07:00:00.0000000Z,2021-12-10T06:45:00.2970000Z,2021-12-10T06:59:59.9630000Z,3.967,4.5,3.568,3.568,295056.33,3135
2021-12-10T07:00:00.0000000Z,2021-12-10T07:15:00.0000000Z,2021-12-10T07:00:01.7840000Z,2021-12-10T07:14:59.5920000Z,3.561,4.12,3.561,3.702,230228.27,2103
2021-12-10T07:15:00.0000000Z,2021-12-10T07:30:00.0000000Z,2021-12-10T07:15:00.0490000Z,2021-12-10T07:29:58.2150000Z,3.722,3.843,3.015,3.071,299197.02,2201
2021-12-10T07:30:00.0000000Z,2021-12-10T07:45:00.0000000Z,2021-12-10T07:30:00.1270000Z,2021-12-10T07:44:59.9900000Z,3.063,3.177,2.957,3.019,252368.41,2024
2021-12-10T07:45:00.0000000Z,2021-12-10T08:00:00.0000000Z,2021-12-10T07:45:00.0950000Z,2021-12-10T07:59:57.4380000Z,3.004,3.344,2.982,3.293,214167.03,1671
2021-12-10T08:00:00.0000000Z,2021-12-10T08:15:00.0000000Z,2021-12-10T08:00:01.0100000Z,2021-12-10T08:14:51.4230000Z,3.311,3.39,3.102,3.146,94634.27,810
2021-12-10T08:15:00.0000000Z,2021-12-10T08:30:00.0000000Z,2021-12-10T08:15:00.6660000Z,2021-12-10T08:29:58.5780000Z,3.163,3.418,3.158,3.374,151147.4,1249
2021-12-10T08:30:00.0000000Z,2021-12-10T08:45:00.0000000Z,2021-12-10T08:30:02.2740000Z,2021-12-10T08:44:59.9170000Z,3.374,3.95,3.374,3.657,366693.25,3506
2021-12-10T08:45:00.0000000Z,2021-12-10T09:00:00.0000000Z,2021-12-10T08:45:00.7000000Z,2021-12-10T08:59:59.0640000Z,3.651,3.8,3.42,3.47,196820.86,1960
2021-12-10T09:00:00.0000000Z,2021-12-10T09:15:00.0000000Z,2021-12-10T09:00:00.5980000Z,2021-12-10T09:14:59.6730000Z,3.467,3.768,3.447,3.627,188502.57,1801
2021-12-10T09:15:00.0000000Z,2021-12-10T09:30:00.0000000Z,2021-12-10T09:15:04.3810000Z,2021-12-10T09:29:56.9500000Z,3.628,3.676,3.248,3.324,212233.58,1659
2021-12-10T09:30:00.0000000Z,2021-12-10T09:45:00.0000000Z,2021-12-10T09:30:01.8370000Z,2021-12-10T09:44:57.4610000Z,3.343,3.343,3.03,3.17,212105.64,1474
2021-12-10T09:45:00.0000000Z,2021-12-10T10:00:00.0000000Z,2021-12-10T09:45:01.4020000Z,2021-12-10T09:59:54.9550000Z,3.163,3.255,3.079,3.243,114460.87,1030
2021-12-10T10:00:00.0000000Z,2021-12-10T10:15:00.0000000Z,2021-12-10T10:00:09.3730000Z,2021-12-10T10:14:52.7850000Z,3.247,3.364,3.066,3.131,89252.0,939
2021-12-10T10:15:00.0000000Z,2021-12-10T10:30:00.0000000Z,2021-12-10T10:15:04.7290000Z,2021-12-10T10:29:59.7530000Z,3.143,3.2,2.861,2.901,209526.09,1651
2021-12-10T10:30:00.0000000Z,2021-12-10T10:45:00.0000000Z,2021-12-10T10:30:00.3820000Z,2021-12-10T10:44:59.4040000Z,2.889,3.01,2.676,2.685,261003.24,1915
2021-12-10T10:45:00.0000000Z,2021-12-10T11:00:00.0000000Z,2021-12-10T10:45:00.2160000Z,2021-12-10T10:59:56.6240000Z,2.688,2.69,2.522,2.624,277871.48,1887
2021-12-10T11:00:00.0000000Z,2021-12-10T11:15:00.0000000Z,2021-12-10T11:00:00.2640000Z,2021-12-10T11:14:59.1770000Z,2.614,2.669,2.47,2.472,246622.96,1520
2021-12-10T11:15:00.0000000Z,2021-12-10T11:30:00.0000000Z,2021-12-10T11:15:00.5440000Z,2021-12-10T11:29:58.6800000Z,2.47,2.531,2.276,2.478,256936.32,1666
2021-12-10T11:30:00.0000000Z,2021-12-10T11:45:00.0000000Z,2021-12-10T11:30:06.5740000Z,2021-12-10T11:44:58.3000000Z,2.447,2.48,2.263,2.296,176792.28,1277
2021-12-10T11:45:00.0000000Z,2021-12-10T12:00:00.0000000Z,2021-12-10T11:45:01.9890000Z,2021-12-10T11:59:59.0410000Z,2.294,2.425,2.257,2.371,188939.36,1131
2021-12-10T12:00:00.0000000Z,2021-12-10T12:15:00.0000000Z,2021-12-10T12:00:00.0330000Z,2021-12-10T12:14:57.6280000Z,2.37,2.487,2.315,2.335,139231.94,893
2021-12-10T12:15:00.0000000Z,2021-12-10T12:30:00.0000000Z,2021-12-10T12:15:03.8010000Z,2021-12-10T12:29:56.6640000Z,2.325,2.335,2.173,2.181,164201.31,870
