time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-23T09:00:00.0000000Z,2021-04-23T09:15:00.0000000Z,2021-04-23T09:03:37.9330000Z,2021-04-23T09:04:18.2960000Z,40.654,41.892,40.653,41.294,6031.566,599
2021-05-21T16:30:00.0000000Z,2021-05-21T16:45:00.0000000Z,2021-05-21T16:33:57.9160000Z,2021-05-21T16:44:07.1220000Z,19.283,19.283,19.162,19.183,116.495,20
2021-05-21T16:45:00.0000000Z,2021-05-21T17:00:00.0000000Z,2021-05-21T16:45:12.5580000Z,2021-05-21T16:59:29.5510000Z,19.196,19.482,19.196,19.24,1212.461,69
2021-05-21T17:00:00.0000000Z,2021-05-21T17:15:00.0000000Z,2021-05-21T17:00:36.1020000Z,2021-05-21T17:14:23.3040000Z,19.2,19.317,19.101,19.215,1119.403,57
2021-05-21T17:15:00.0000000Z,2021-05-21T17:30:00.0000000Z,2021-05-21T17:15:36.9910000Z,2021-05-21T17:29:56.9530000Z,19.113,20.007,19.084,19.77,11575.713,197
2021-05-21T17:30:00.0000000Z,2021-05-21T17:45:00.0000000Z,2021-05-21T17:30:18.2240000Z,2021-05-21T17:43:34.7440000Z,19.774,19.852,19.398,19.632,1398.928,87
2021-05-21T17:45:00.0000000Z,2021-05-21T18:00:00.0000000Z,2021-05-21T17:45:21.0960000Z,2021-05-21T17:59:44.2120000Z,19.642,19.73,19.501,19.73,1054.348,66
2021-05-21T18:00:00.0000000Z,2021-05-21T18:15:00.0000000Z,2021-05-21T18:00:37.2050000Z,2021-05-21T18:14:50.4920000Z,19.677,19.677,19.398,19.398,746.785,80
2021-05-21T18:15:00.0000000Z,2021-05-21T18:30:00.0000000Z,2021-05-21T18:15:19.3410000Z,2021-05-21T18:29:45.2960000Z,19.398,19.398,19.0,19.0,5423.112,102
2021-05-21T18:30:00.0000000Z,2021-05-21T18:45:00.0000000Z,2021-05-21T18:30:07.3170000Z,2021-05-21T18:42:22.8330000Z,19.029,19.499,19.0,19.294,1187.052,64
2021-05-21T18:45:00.0000000Z,2021-05-21T19:00:00.0000000Z,2021-05-21T18:45:17.5780000Z,2021-05-21T18:59:49.1710000Z,19.299,19.523,19.217,19.393,731.487,45
2021-05-21T19:00:00.0000000Z,2021-05-21T19:15:00.0000000Z,2021-05-21T19:00:19.8950000Z,2021-05-21T19:14:32.7720000Z,19.375,19.394,19.0,19.112,730.643,50
2021-05-21T19:15:00.0000000Z,2021-05-21T19:30:00.0000000Z,2021-05-21T19:15:53.4620000Z,2021-05-21T19:29:51.3580000Z,19.002,19.103,18.623,18.623,4474.836,82
