time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T10:00:00.0000000Z,2021-06-06T10:15:00.0000000Z,2021-06-06T10:03:55.5480000Z,2021-06-06T10:11:29.7470000Z,0.3258,0.3271,0.3244,0.3244,3842.0,26
2021-06-06T10:15:00.0000000Z,2021-06-06T10:30:00.0000000Z,2021-06-06T10:15:10.8940000Z,2021-06-06T10:29:12.7330000Z,0.3241,0.3252,0.3212,0.3225,7653.0,23
2021-06-06T10:30:00.0000000Z,2021-06-06T10:45:00.0000000Z,2021-06-06T10:32:16.3730000Z,2021-06-06T10:44:24.3710000Z,0.3224,0.3238,0.3199,0.3216,3309.0,14
2021-06-06T10:45:00.0000000Z,2021-06-06T11:00:00.0000000Z,2021-06-06T10:46:08.2210000Z,2021-06-06T10:59:00.9650000Z,0.3216,0.3224,0.321,0.3213,6686.0,12
2021-06-06T11:00:00.0000000Z,2021-06-06T11:15:00.0000000Z,2021-06-06T11:01:42.3560000Z,2021-06-06T11:12:13.7980000Z,0.324,0.3241,0.321,0.321,5131.0,17
2021-06-06T11:15:00.0000000Z,2021-06-06T11:30:00.0000000Z,2021-06-06T11:15:28.2420000Z,2021-06-06T11:28:21.0680000Z,0.3215,0.3217,0.3195,0.3195,20743.0,19
2021-06-06T11:30:00.0000000Z,2021-06-06T11:45:00.0000000Z,2021-06-06T11:31:40.9170000Z,2021-06-06T11:44:43.6930000Z,0.321,0.321,0.3195,0.321,3648.0,6
2021-06-06T11:45:00.0000000Z,2021-06-06T12:00:00.0000000Z,2021-06-06T11:45:03.5030000Z,2021-06-06T11:59:59.0170000Z,0.321,0.3215,0.3204,0.3204,2684.0,6
2021-06-06T12:00:00.0000000Z,2021-06-06T12:15:00.0000000Z,2021-06-06T12:00:26.5860000Z,2021-06-06T12:12:00.1200000Z,0.3205,0.3224,0.3204,0.3223,3880.0,10
2021-06-06T12:15:00.0000000Z,2021-06-06T12:30:00.0000000Z,2021-06-06T12:20:00.6120000Z,2021-06-06T12:24:42.8460000Z,0.3232,0.3251,0.3232,0.3244,2490.0,6
2021-06-06T12:30:00.0000000Z,2021-06-06T12:45:00.0000000Z,2021-06-06T12:30:16.0980000Z,2021-06-06T12:44:13.7530000Z,0.3232,0.3268,0.3222,0.3236,19386.0,19
2021-06-06T12:45:00.0000000Z,2021-06-06T13:00:00.0000000Z,2021-06-06T12:51:15.0910000Z,2021-06-06T12:55:29.6680000Z,0.3236,0.3255,0.323,0.3235,14913.0,8
2021-06-06T13:00:00.0000000Z,2021-06-06T13:15:00.0000000Z,2021-06-06T13:00:47.5640000Z,2021-06-06T13:08:36.7730000Z,0.3249,0.3269,0.3239,0.3266,7409.0,11
2021-06-06T13:15:00.0000000Z,2021-06-06T13:30:00.0000000Z,2021-06-06T13:15:39.4210000Z,2021-06-06T13:27:09.2970000Z,0.3225,0.323,0.3185,0.322,8373.0,10
2021-06-06T13:30:00.0000000Z,2021-06-06T13:45:00.0000000Z,2021-06-06T13:38:42.9420000Z,2021-06-06T13:39:06.3440000Z,0.3191,0.3194,0.3191,0.3194,443.0,2
2021-06-06T13:45:00.0000000Z,2021-06-06T14:00:00.0000000Z,2021-06-06T13:47:30.7400000Z,2021-06-06T13:47:30.7400000Z,0.3233,0.3233,0.3233,0.3233,201.0,1
2021-06-06T14:00:00.0000000Z,2021-06-06T14:15:00.0000000Z,2021-06-06T14:00:26.8470000Z,2021-06-06T14:09:57.8430000Z,0.3197,0.3197,0.3182,0.3182,8006.0,11
2021-06-06T14:15:00.0000000Z,2021-06-06T14:30:00.0000000Z,2021-06-06T14:15:46.7520000Z,2021-06-06T14:27:42.0990000Z,0.32,0.3221,0.32,0.3214,48283.0,11
2021-06-06T14:30:00.0000000Z,2021-06-06T14:45:00.0000000Z,2021-06-06T14:31:52.8140000Z,2021-06-06T14:36:56.0370000Z,0.3229,0.3268,0.3216,0.3216,1189.0,8
2021-06-06T14:45:00.0000000Z,2021-06-06T15:00:00.0000000Z,2021-06-06T14:45:14.8880000Z,2021-06-06T14:59:11.0620000Z,0.3257,0.4499,0.3111,0.329,131234.0,157
2021-06-06T15:00:00.0000000Z,2021-06-06T15:15:00.0000000Z,2021-06-06T15:02:04.9340000Z,2021-06-06T15:14:03.1110000Z,0.329,0.3313,0.3281,0.329,47996.0,38
2021-06-06T15:15:00.0000000Z,2021-06-06T15:30:00.0000000Z,2021-06-06T15:15:22.4330000Z,2021-06-06T15:27:59.7420000Z,0.329,0.341,0.3273,0.329,9811.0,32
2021-06-06T15:30:00.0000000Z,2021-06-06T15:45:00.0000000Z,2021-06-06T15:30:35.8310000Z,2021-06-06T15:42:54.4460000Z,0.3299,0.3408,0.3276,0.3284,16171.0,52
2021-06-06T15:45:00.0000000Z,2021-06-06T16:00:00.0000000Z,2021-06-06T15:45:59.4900000Z,2021-06-06T15:59:57.4770000Z,0.3283,0.3326,0.3281,0.3289,82498.0,25
2021-06-06T16:00:00.0000000Z,2021-06-06T16:15:00.0000000Z,2021-06-06T16:00:10.3110000Z,2021-06-06T16:14:44.3050000Z,0.3302,0.3377,0.3289,0.3306,84727.0,44
2021-06-06T16:15:00.0000000Z,2021-06-06T16:30:00.0000000Z,2021-06-06T16:15:48.9000000Z,2021-06-06T16:26:58.7020000Z,0.3331,0.3331,0.3305,0.3305,10006.0,16
2021-06-06T16:30:00.0000000Z,2021-06-06T16:45:00.0000000Z,2021-06-06T16:30:04.9620000Z,2021-06-06T16:44:58.5050000Z,0.3306,0.3388,0.3305,0.3362,20103.0,23
2021-06-06T16:45:00.0000000Z,2021-06-06T17:00:00.0000000Z,2021-06-06T16:47:33.2060000Z,2021-06-06T16:59:24.8950000Z,0.3363,0.3596,0.3362,0.3393,50002.0,36
2021-06-06T17:00:00.0000000Z,2021-06-06T17:15:00.0000000Z,2021-06-06T17:00:18.9260000Z,2021-06-06T17:14:14.6390000Z,0.3393,0.3461,0.337,0.3448,4771.0,19
2021-06-06T17:15:00.0000000Z,2021-06-06T17:30:00.0000000Z,2021-06-06T17:15:40.9650000Z,2021-06-06T17:26:47.7750000Z,0.3413,0.3414,0.3345,0.3345,12277.0,32
2021-06-06T17:30:00.0000000Z,2021-06-06T17:45:00.0000000Z,2021-06-06T17:30:09.4170000Z,2021-06-06T17:43:12.5520000Z,0.3348,0.3375,0.3348,0.337,10097.0,16
2021-06-06T17:45:00.0000000Z,2021-06-06T18:00:00.0000000Z,2021-06-06T17:45:12.3560000Z,2021-06-06T17:57:59.6200000Z,0.337,0.3375,0.3324,0.3364,60362.0,15
2021-06-06T18:00:00.0000000Z,2021-06-06T18:15:00.0000000Z,2021-06-06T18:00:40.4910000Z,2021-06-06T18:13:29.7240000Z,0.3372,0.3403,0.3355,0.3403,11214.0,18
2021-06-06T18:15:00.0000000Z,2021-06-06T18:30:00.0000000Z,2021-06-06T18:16:27.1010000Z,2021-06-06T18:29:01.4220000Z,0.3385,0.3428,0.3385,0.3407,10686.0,11
2021-06-06T18:30:00.0000000Z,2021-06-06T18:45:00.0000000Z,2021-06-06T18:30:15.5590000Z,2021-06-06T18:44:19.2890000Z,0.3406,0.3414,0.3384,0.3405,47460.0,18
2021-06-06T18:45:00.0000000Z,2021-06-06T19:00:00.0000000Z,2021-06-06T18:47:01.5310000Z,2021-06-06T18:58:47.1240000Z,0.3404,0.3415,0.3374,0.3402,35695.0,37
2021-06-06T19:00:00.0000000Z,2021-06-06T19:15:00.0000000Z,2021-06-06T19:04:20.5780000Z,2021-06-06T19:08:31.4890000Z,0.34,0.3401,0.339,0.339,1594.0,4
2021-06-06T19:15:00.0000000Z,2021-06-06T19:30:00.0000000Z,2021-06-06T19:15:25.0120000Z,2021-06-06T19:28:35.0930000Z,0.3375,0.3398,0.3349,0.3349,11426.0,15
2021-06-06T19:30:00.0000000Z,2021-06-06T19:45:00.0000000Z,2021-06-06T19:30:09.4920000Z,2021-06-06T19:44:16.6090000Z,0.336,0.3371,0.3347,0.3353,2628.0,6
2021-06-06T19:45:00.0000000Z,2021-06-06T20:00:00.0000000Z,2021-06-06T19:46:45.0720000Z,2021-06-06T19:59:46.4760000Z,0.3366,0.3377,0.3366,0.3377,266.0,3
2021-06-06T20:00:00.0000000Z,2021-06-06T20:15:00.0000000Z,2021-06-06T20:03:55.9300000Z,2021-06-06T20:14:10.9270000Z,0.3382,0.3388,0.3364,0.3378,3146.0,16
2021-06-06T20:15:00.0000000Z,2021-06-06T20:30:00.0000000Z,2021-06-06T20:20:02.1090000Z,2021-06-06T20:21:16.7940000Z,0.3354,0.3368,0.3354,0.3368,18651.0,9
2021-06-06T20:30:00.0000000Z,2021-06-06T20:45:00.0000000Z,2021-06-06T20:30:56.0150000Z,2021-06-06T20:41:01.1850000Z,0.3397,0.3397,0.3367,0.3367,818.0,5
2021-06-06T20:45:00.0000000Z,2021-06-06T21:00:00.0000000Z,2021-06-06T20:45:52.2680000Z,2021-06-06T20:56:04.1110000Z,0.3383,0.3423,0.3383,0.3423,1334.0,8
2021-06-06T21:00:00.0000000Z,2021-06-06T21:15:00.0000000Z,2021-06-06T21:01:43.6080000Z,2021-06-06T21:07:39.6920000Z,0.3423,0.3448,0.3423,0.3425,8678.0,13
2021-06-06T21:15:00.0000000Z,2021-06-06T21:30:00.0000000Z,2021-06-06T21:19:33.8120000Z,2021-06-06T21:28:58.3450000Z,0.3429,0.345,0.3429,0.3449,3708.0,16
2021-06-06T21:30:00.0000000Z,2021-06-06T21:45:00.0000000Z,2021-06-06T21:30:50.2480000Z,2021-06-06T21:44:23.7900000Z,0.3432,0.3506,0.341,0.3463,15920.0,37
2021-06-06T21:45:00.0000000Z,2021-06-06T22:00:00.0000000Z,2021-06-06T21:45:39.1350000Z,2021-06-06T21:59:12.6860000Z,0.3468,0.3493,0.3412,0.3493,42456.0,35
2021-06-06T22:00:00.0000000Z,2021-06-06T22:15:00.0000000Z,2021-06-06T22:00:02.5400000Z,2021-06-06T22:14:35.4240000Z,0.3477,0.3477,0.3435,0.3435,29819.0,18
2021-06-06T22:15:00.0000000Z,2021-06-06T22:30:00.0000000Z,2021-06-06T22:15:04.1280000Z,2021-06-06T22:26:16.9810000Z,0.3411,0.3434,0.3393,0.3396,5084.0,12
2021-06-06T22:30:00.0000000Z,2021-06-06T22:45:00.0000000Z,2021-06-06T22:30:58.2730000Z,2021-06-06T22:44:58.2840000Z,0.3384,0.3401,0.3359,0.3385,67875.0,23
2021-06-06T22:45:00.0000000Z,2021-06-06T23:00:00.0000000Z,2021-06-06T22:48:23.2380000Z,2021-06-06T22:59:48.4230000Z,0.3385,0.341,0.3385,0.341,26665.0,23
2021-06-06T23:00:00.0000000Z,2021-06-06T23:15:00.0000000Z,2021-06-06T23:01:20.5130000Z,2021-06-06T23:10:48.9790000Z,0.3401,0.3448,0.3401,0.3446,4724.0,15
2021-06-06T23:15:00.0000000Z,2021-06-06T23:30:00.0000000Z,2021-06-06T23:15:44.3860000Z,2021-06-06T23:28:20.5420000Z,0.3436,0.3436,0.3396,0.3396,8644.0,16
2021-06-06T23:30:00.0000000Z,2021-06-06T23:45:00.0000000Z,2021-06-06T23:30:53.4980000Z,2021-06-06T23:42:31.5870000Z,0.3384,0.3396,0.3382,0.3382,1037.0,6
