time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-18T10:00:00.0000000Z,2021-06-18T10:15:00.0000000Z,2021-06-18T10:02:08.1280000Z,2021-06-18T10:14:32.2740000Z,31.6,31.7,31.46,31.6,139.0,66
2021-06-18T10:15:00.0000000Z,2021-06-18T10:30:00.0000000Z,2021-06-18T10:15:54.7270000Z,2021-06-18T10:29:25.3210000Z,31.55,31.84,31.33,31.78,311.9,43
2021-06-18T10:30:00.0000000Z,2021-06-18T10:45:00.0000000Z,2021-06-18T10:30:16.3720000Z,2021-06-18T10:43:29.4970000Z,31.76,33.45,31.76,31.9,174.4,67
2021-06-18T10:45:00.0000000Z,2021-06-18T11:00:00.0000000Z,2021-06-18T10:45:56.8330000Z,2021-06-18T10:59:06.4150000Z,31.87,31.96,31.81,31.88,76.6,43
2021-06-18T11:00:00.0000000Z,2021-06-18T11:15:00.0000000Z,2021-06-18T11:00:07.1020000Z,2021-06-18T11:10:57.1790000Z,31.95,32.05,31.93,31.97,34.9,10
2021-06-18T11:15:00.0000000Z,2021-06-18T11:30:00.0000000Z,2021-06-18T11:17:29.1510000Z,2021-06-18T11:24:02.7660000Z,31.99,31.99,31.81,31.82,30.8,43
2021-06-18T11:30:00.0000000Z,2021-06-18T11:45:00.0000000Z,2021-06-18T11:30:28.2130000Z,2021-06-18T11:43:15.7790000Z,31.81,31.86,31.67,31.86,1816.8,100
2021-06-18T11:45:00.0000000Z,2021-06-18T12:00:00.0000000Z,2021-06-18T11:47:44.7850000Z,2021-06-18T11:55:53.0270000Z,31.86,31.87,31.77,31.81,285.0,30
2021-06-18T12:00:00.0000000Z,2021-06-18T12:15:00.0000000Z,2021-06-18T12:01:23.3850000Z,2021-06-18T12:14:22.5060000Z,31.82,31.82,31.5,31.55,2383.3,68
2021-06-18T12:15:00.0000000Z,2021-06-18T12:30:00.0000000Z,2021-06-18T12:15:12.2470000Z,2021-06-18T12:29:22.1170000Z,31.54,31.54,31.41,31.44,65.3,37
