time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-30T06:00:00.0000000Z,2021-08-30T06:15:00.0000000Z,2021-08-30T06:05:19.1190000Z,2021-08-30T06:14:58.9360000Z,348.0,353.9,340.0,345.0,4191.625,3921
2021-08-30T06:15:00.0000000Z,2021-08-30T06:30:00.0000000Z,2021-08-30T06:15:00.3890000Z,2021-08-30T06:29:57.3250000Z,344.5,367.7,344.4,358.2,4682.595,5659
2021-08-30T06:30:00.0000000Z,2021-08-30T06:45:00.0000000Z,2021-08-30T06:30:00.0830000Z,2021-08-30T06:44:59.6150000Z,358.7,373.7,346.0,353.8,4127.09,5016
2021-08-30T06:45:00.0000000Z,2021-08-30T07:00:00.0000000Z,2021-08-30T06:45:00.1150000Z,2021-08-30T06:59:59.6610000Z,354.5,366.3,346.5,366.0,2244.258,3024
2021-08-30T07:00:00.0000000Z,2021-08-30T07:15:00.0000000Z,2021-08-30T07:00:00.3900000Z,2021-08-30T07:14:59.1740000Z,366.2,369.0,352.0,355.1,1959.375,2692
2021-08-30T07:15:00.0000000Z,2021-08-30T07:30:00.0000000Z,2021-08-30T07:15:11.0720000Z,2021-08-30T07:29:53.7240000Z,355.2,360.0,339.8,347.9,2668.477,2693
2021-08-30T07:30:00.0000000Z,2021-08-30T07:45:00.0000000Z,2021-08-30T07:30:01.2400000Z,2021-08-30T07:44:59.3560000Z,347.9,354.1,341.0,351.0,1166.168,1633
2021-08-30T07:45:00.0000000Z,2021-08-30T08:00:00.0000000Z,2021-08-30T07:45:02.3770000Z,2021-08-30T07:59:57.5880000Z,350.8,360.0,344.2,347.3,992.906,1460
2021-08-30T08:00:00.0000000Z,2021-08-30T08:15:00.0000000Z,2021-08-30T08:00:00.7740000Z,2021-08-30T08:14:58.8210000Z,347.3,360.0,345.0,348.3,1449.198,2283
2021-08-30T08:15:00.0000000Z,2021-08-30T08:30:00.0000000Z,2021-08-30T08:15:02.1440000Z,2021-08-30T08:29:57.4570000Z,348.0,348.0,342.0,344.4,726.93,1002
2021-08-30T08:30:00.0000000Z,2021-08-30T08:45:00.0000000Z,2021-08-30T08:30:00.7400000Z,2021-08-30T08:44:59.3010000Z,344.5,346.0,340.5,342.1,718.93,843
2021-08-30T08:45:00.0000000Z,2021-08-30T09:00:00.0000000Z,2021-08-30T08:45:00.2830000Z,2021-08-30T08:59:59.0390000Z,342.1,345.0,341.4,342.0,538.831,656
2021-08-30T09:00:00.0000000Z,2021-08-30T09:15:00.0000000Z,2021-08-30T09:00:10.0870000Z,2021-08-30T09:14:56.9830000Z,341.5,347.0,341.4,344.2,570.8,694
2021-08-30T09:15:00.0000000Z,2021-08-30T09:30:00.0000000Z,2021-08-30T09:15:01.1190000Z,2021-08-30T09:29:57.1900000Z,344.2,345.6,332.2,337.6,1100.771,1416
2021-08-30T09:30:00.0000000Z,2021-08-30T09:45:00.0000000Z,2021-08-30T09:30:04.5190000Z,2021-08-30T09:44:58.9400000Z,338.3,339.9,326.9,328.0,1059.636,1190
2021-08-30T09:45:00.0000000Z,2021-08-30T10:00:00.0000000Z,2021-08-30T09:45:01.4940000Z,2021-08-30T09:59:59.0140000Z,328.3,334.0,324.5,326.1,788.163,1049
2021-08-30T10:00:00.0000000Z,2021-08-30T10:15:00.0000000Z,2021-08-30T10:00:03.7070000Z,2021-08-30T10:14:51.4640000Z,326.3,329.7,319.9,322.3,1486.685,1626
2021-08-30T10:15:00.0000000Z,2021-08-30T10:30:00.0000000Z,2021-08-30T10:15:02.3810000Z,2021-08-30T10:29:56.2040000Z,322.5,332.3,322.4,331.5,934.825,1299
2021-08-30T10:30:00.0000000Z,2021-08-30T10:45:00.0000000Z,2021-08-30T10:30:02.6930000Z,2021-08-30T10:44:59.8910000Z,331.3,333.7,327.9,329.0,532.182,715
2021-08-30T10:45:00.0000000Z,2021-08-30T11:00:00.0000000Z,2021-08-30T10:45:04.7340000Z,2021-08-30T10:59:58.1180000Z,329.0,330.3,326.4,326.4,325.135,487
2021-08-30T11:00:00.0000000Z,2021-08-30T11:15:00.0000000Z,2021-08-30T11:00:00.9940000Z,2021-08-30T11:14:57.3030000Z,326.4,333.0,325.2,329.1,662.509,1108
2021-08-30T11:15:00.0000000Z,2021-08-30T11:30:00.0000000Z,2021-08-30T11:15:05.3090000Z,2021-08-30T11:29:58.8190000Z,328.4,330.9,326.2,327.0,562.88,724
2021-08-30T11:30:00.0000000Z,2021-08-30T11:45:00.0000000Z,2021-08-30T11:30:07.4210000Z,2021-08-30T11:44:54.9790000Z,327.0,327.2,320.3,320.6,557.167,628
2021-08-30T11:45:00.0000000Z,2021-08-30T12:00:00.0000000Z,2021-08-30T11:45:10.5790000Z,2021-08-30T11:59:59.5220000Z,321.5,327.7,321.2,325.6,238.56,361
2021-08-30T12:00:00.0000000Z,2021-08-30T12:15:00.0000000Z,2021-08-30T12:00:04.0210000Z,2021-08-30T12:14:37.6050000Z,325.8,330.9,324.3,330.0,512.151,541
2021-08-30T12:15:00.0000000Z,2021-08-30T12:30:00.0000000Z,2021-08-30T12:15:02.8440000Z,2021-08-30T12:29:47.0070000Z,329.7,329.7,313.0,316.9,897.9,868
2021-08-30T12:30:00.0000000Z,2021-08-30T12:45:00.0000000Z,2021-08-30T12:30:08.4320000Z,2021-08-30T12:44:59.9980000Z,316.8,317.0,310.0,310.1,496.393,606
2021-08-30T12:45:00.0000000Z,2021-08-30T13:00:00.0000000Z,2021-08-30T12:45:04.6740000Z,2021-08-30T12:59:57.9380000Z,310.1,320.0,310.1,316.1,495.982,604
