time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-08T10:15:00.0000000Z,2021-10-08T10:30:00.0000000Z,2021-10-08T10:15:03.0680000Z,2021-10-08T10:29:44.6680000Z,0.8516,0.858,0.8505,0.8545,42933.0,224
2021-10-08T10:30:00.0000000Z,2021-10-08T10:45:00.0000000Z,2021-10-08T10:30:11.0820000Z,2021-10-08T10:44:47.0720000Z,0.8545,0.8567,0.8503,0.8505,27645.0,130
2021-10-08T10:45:00.0000000Z,2021-10-08T11:00:00.0000000Z,2021-10-08T10:45:09.0560000Z,2021-10-08T10:58:38.6040000Z,0.8505,0.853,0.8505,0.8529,13266.0,64
2021-10-08T11:00:00.0000000Z,2021-10-08T11:15:00.0000000Z,2021-10-08T11:01:19.0300000Z,2021-10-08T11:14:54.4000000Z,0.8529,0.8529,0.8502,0.8516,14268.0,62
2021-10-08T11:15:00.0000000Z,2021-10-08T11:30:00.0000000Z,2021-10-08T11:15:15.2880000Z,2021-10-08T11:29:58.2850000Z,0.8517,0.8533,0.8504,0.8513,25201.0,70
2021-10-08T11:30:00.0000000Z,2021-10-08T11:45:00.0000000Z,2021-10-08T11:31:30.3700000Z,2021-10-08T11:43:46.5650000Z,0.8525,0.8528,0.85,0.8528,11462.0,31
2021-10-08T11:45:00.0000000Z,2021-10-08T12:00:00.0000000Z,2021-10-08T11:45:00.5700000Z,2021-10-08T11:59:15.7770000Z,0.8511,0.8511,0.8434,0.8434,43408.0,79
2021-10-08T12:00:00.0000000Z,2021-10-08T12:15:00.0000000Z,2021-10-08T12:00:19.1630000Z,2021-10-08T12:14:55.1890000Z,0.8434,0.8461,0.835,0.835,24416.0,49
2021-10-08T12:15:00.0000000Z,2021-10-08T12:30:00.0000000Z,2021-10-08T12:15:03.2580000Z,2021-10-08T12:29:52.5600000Z,0.8351,0.8413,0.832,0.8413,32289.0,63
2021-10-08T12:30:00.0000000Z,2021-10-08T12:45:00.0000000Z,2021-10-08T12:30:33.3980000Z,2021-10-08T12:44:56.8610000Z,0.8399,0.8571,0.8347,0.8538,26065.0,60
2021-10-08T12:45:00.0000000Z,2021-10-08T13:00:00.0000000Z,2021-10-08T12:45:07.4760000Z,2021-10-08T12:59:06.0790000Z,0.8538,0.8588,0.8433,0.8433,9494.0,31
