time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-18T10:00:00.0000000Z,2021-06-18T10:15:00.0000000Z,2021-06-18T10:01:50.1640000Z,2021-06-18T10:14:59.1300000Z,13.911,14.052,13.653,13.85,8500.7,1165
2021-06-18T10:15:00.0000000Z,2021-06-18T10:30:00.0000000Z,2021-06-18T10:15:02.9120000Z,2021-06-18T10:29:59.3660000Z,13.85,13.981,13.346,13.885,4880.9,566
2021-06-18T10:30:00.0000000Z,2021-06-18T10:45:00.0000000Z,2021-06-18T10:30:04.3780000Z,2021-06-18T10:43:14.1980000Z,13.94,14.041,13.818,13.9,4084.3,303
2021-06-18T10:45:00.0000000Z,2021-06-18T11:00:00.0000000Z,2021-06-18T10:45:13.6170000Z,2021-06-18T10:59:38.9820000Z,13.9,13.941,13.84,13.883,5843.4,333
2021-06-18T11:00:00.0000000Z,2021-06-18T11:15:00.0000000Z,2021-06-18T11:00:30.6700000Z,2021-06-18T11:14:57.9950000Z,13.903,13.938,13.723,13.723,3419.1,192
2021-06-18T11:15:00.0000000Z,2021-06-18T11:30:00.0000000Z,2021-06-18T11:15:06.3670000Z,2021-06-18T11:29:48.8410000Z,13.738,13.774,13.676,13.692,2814.6,189
2021-06-18T11:30:00.0000000Z,2021-06-18T11:45:00.0000000Z,2021-06-18T11:30:07.2400000Z,2021-06-18T11:44:30.1040000Z,13.726,13.738,13.602,13.694,2196.4,116
2021-06-18T11:45:00.0000000Z,2021-06-18T12:00:00.0000000Z,2021-06-18T11:45:28.4770000Z,2021-06-18T11:59:48.1740000Z,13.693,13.72,13.626,13.686,1966.7,156
2021-06-18T12:00:00.0000000Z,2021-06-18T12:15:00.0000000Z,2021-06-18T12:00:32.5220000Z,2021-06-18T12:14:33.9200000Z,13.686,13.686,13.497,13.557,1084.3,118
2021-06-18T12:15:00.0000000Z,2021-06-18T12:30:00.0000000Z,2021-06-18T12:15:20.0040000Z,2021-06-18T12:29:54.5240000Z,13.556,13.604,13.499,13.604,1372.7,92
2021-06-18T12:30:00.0000000Z,2021-06-18T12:45:00.0000000Z,2021-06-18T12:30:16.6470000Z,2021-06-18T12:44:59.5700000Z,13.61,13.74,13.549,13.608,1253.6,176
2021-06-18T12:45:00.0000000Z,2021-06-18T13:00:00.0000000Z,2021-06-18T12:45:17.3040000Z,2021-06-18T12:59:51.2310000Z,13.668,13.8,13.528,13.683,1443.5,152
2021-06-18T13:00:00.0000000Z,2021-06-18T13:15:00.0000000Z,2021-06-18T13:00:04.6450000Z,2021-06-18T13:14:57.7180000Z,13.683,16.624,13.57,13.604,1934.8,259
2021-06-18T13:15:00.0000000Z,2021-06-18T13:30:00.0000000Z,2021-06-18T13:15:05.6020000Z,2021-06-18T13:29:49.1170000Z,13.576,15.0,13.557,13.734,2727.4,346
2021-06-18T13:30:00.0000000Z,2021-06-18T13:45:00.0000000Z,2021-06-18T13:30:11.0610000Z,2021-06-18T13:44:46.4040000Z,13.729,13.731,13.579,13.645,1344.8,97
2021-06-18T13:45:00.0000000Z,2021-06-18T14:00:00.0000000Z,2021-06-18T13:45:06.6240000Z,2021-06-18T13:59:57.3820000Z,13.634,13.894,13.536,13.684,1327.9,165
2021-06-18T14:00:00.0000000Z,2021-06-18T14:15:00.0000000Z,2021-06-18T14:00:00.9670000Z,2021-06-18T14:14:35.7990000Z,13.735,14.465,13.672,13.691,3273.1,290
2021-06-18T14:15:00.0000000Z,2021-06-18T14:30:00.0000000Z,2021-06-18T14:15:21.4810000Z,2021-06-18T14:29:59.3280000Z,13.671,13.684,13.45,13.684,1783.1,152
