time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-11T01:15:00.0000000Z,2021-05-11T01:30:00.0000000Z,2021-05-11T01:28:01.4640000Z,2021-05-11T01:29:59.6630000Z,397.1,408.42,394.88,394.88,1127.35,463
2021-05-11T01:30:00.0000000Z,2021-05-11T01:45:00.0000000Z,2021-05-11T01:30:00.7460000Z,2021-05-11T01:44:58.9880000Z,394.4,396.11,358.0,358.91,6314.84,3462
2021-05-11T01:45:00.0000000Z,2021-05-11T02:00:00.0000000Z,2021-05-11T01:45:00.5220000Z,2021-05-11T01:59:58.6980000Z,355.0,385.01,335.81,385.01,6658.25,2392
2021-05-11T02:00:00.0000000Z,2021-05-11T02:15:00.0000000Z,2021-05-11T02:00:00.3300000Z,2021-05-11T02:14:59.3880000Z,383.47,390.0,354.63,377.19,5841.71,2177
2021-05-11T02:15:00.0000000Z,2021-05-11T02:30:00.0000000Z,2021-05-11T02:15:00.5600000Z,2021-05-11T02:29:59.8910000Z,377.07,430.29,366.0,430.0,6101.52,2401
2021-05-11T02:30:00.0000000Z,2021-05-11T02:45:00.0000000Z,2021-05-11T02:30:00.3370000Z,2021-05-11T02:44:59.4670000Z,430.3,450.0,404.73,416.8,5362.38,2509
2021-05-11T02:45:00.0000000Z,2021-05-11T03:00:00.0000000Z,2021-05-11T02:45:01.4950000Z,2021-05-11T02:59:59.3890000Z,417.0,449.0,410.52,436.53,4487.41,2257
2021-05-11T03:00:00.0000000Z,2021-05-11T03:15:00.0000000Z,2021-05-11T03:00:03.1150000Z,2021-05-11T03:14:59.0800000Z,436.76,438.07,410.24,431.67,3266.67,1585
2021-05-11T03:15:00.0000000Z,2021-05-11T03:30:00.0000000Z,2021-05-11T03:15:00.1370000Z,2021-05-11T03:29:59.1410000Z,429.57,550.0,427.23,501.12,8925.89,5178
2021-05-11T03:30:00.0000000Z,2021-05-11T03:45:00.0000000Z,2021-05-11T03:30:00.5200000Z,2021-05-11T03:44:59.9270000Z,500.02,510.45,461.6,482.0,5465.07,3864
2021-05-11T03:45:00.0000000Z,2021-05-11T04:00:00.0000000Z,2021-05-11T03:45:00.4030000Z,2021-05-11T03:59:59.7500000Z,483.13,1200.0,469.28,576.92,7698.71,6447
2021-05-11T04:00:00.0000000Z,2021-05-11T04:15:00.0000000Z,2021-05-11T04:00:00.0370000Z,2021-05-11T04:14:59.4550000Z,576.93,600.0,485.0,490.97,7903.97,6669
2021-05-11T04:15:00.0000000Z,2021-05-11T04:30:00.0000000Z,2021-05-11T04:15:00.0200000Z,2021-05-11T04:29:59.0390000Z,490.21,492.71,435.0,435.01,5573.92,3831
2021-05-11T04:30:00.0000000Z,2021-05-11T04:45:00.0000000Z,2021-05-11T04:30:00.6450000Z,2021-05-11T04:44:59.7980000Z,435.06,480.0,435.06,465.89,4086.69,3337
2021-05-11T04:45:00.0000000Z,2021-05-11T05:00:00.0000000Z,2021-05-11T04:45:00.5050000Z,2021-05-11T04:59:59.6530000Z,464.29,465.95,432.0,436.66,3356.59,2880
2021-05-11T05:00:00.0000000Z,2021-05-11T05:15:00.0000000Z,2021-05-11T05:00:00.1850000Z,2021-05-11T05:14:59.7810000Z,436.66,469.0,435.23,466.29,3555.04,2437
2021-05-11T05:15:00.0000000Z,2021-05-11T05:30:00.0000000Z,2021-05-11T05:15:00.6490000Z,2021-05-11T05:29:59.1700000Z,466.55,493.84,460.0,486.26,4847.8,3368
2021-05-11T05:30:00.0000000Z,2021-05-11T05:45:00.0000000Z,2021-05-11T05:30:01.0770000Z,2021-05-11T05:44:56.6470000Z,487.38,500.0,461.06,481.04,5474.56,3760
2021-05-11T05:45:00.0000000Z,2021-05-11T06:00:00.0000000Z,2021-05-11T05:45:01.5420000Z,2021-05-11T05:59:58.8290000Z,483.31,500.0,473.04,488.0,3270.08,2445
2021-05-11T06:00:00.0000000Z,2021-05-11T06:15:00.0000000Z,2021-05-11T06:00:00.8480000Z,2021-05-11T06:14:58.8720000Z,487.12,495.0,470.4,477.84,4737.15,2991
2021-05-11T06:15:00.0000000Z,2021-05-11T06:30:00.0000000Z,2021-05-11T06:15:01.5810000Z,2021-05-11T06:29:58.2330000Z,477.84,477.84,464.46,467.96,3402.52,2048
2021-05-11T06:30:00.0000000Z,2021-05-11T06:45:00.0000000Z,2021-05-11T06:30:03.8650000Z,2021-05-11T06:44:56.8960000Z,467.39,472.1,449.0,471.26,7778.95,3452
2021-05-11T06:45:00.0000000Z,2021-05-11T07:00:00.0000000Z,2021-05-11T06:45:00.6240000Z,2021-05-11T06:59:59.9860000Z,470.06,477.5,454.58,458.99,5281.41,2619
2021-05-11T07:00:00.0000000Z,2021-05-11T07:15:00.0000000Z,2021-05-11T07:00:00.5360000Z,2021-05-11T07:14:59.2300000Z,459.0,459.3,435.02,441.75,3868.28,2257
2021-05-11T07:15:00.0000000Z,2021-05-11T07:30:00.0000000Z,2021-05-11T07:15:03.0130000Z,2021-05-11T07:29:56.1400000Z,442.71,457.66,439.83,452.96,1918.2,1564
2021-05-11T07:30:00.0000000Z,2021-05-11T07:45:00.0000000Z,2021-05-11T07:30:00.6090000Z,2021-05-11T07:44:59.9710000Z,453.46,470.0,452.7,460.45,2051.03,1377
