time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-25T12:45:00.0000000Z,2021-06-25T13:00:00.0000000Z,2021-06-25T12:58:14.8440000Z,2021-06-25T12:58:14.8440000Z,0.01549,0.01549,0.01549,0.01549,646.0,1
2021-06-25T13:00:00.0000000Z,2021-06-25T13:15:00.0000000Z,2021-06-25T13:03:41.3160000Z,2021-06-25T13:03:41.3160000Z,0.01549,0.01549,0.01549,0.01549,1596.0,1
2021-06-25T13:15:00.0000000Z,2021-06-25T13:30:00.0000000Z,2021-06-25T13:15:20.1170000Z,2021-06-25T13:21:01.0450000Z,0.01549,0.01556,0.01538,0.01556,14523.0,7
2021-06-25T13:30:00.0000000Z,2021-06-25T13:45:00.0000000Z,2021-06-25T13:37:38.3280000Z,2021-06-25T13:37:38.3280000Z,0.01555,0.01555,0.01555,0.01555,3858.0,1
2021-06-25T13:45:00.0000000Z,2021-06-25T14:00:00.0000000Z,2021-06-25T13:45:47.5620000Z,2021-06-25T13:50:02.4500000Z,0.01568,0.01572,0.01568,0.01572,8950.0,3
2021-06-25T14:00:00.0000000Z,2021-06-25T14:15:00.0000000Z,2021-06-25T14:02:52.1890000Z,2021-06-25T14:08:54.6790000Z,0.01585,0.01589,0.01577,0.01577,6558.0,5
2021-06-25T14:30:00.0000000Z,2021-06-25T14:45:00.0000000Z,2021-06-25T14:30:03.3370000Z,2021-06-25T14:40:55.5760000Z,0.01577,0.01577,0.01555,0.01555,9895.0,3
2021-06-25T14:45:00.0000000Z,2021-06-25T15:00:00.0000000Z,2021-06-25T14:47:36.0140000Z,2021-06-25T14:56:31.6400000Z,0.01519,0.0153,0.01519,0.01526,8390.0,4
2021-06-25T15:30:00.0000000Z,2021-06-25T15:45:00.0000000Z,2021-06-25T15:44:54.1130000Z,2021-06-25T15:44:54.1130000Z,0.01526,0.01526,0.01526,0.01526,3959.0,2
2021-06-25T15:45:00.0000000Z,2021-06-25T16:00:00.0000000Z,2021-06-25T15:49:52.0720000Z,2021-06-25T15:58:04.4830000Z,0.01534,0.01534,0.01514,0.01514,22262.0,4
2021-06-25T16:00:00.0000000Z,2021-06-25T16:15:00.0000000Z,2021-06-25T16:01:02.6430000Z,2021-06-25T16:06:26.1230000Z,0.01536,0.01536,0.0153,0.0153,3053.0,2
2021-06-25T16:15:00.0000000Z,2021-06-25T16:30:00.0000000Z,2021-06-25T16:28:10.3120000Z,2021-06-25T16:28:10.3120000Z,0.0151,0.0151,0.0151,0.0151,724.0,1
