time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-22T12:00:00.0000000Z,2021-11-22T12:15:00.0000000Z,2021-11-22T12:10:04.2130000Z,2021-11-22T12:14:59.4770000Z,0.2725,0.29,0.241,0.2541,7260230.9,6018
2021-11-22T12:15:00.0000000Z,2021-11-22T12:30:00.0000000Z,2021-11-22T12:15:00.1530000Z,2021-11-22T12:29:59.7110000Z,0.2529,0.2591,0.218,0.2298,12959424.2,10890
2021-11-22T12:30:00.0000000Z,2021-11-22T12:45:00.0000000Z,2021-11-22T12:30:00.2660000Z,2021-11-22T12:44:59.5770000Z,0.2298,0.2371,0.21,0.2293,10487864.3,8074
2021-11-22T12:45:00.0000000Z,2021-11-22T13:00:00.0000000Z,2021-11-22T12:45:00.1530000Z,2021-11-22T12:59:59.9910000Z,0.2293,0.2528,0.2268,0.2527,9020193.0,6738
2021-11-22T13:00:00.0000000Z,2021-11-22T13:15:00.0000000Z,2021-11-22T13:00:00.0830000Z,2021-11-22T13:11:34.8740000Z,0.2527,0.2648,0.2352,0.2468,10556908.9,7867
2021-11-22T13:15:00.0000000Z,2021-11-22T13:30:00.0000000Z,2021-11-22T13:15:40.8470000Z,2021-11-22T13:29:59.9520000Z,0.2434,0.253,0.2434,0.2469,4621989.6,3575
2021-11-22T13:30:00.0000000Z,2021-11-22T13:45:00.0000000Z,2021-11-22T13:30:02.2990000Z,2021-11-22T13:44:58.9240000Z,0.247,0.2537,0.2322,0.2378,4379332.8,3097
2021-11-22T13:45:00.0000000Z,2021-11-22T14:00:00.0000000Z,2021-11-22T13:45:00.2030000Z,2021-11-22T13:59:59.0270000Z,0.2377,0.2384,0.224,0.2256,4599257.8,3047
2021-11-22T14:00:00.0000000Z,2021-11-22T14:15:00.0000000Z,2021-11-22T14:00:04.4670000Z,2021-11-22T14:14:59.8110000Z,0.2256,0.2346,0.2212,0.2225,3388792.9,2160
2021-11-22T14:15:00.0000000Z,2021-11-22T14:30:00.0000000Z,2021-11-22T14:15:00.3470000Z,2021-11-22T14:29:55.0570000Z,0.2218,0.2287,0.218,0.2282,2619775.4,1906
2021-11-22T14:30:00.0000000Z,2021-11-22T14:45:00.0000000Z,2021-11-22T14:30:01.6760000Z,2021-11-22T14:44:59.8800000Z,0.2282,0.2366,0.2228,0.2284,2666451.0,2231
2021-11-22T14:45:00.0000000Z,2021-11-22T15:00:00.0000000Z,2021-11-22T14:45:00.9400000Z,2021-11-22T14:59:58.1490000Z,0.2286,0.2396,0.228,0.2318,1691676.9,1820
2021-11-22T15:00:00.0000000Z,2021-11-22T15:15:00.0000000Z,2021-11-22T15:00:03.3170000Z,2021-11-22T15:14:53.0820000Z,0.2324,0.2324,0.2219,0.2273,1936736.5,1520
2021-11-22T15:15:00.0000000Z,2021-11-22T15:30:00.0000000Z,2021-11-22T15:15:16.5090000Z,2021-11-22T15:29:59.6750000Z,0.2273,0.2278,0.2152,0.2154,2034137.8,1392
2021-11-22T15:30:00.0000000Z,2021-11-22T15:45:00.0000000Z,2021-11-22T15:30:00.8970000Z,2021-11-22T15:44:58.9590000Z,0.2154,0.2229,0.213,0.2178,2707383.2,1784
2021-11-22T15:45:00.0000000Z,2021-11-22T16:00:00.0000000Z,2021-11-22T15:45:00.4960000Z,2021-11-22T15:59:59.8270000Z,0.2178,0.2249,0.2153,0.2178,1343639.1,1254
2021-11-22T16:00:00.0000000Z,2021-11-22T16:15:00.0000000Z,2021-11-22T16:00:02.3010000Z,2021-11-22T16:14:59.3550000Z,0.2176,0.2181,0.2061,0.2066,1695558.6,1304
2021-11-22T16:15:00.0000000Z,2021-11-22T16:30:00.0000000Z,2021-11-22T16:15:01.3980000Z,2021-11-22T16:29:58.8940000Z,0.2065,0.2145,0.2002,0.2067,3190340.6,2409
2021-11-22T16:30:00.0000000Z,2021-11-22T16:45:00.0000000Z,2021-11-22T16:30:02.2250000Z,2021-11-22T16:44:59.5590000Z,0.2064,0.2066,0.1965,0.1969,2317923.7,1527
2021-11-22T16:45:00.0000000Z,2021-11-22T17:00:00.0000000Z,2021-11-22T16:45:03.0130000Z,2021-11-22T16:59:59.4170000Z,0.1969,0.1995,0.1887,0.1945,1859959.9,1533
2021-11-22T17:00:00.0000000Z,2021-11-22T17:15:00.0000000Z,2021-11-22T17:00:01.5590000Z,2021-11-22T17:14:58.5510000Z,0.1942,0.197,0.1888,0.1922,2389839.3,1771
2021-11-22T17:15:00.0000000Z,2021-11-22T17:30:00.0000000Z,2021-11-22T17:15:02.7520000Z,2021-11-22T17:29:59.9200000Z,0.192,0.207,0.1917,0.1963,4562408.2,3130
2021-11-22T17:30:00.0000000Z,2021-11-22T17:45:00.0000000Z,2021-11-22T17:30:00.5200000Z,2021-11-22T17:44:58.4780000Z,0.1964,0.2058,0.194,0.2013,2672246.9,1685
2021-11-22T17:45:00.0000000Z,2021-11-22T18:00:00.0000000Z,2021-11-22T17:45:00.8180000Z,2021-11-22T17:59:59.4070000Z,0.2014,0.2027,0.1953,0.201,2016992.3,1560
2021-11-22T18:00:00.0000000Z,2021-11-22T18:15:00.0000000Z,2021-11-22T18:00:03.8140000Z,2021-11-22T18:14:59.8450000Z,0.201,0.2048,0.1964,0.1994,1873723.0,1519
2021-11-22T18:15:00.0000000Z,2021-11-22T18:30:00.0000000Z,2021-11-22T18:15:00.7970000Z,2021-11-22T18:29:59.5910000Z,0.1991,0.2146,0.198,0.2141,2488356.3,1880
2021-11-22T18:30:00.0000000Z,2021-11-22T18:45:00.0000000Z,2021-11-22T18:30:00.0960000Z,2021-11-22T18:44:57.7840000Z,0.2141,0.2145,0.1988,0.203,2783369.8,2160
2021-11-22T18:45:00.0000000Z,2021-11-22T19:00:00.0000000Z,2021-11-22T18:45:05.0870000Z,2021-11-22T18:59:59.0800000Z,0.203,0.2034,0.1941,0.1964,1450378.5,1391
2021-11-22T19:00:00.0000000Z,2021-11-22T19:15:00.0000000Z,2021-11-22T19:00:00.0950000Z,2021-11-22T19:14:58.6760000Z,0.1963,0.2012,0.1912,0.1996,1477752.3,1302
2021-11-22T19:15:00.0000000Z,2021-11-22T19:30:00.0000000Z,2021-11-22T19:15:21.7110000Z,2021-11-22T19:29:58.8170000Z,0.1996,0.1999,0.1925,0.1941,844921.9,902
2021-11-22T19:30:00.0000000Z,2021-11-22T19:45:00.0000000Z,2021-11-22T19:30:01.3710000Z,2021-11-22T19:44:59.5410000Z,0.1941,0.195,0.1903,0.1932,785153.9,736
2021-11-22T19:45:00.0000000Z,2021-11-22T20:00:00.0000000Z,2021-11-22T19:45:01.2860000Z,2021-11-22T19:59:57.2660000Z,0.1931,0.1936,0.1888,0.1888,1017103.2,837
2021-11-22T20:00:00.0000000Z,2021-11-22T20:15:00.0000000Z,2021-11-22T20:00:03.6470000Z,2021-11-22T20:14:59.1320000Z,0.1888,0.1956,0.1877,0.1944,1298806.1,946
2021-11-22T20:15:00.0000000Z,2021-11-22T20:30:00.0000000Z,2021-11-22T20:15:01.4520000Z,2021-11-22T20:29:57.7870000Z,0.1946,0.196,0.1894,0.1922,1276886.3,950
2021-11-22T20:30:00.0000000Z,2021-11-22T20:45:00.0000000Z,2021-11-22T20:30:14.2730000Z,2021-11-22T20:44:57.8360000Z,0.1921,0.2042,0.1914,0.1998,1717324.1,1579
2021-11-22T20:45:00.0000000Z,2021-11-22T21:00:00.0000000Z,2021-11-22T20:45:00.3600000Z,2021-11-22T20:59:58.3850000Z,0.1998,0.201,0.1941,0.1948,906640.0,780
2021-11-22T21:00:00.0000000Z,2021-11-22T21:15:00.0000000Z,2021-11-22T21:00:02.8610000Z,2021-11-22T21:14:59.6960000Z,0.1952,0.2008,0.1946,0.1985,697898.3,640
2021-11-22T21:15:00.0000000Z,2021-11-22T21:30:00.0000000Z,2021-11-22T21:15:00.3680000Z,2021-11-22T21:29:57.0730000Z,0.1983,0.202,0.1978,0.2003,929782.0,719
