time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-30T10:00:00.0000000Z,2021-09-30T10:15:00.0000000Z,2021-09-30T10:00:40.3630000Z,2021-09-30T10:14:59.9940000Z,2.909,3.342,2.881,3.134,529086.6,6940
2021-09-30T10:15:00.0000000Z,2021-09-30T10:30:00.0000000Z,2021-09-30T10:15:02.2180000Z,2021-09-30T10:29:59.8370000Z,3.133,3.231,3.102,3.135,183490.0,2515
2021-09-30T10:30:00.0000000Z,2021-09-30T10:45:00.0000000Z,2021-09-30T10:30:00.6740000Z,2021-09-30T10:44:59.4060000Z,3.136,3.16,3.073,3.151,87805.8,1091
2021-09-30T10:45:00.0000000Z,2021-09-30T11:00:00.0000000Z,2021-09-30T10:45:00.1260000Z,2021-09-30T10:59:59.2720000Z,3.151,3.25,3.096,3.101,185151.7,2705
2021-09-30T11:00:00.0000000Z,2021-09-30T11:15:00.0000000Z,2021-09-30T11:00:07.0590000Z,2021-09-30T11:14:59.6900000Z,3.11,3.239,3.102,3.228,114384.3,1305
2021-09-30T11:15:00.0000000Z,2021-09-30T11:30:00.0000000Z,2021-09-30T11:15:01.7400000Z,2021-09-30T11:29:59.9200000Z,3.223,3.242,3.15,3.185,94580.2,1036
2021-09-30T11:30:00.0000000Z,2021-09-30T11:45:00.0000000Z,2021-09-30T11:30:00.9280000Z,2021-09-30T11:44:57.2820000Z,3.186,3.34,3.177,3.183,201003.0,1937
2021-09-30T11:45:00.0000000Z,2021-09-30T12:00:00.0000000Z,2021-09-30T11:45:04.4330000Z,2021-09-30T11:59:59.6290000Z,3.187,3.27,3.17,3.183,108239.3,999
2021-09-30T12:00:00.0000000Z,2021-09-30T12:15:00.0000000Z,2021-09-30T12:00:02.3240000Z,2021-09-30T12:14:56.4180000Z,3.182,3.188,3.017,3.109,152843.3,1692
2021-09-30T12:15:00.0000000Z,2021-09-30T12:30:00.0000000Z,2021-09-30T12:15:02.9710000Z,2021-09-30T12:29:59.3100000Z,3.114,3.122,3.008,3.011,79825.3,701
2021-09-30T12:30:00.0000000Z,2021-09-30T12:45:00.0000000Z,2021-09-30T12:30:03.3430000Z,2021-09-30T12:44:56.4640000Z,3.015,3.081,3.015,3.034,33787.8,322
2021-09-30T12:45:00.0000000Z,2021-09-30T13:00:00.0000000Z,2021-09-30T12:45:04.3530000Z,2021-09-30T12:59:59.8710000Z,3.034,3.04,2.98,2.98,28400.2,246
