time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-23T10:00:00.0000000Z,2021-07-23T10:15:00.0000000Z,2021-07-23T10:00:23.6140000Z,2021-07-23T10:14:58.5450000Z,0.1666,0.1799,0.1662,0.1717,779905.0,886
2021-07-23T10:15:00.0000000Z,2021-07-23T10:30:00.0000000Z,2021-07-23T10:15:00.8980000Z,2021-07-23T10:29:52.9810000Z,0.1717,0.1795,0.17,0.1722,910078.0,887
2021-07-23T10:30:00.0000000Z,2021-07-23T10:45:00.0000000Z,2021-07-23T10:30:07.2640000Z,2021-07-23T10:44:59.1670000Z,0.172,0.23,0.1692,0.177,1420456.0,1088
2021-07-23T10:45:00.0000000Z,2021-07-23T11:00:00.0000000Z,2021-07-23T10:45:02.8800000Z,2021-07-23T10:59:57.9980000Z,0.177,0.1792,0.1723,0.1757,611403.0,564
2021-07-23T11:00:00.0000000Z,2021-07-23T11:15:00.0000000Z,2021-07-23T11:00:00.8300000Z,2021-07-23T11:14:51.0310000Z,0.1757,0.1798,0.175,0.1769,476546.0,414
2021-07-23T11:15:00.0000000Z,2021-07-23T11:30:00.0000000Z,2021-07-23T11:15:00.7630000Z,2021-07-23T11:29:59.0700000Z,0.177,0.1846,0.1769,0.184,894733.0,773
2021-07-23T11:30:00.0000000Z,2021-07-23T11:45:00.0000000Z,2021-07-23T11:30:02.3860000Z,2021-07-23T11:44:58.1470000Z,0.1838,0.1899,0.1799,0.1822,1064828.0,914
2021-07-23T11:45:00.0000000Z,2021-07-23T12:00:00.0000000Z,2021-07-23T11:45:09.2320000Z,2021-07-23T11:59:58.8700000Z,0.1823,0.1879,0.1768,0.1774,954201.0,740
2021-07-23T12:00:00.0000000Z,2021-07-23T12:15:00.0000000Z,2021-07-23T12:00:04.2880000Z,2021-07-23T12:14:57.8490000Z,0.1773,0.18,0.1719,0.1726,791586.0,593
2021-07-23T12:15:00.0000000Z,2021-07-23T12:30:00.0000000Z,2021-07-23T12:15:01.3880000Z,2021-07-23T12:29:48.8240000Z,0.1726,0.1784,0.1688,0.172,672070.0,489
