time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-19T08:00:00.0000000Z,2021-08-19T08:15:00.0000000Z,2021-08-19T08:00:15.8290000Z,2021-08-19T08:14:59.9020000Z,3.5,3.965,3.171,3.339,7162840.2,47817
2021-08-19T08:15:00.0000000Z,2021-08-19T08:30:00.0000000Z,2021-08-19T08:15:00.0150000Z,2021-08-19T08:29:59.5120000Z,3.339,3.679,3.28,3.5,2814724.8,19644
2021-08-19T08:30:00.0000000Z,2021-08-19T08:45:00.0000000Z,2021-08-19T08:30:00.0700000Z,2021-08-19T08:44:58.0910000Z,3.5,3.55,3.25,3.388,1191890.6,10637
2021-08-19T08:45:00.0000000Z,2021-08-19T09:00:00.0000000Z,2021-08-19T08:45:00.0970000Z,2021-08-19T08:59:57.5010000Z,3.387,3.39,3.21,3.257,768442.6,8393
2021-08-19T09:00:00.0000000Z,2021-08-19T09:15:00.0000000Z,2021-08-19T09:00:00.5380000Z,2021-08-19T09:14:59.6770000Z,3.253,3.5,3.252,3.403,895132.7,8872
2021-08-19T09:15:00.0000000Z,2021-08-19T09:30:00.0000000Z,2021-08-19T09:15:00.4800000Z,2021-08-19T09:29:59.9640000Z,3.405,4.1,3.4,4.031,3679504.9,24598
2021-08-19T09:30:00.0000000Z,2021-08-19T09:45:00.0000000Z,2021-08-19T09:30:00.1390000Z,2021-08-19T09:44:59.9690000Z,4.062,4.234,3.8,4.006,3781156.0,29603
2021-08-19T09:45:00.0000000Z,2021-08-19T10:00:00.0000000Z,2021-08-19T09:45:00.0580000Z,2021-08-19T09:59:59.9810000Z,4.006,4.019,3.731,3.862,1374717.1,12653
2021-08-19T10:00:00.0000000Z,2021-08-19T10:15:00.0000000Z,2021-08-19T10:00:00.0230000Z,2021-08-19T10:14:59.9310000Z,3.867,4.594,3.867,4.525,4238190.1,32636
2021-08-19T10:15:00.0000000Z,2021-08-19T10:30:00.0000000Z,2021-08-19T10:15:00.0780000Z,2021-08-19T10:29:59.8650000Z,4.524,4.684,4.243,4.662,3890036.3,34335
2021-08-19T10:30:00.0000000Z,2021-08-19T10:45:00.0000000Z,2021-08-19T10:30:00.1460000Z,2021-08-19T10:44:59.9930000Z,4.665,5.72,4.5,5.487,8938504.2,65239
2021-08-19T10:45:00.0000000Z,2021-08-19T11:00:00.0000000Z,2021-08-19T10:45:00.1690000Z,2021-08-19T10:59:59.9830000Z,5.489,5.87,5.108,5.368,6727738.5,60873
2021-08-19T11:00:00.0000000Z,2021-08-19T11:15:00.0000000Z,2021-08-19T11:00:00.1380000Z,2021-08-19T11:14:59.9960000Z,5.372,5.86,4.884,4.978,5882922.4,52513
2021-08-19T11:15:00.0000000Z,2021-08-19T11:30:00.0000000Z,2021-08-19T11:15:00.0170000Z,2021-08-19T11:29:59.9960000Z,4.978,5.099,4.7,4.701,3661154.6,30983
2021-08-19T11:30:00.0000000Z,2021-08-19T11:45:00.0000000Z,2021-08-19T11:30:00.0960000Z,2021-08-19T11:44:59.8910000Z,4.71,5.035,4.704,4.865,2047031.3,22370
2021-08-19T11:45:00.0000000Z,2021-08-19T12:00:00.0000000Z,2021-08-19T11:45:00.1550000Z,2021-08-19T11:59:59.7330000Z,4.865,5.227,4.76,4.832,2319359.6,22944
2021-08-19T12:00:00.0000000Z,2021-08-19T12:15:00.0000000Z,2021-08-19T12:00:00.5270000Z,2021-08-19T12:14:59.9910000Z,4.831,5.042,4.611,4.614,1724002.9,19681
2021-08-19T12:15:00.0000000Z,2021-08-19T12:30:00.0000000Z,2021-08-19T12:15:00.0460000Z,2021-08-19T12:29:59.9850000Z,4.615,4.738,4.418,4.493,2071067.6,18613
2021-08-19T12:30:00.0000000Z,2021-08-19T12:45:00.0000000Z,2021-08-19T12:30:00.3220000Z,2021-08-19T12:44:59.9510000Z,4.49,4.624,4.45,4.488,1102948.3,11284
2021-08-19T12:45:00.0000000Z,2021-08-19T13:00:00.0000000Z,2021-08-19T12:45:00.0470000Z,2021-08-19T12:59:59.9510000Z,4.485,4.67,4.473,4.597,1235971.5,11036
2021-08-19T13:00:00.0000000Z,2021-08-19T13:15:00.0000000Z,2021-08-19T13:00:00.9050000Z,2021-08-19T13:14:59.9910000Z,4.606,4.843,4.589,4.806,1632554.9,15121
2021-08-19T13:15:00.0000000Z,2021-08-19T13:30:00.0000000Z,2021-08-19T13:15:00.1590000Z,2021-08-19T13:29:59.7470000Z,4.805,5.036,4.674,4.752,2011664.3,19140
2021-08-19T13:30:00.0000000Z,2021-08-19T13:45:00.0000000Z,2021-08-19T13:30:00.2210000Z,2021-08-19T13:44:59.8250000Z,4.755,4.759,4.5,4.561,1190213.2,11156
2021-08-19T13:45:00.0000000Z,2021-08-19T14:00:00.0000000Z,2021-08-19T13:45:00.0740000Z,2021-08-19T13:59:59.9870000Z,4.562,4.785,4.551,4.683,856923.6,8937
2021-08-19T14:00:00.0000000Z,2021-08-19T14:15:00.0000000Z,2021-08-19T14:00:00.2210000Z,2021-08-19T14:14:59.5570000Z,4.683,4.685,4.345,4.403,1043026.5,9612
2021-08-19T14:15:00.0000000Z,2021-08-19T14:30:00.0000000Z,2021-08-19T14:15:00.0260000Z,2021-08-19T14:29:59.9470000Z,4.406,4.453,4.279,4.315,1522917.6,10931
2021-08-19T14:30:00.0000000Z,2021-08-19T14:45:00.0000000Z,2021-08-19T14:30:00.1180000Z,2021-08-19T14:44:59.8020000Z,4.316,4.318,4.168,4.178,793293.9,6647
2021-08-19T14:45:00.0000000Z,2021-08-19T15:00:00.0000000Z,2021-08-19T14:45:00.1460000Z,2021-08-19T14:59:59.5440000Z,4.176,4.336,4.14,4.32,889889.2,7270
2021-08-19T15:00:00.0000000Z,2021-08-19T15:15:00.0000000Z,2021-08-19T15:00:00.1380000Z,2021-08-19T15:14:59.5740000Z,4.319,4.388,4.234,4.262,569939.6,5935
2021-08-19T15:15:00.0000000Z,2021-08-19T15:30:00.0000000Z,2021-08-19T15:15:00.6780000Z,2021-08-19T15:29:59.8370000Z,4.255,4.484,4.134,4.468,1013811.7,8950
2021-08-19T15:30:00.0000000Z,2021-08-19T15:45:00.0000000Z,2021-08-19T15:30:00.0390000Z,2021-08-19T15:44:59.4300000Z,4.468,4.546,4.32,4.42,1081148.4,9997
2021-08-19T15:45:00.0000000Z,2021-08-19T16:00:00.0000000Z,2021-08-19T15:45:01.2860000Z,2021-08-19T15:59:59.9130000Z,4.421,4.556,4.272,4.504,614790.2,6620
2021-08-19T16:00:00.0000000Z,2021-08-19T16:15:00.0000000Z,2021-08-19T16:00:00.0620000Z,2021-08-19T16:14:59.8830000Z,4.505,4.632,4.41,4.559,823438.3,8854
2021-08-19T16:15:00.0000000Z,2021-08-19T16:30:00.0000000Z,2021-08-19T16:15:00.5200000Z,2021-08-19T16:29:59.4450000Z,4.567,4.84,4.555,4.772,1524554.3,14516
2021-08-19T16:30:00.0000000Z,2021-08-19T16:45:00.0000000Z,2021-08-19T16:30:00.0290000Z,2021-08-19T16:44:59.4600000Z,4.777,5.15,4.771,4.863,3426399.3,27433
2021-08-19T16:45:00.0000000Z,2021-08-19T17:00:00.0000000Z,2021-08-19T16:45:00.1250000Z,2021-08-19T16:59:59.9900000Z,4.867,4.986,4.691,4.862,1561793.9,15991
2021-08-19T17:00:00.0000000Z,2021-08-19T17:15:00.0000000Z,2021-08-19T17:00:00.2030000Z,2021-08-19T17:14:59.6880000Z,4.856,4.86,4.611,4.646,899130.1,10349
2021-08-19T17:15:00.0000000Z,2021-08-19T17:30:00.0000000Z,2021-08-19T17:15:00.8760000Z,2021-08-19T17:29:59.6180000Z,4.645,4.72,4.58,4.7,600492.3,6712
2021-08-19T17:30:00.0000000Z,2021-08-19T17:45:00.0000000Z,2021-08-19T17:30:00.0220000Z,2021-08-19T17:44:59.6980000Z,4.699,4.72,4.521,4.657,443629.1,5413
2021-08-19T17:45:00.0000000Z,2021-08-19T18:00:00.0000000Z,2021-08-19T17:45:00.2920000Z,2021-08-19T17:59:59.6720000Z,4.652,4.712,4.58,4.697,359889.4,4048
2021-08-19T18:00:00.0000000Z,2021-08-19T18:15:00.0000000Z,2021-08-19T18:00:01.0270000Z,2021-08-19T18:14:59.9470000Z,4.697,4.84,4.65,4.784,471246.9,6289
2021-08-19T18:15:00.0000000Z,2021-08-19T18:30:00.0000000Z,2021-08-19T18:15:00.5790000Z,2021-08-19T18:29:59.5100000Z,4.785,4.785,4.6,4.653,477810.4,5564
2021-08-19T18:30:00.0000000Z,2021-08-19T18:45:00.0000000Z,2021-08-19T18:30:01.5220000Z,2021-08-19T18:44:59.8800000Z,4.656,4.659,4.463,4.582,419972.2,5992
2021-08-19T18:45:00.0000000Z,2021-08-19T19:00:00.0000000Z,2021-08-19T18:45:00.4430000Z,2021-08-19T18:59:59.8330000Z,4.582,4.619,4.5,4.595,221315.2,3476
2021-08-19T19:00:00.0000000Z,2021-08-19T19:15:00.0000000Z,2021-08-19T19:00:02.1550000Z,2021-08-19T19:14:59.7420000Z,4.597,4.604,4.452,4.507,264799.6,3713
2021-08-19T19:15:00.0000000Z,2021-08-19T19:30:00.0000000Z,2021-08-19T19:15:00.6660000Z,2021-08-19T19:29:59.9350000Z,4.507,4.7,4.499,4.606,403202.8,4963
2021-08-19T19:30:00.0000000Z,2021-08-19T19:45:00.0000000Z,2021-08-19T19:30:01.1050000Z,2021-08-19T19:44:56.2170000Z,4.604,4.604,4.44,4.488,423678.2,5563
2021-08-19T19:45:00.0000000Z,2021-08-19T20:00:00.0000000Z,2021-08-19T19:45:00.3070000Z,2021-08-19T19:59:59.5120000Z,4.496,4.57,4.48,4.541,138240.1,2293
2021-08-19T20:00:00.0000000Z,2021-08-19T20:15:00.0000000Z,2021-08-19T20:00:00.4500000Z,2021-08-19T20:14:59.7710000Z,4.545,4.578,4.442,4.443,290857.1,3239
2021-08-19T20:15:00.0000000Z,2021-08-19T20:30:00.0000000Z,2021-08-19T20:15:02.9530000Z,2021-08-19T20:29:59.0980000Z,4.449,4.53,4.443,4.445,168997.1,2332
2021-08-19T20:30:00.0000000Z,2021-08-19T20:45:00.0000000Z,2021-08-19T20:30:00.2210000Z,2021-08-19T20:44:57.5070000Z,4.445,4.454,4.326,4.326,211881.3,3352
2021-08-19T20:45:00.0000000Z,2021-08-19T21:00:00.0000000Z,2021-08-19T20:45:01.5640000Z,2021-08-19T20:59:58.8630000Z,4.329,4.437,4.323,4.425,225567.7,2925
2021-08-19T21:00:00.0000000Z,2021-08-19T21:15:00.0000000Z,2021-08-19T21:00:01.4540000Z,2021-08-19T21:14:59.9090000Z,4.426,4.45,4.28,4.314,231136.4,3401
2021-08-19T21:15:00.0000000Z,2021-08-19T21:30:00.0000000Z,2021-08-19T21:15:00.0890000Z,2021-08-19T21:29:59.0280000Z,4.313,4.366,4.212,4.305,330447.0,4058
