time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-10T06:00:00.0000000Z,2021-08-10T06:15:00.0000000Z,2021-08-10T06:01:25.9230000Z,2021-08-10T06:14:59.9710000Z,3.23,3.6,2.95,3.217,729248.7,7628
2021-08-10T06:15:00.0000000Z,2021-08-10T06:30:00.0000000Z,2021-08-10T06:15:01.1310000Z,2021-08-10T06:29:59.4820000Z,3.212,3.48,3.061,3.106,628498.3,5849
2021-08-10T06:30:00.0000000Z,2021-08-10T06:45:00.0000000Z,2021-08-10T06:30:00.1220000Z,2021-08-10T06:44:59.5150000Z,3.106,3.206,3.016,3.151,265155.3,2701
2021-08-10T06:45:00.0000000Z,2021-08-10T07:00:00.0000000Z,2021-08-10T06:45:03.1210000Z,2021-08-10T06:59:59.1170000Z,3.158,3.203,3.011,3.011,228836.7,2948
2021-08-10T07:00:00.0000000Z,2021-08-10T07:15:00.0000000Z,2021-08-10T07:00:04.9840000Z,2021-08-10T07:14:58.8580000Z,3.012,3.399,3.01,3.242,557915.8,6141
2021-08-10T07:15:00.0000000Z,2021-08-10T07:30:00.0000000Z,2021-08-10T07:15:00.9210000Z,2021-08-10T07:29:58.9440000Z,3.25,3.58,3.216,3.399,703775.7,7966
2021-08-10T07:30:00.0000000Z,2021-08-10T07:45:00.0000000Z,2021-08-10T07:30:00.1600000Z,2021-08-10T07:44:59.9590000Z,3.403,3.43,3.286,3.326,349843.1,4114
2021-08-10T07:45:00.0000000Z,2021-08-10T08:00:00.0000000Z,2021-08-10T07:45:02.3450000Z,2021-08-10T07:59:58.1890000Z,3.326,3.326,3.185,3.238,292432.6,3290
2021-08-10T08:00:00.0000000Z,2021-08-10T08:15:00.0000000Z,2021-08-10T08:00:01.5910000Z,2021-08-10T08:14:59.5680000Z,3.236,3.256,3.127,3.146,256601.7,2593
2021-08-10T08:15:00.0000000Z,2021-08-10T08:30:00.0000000Z,2021-08-10T08:15:00.5490000Z,2021-08-10T08:29:59.8800000Z,3.145,3.161,3.091,3.114,249801.0,2283
2021-08-10T08:30:00.0000000Z,2021-08-10T08:45:00.0000000Z,2021-08-10T08:30:00.1410000Z,2021-08-10T08:44:57.3870000Z,3.114,3.179,3.108,3.128,159840.3,1547
2021-08-10T08:45:00.0000000Z,2021-08-10T09:00:00.0000000Z,2021-08-10T08:45:00.3710000Z,2021-08-10T08:59:56.8550000Z,3.128,3.14,3.108,3.111,88082.9,786
2021-08-10T09:00:00.0000000Z,2021-08-10T09:15:00.0000000Z,2021-08-10T09:00:02.1970000Z,2021-08-10T09:14:58.3760000Z,3.11,3.122,2.96,2.969,205900.4,1921
2021-08-10T09:15:00.0000000Z,2021-08-10T09:30:00.0000000Z,2021-08-10T09:15:03.1570000Z,2021-08-10T09:29:59.8350000Z,2.962,3.014,2.942,3.001,153470.5,1459
2021-08-10T09:30:00.0000000Z,2021-08-10T09:45:00.0000000Z,2021-08-10T09:30:08.1540000Z,2021-08-10T09:44:59.1690000Z,3.001,3.096,2.992,3.09,135419.4,1260
2021-08-10T09:45:00.0000000Z,2021-08-10T10:00:00.0000000Z,2021-08-10T09:45:01.6600000Z,2021-08-10T09:59:55.1400000Z,3.09,3.091,3.001,3.001,98539.5,929
2021-08-10T10:00:00.0000000Z,2021-08-10T10:15:00.0000000Z,2021-08-10T10:00:01.0970000Z,2021-08-10T10:14:57.2620000Z,3.006,3.065,2.961,2.968,72945.6,885
2021-08-10T10:15:00.0000000Z,2021-08-10T10:30:00.0000000Z,2021-08-10T10:15:02.5260000Z,2021-08-10T10:29:58.5590000Z,2.97,2.983,2.89,2.917,105742.3,1167
2021-08-10T10:30:00.0000000Z,2021-08-10T10:45:00.0000000Z,2021-08-10T10:30:02.5330000Z,2021-08-10T10:44:59.0810000Z,2.918,2.946,2.859,2.872,83252.9,784
2021-08-10T10:45:00.0000000Z,2021-08-10T11:00:00.0000000Z,2021-08-10T10:45:02.7600000Z,2021-08-10T10:59:53.5810000Z,2.872,2.913,2.863,2.865,52355.1,542
2021-08-10T11:00:00.0000000Z,2021-08-10T11:15:00.0000000Z,2021-08-10T11:00:00.4880000Z,2021-08-10T11:14:55.3870000Z,2.864,2.87,2.814,2.843,52165.8,590
2021-08-10T11:15:00.0000000Z,2021-08-10T11:30:00.0000000Z,2021-08-10T11:15:04.2720000Z,2021-08-10T11:29:58.9510000Z,2.842,3.0,2.831,2.989,146491.8,1453
2021-08-10T11:30:00.0000000Z,2021-08-10T11:45:00.0000000Z,2021-08-10T11:30:00.6520000Z,2021-08-10T11:44:59.7170000Z,2.992,3.05,2.917,2.994,162332.1,1468
2021-08-10T11:45:00.0000000Z,2021-08-10T12:00:00.0000000Z,2021-08-10T11:45:11.4130000Z,2021-08-10T11:59:57.3440000Z,2.998,3.045,2.913,2.936,79748.2,906
2021-08-10T12:00:00.0000000Z,2021-08-10T12:15:00.0000000Z,2021-08-10T12:00:01.7050000Z,2021-08-10T12:14:58.5490000Z,2.937,3.0,2.872,2.944,101817.1,886
2021-08-10T12:15:00.0000000Z,2021-08-10T12:30:00.0000000Z,2021-08-10T12:15:00.3660000Z,2021-08-10T12:29:59.9900000Z,2.951,3.012,2.941,3.004,69335.9,601
2021-08-10T12:30:00.0000000Z,2021-08-10T12:45:00.0000000Z,2021-08-10T12:30:06.6500000Z,2021-08-10T12:44:55.0550000Z,3.004,3.009,2.921,2.924,94299.0,719
2021-08-10T12:45:00.0000000Z,2021-08-10T13:00:00.0000000Z,2021-08-10T12:45:10.9800000Z,2021-08-10T12:59:53.3750000Z,2.923,2.955,2.917,2.927,41617.8,387
2021-08-10T13:00:00.0000000Z,2021-08-10T13:15:00.0000000Z,2021-08-10T13:00:06.7650000Z,2021-08-10T13:14:43.5700000Z,2.927,2.955,2.9,2.905,32394.8,390
2021-08-10T13:15:00.0000000Z,2021-08-10T13:30:00.0000000Z,2021-08-10T13:15:13.4660000Z,2021-08-10T13:29:59.8340000Z,2.904,2.92,2.88,2.92,39177.4,454
2021-08-10T13:30:00.0000000Z,2021-08-10T13:45:00.0000000Z,2021-08-10T13:30:00.3640000Z,2021-08-10T13:44:59.0880000Z,2.921,2.986,2.92,2.944,96067.6,786
2021-08-10T13:45:00.0000000Z,2021-08-10T14:00:00.0000000Z,2021-08-10T13:45:00.9900000Z,2021-08-10T13:59:54.6010000Z,2.943,2.988,2.876,2.952,62436.3,727
2021-08-10T14:00:00.0000000Z,2021-08-10T14:15:00.0000000Z,2021-08-10T14:00:02.2220000Z,2021-08-10T14:14:55.0870000Z,2.952,3.0,2.906,2.985,66436.9,669
2021-08-10T14:15:00.0000000Z,2021-08-10T14:30:00.0000000Z,2021-08-10T14:15:00.6380000Z,2021-08-10T14:29:57.0080000Z,2.986,3.005,2.952,2.992,55322.8,629
2021-08-10T14:30:00.0000000Z,2021-08-10T14:45:00.0000000Z,2021-08-10T14:30:04.9210000Z,2021-08-10T14:44:59.4550000Z,2.994,3.1,2.991,3.034,136602.1,1586
2021-08-10T14:45:00.0000000Z,2021-08-10T15:00:00.0000000Z,2021-08-10T14:45:00.2690000Z,2021-08-10T14:59:59.4620000Z,3.034,3.246,3.004,3.183,234094.5,2883
2021-08-10T15:00:00.0000000Z,2021-08-10T15:15:00.0000000Z,2021-08-10T15:00:00.9090000Z,2021-08-10T15:14:55.0980000Z,3.18,3.182,3.05,3.088,132588.7,1558
2021-08-10T15:15:00.0000000Z,2021-08-10T15:30:00.0000000Z,2021-08-10T15:15:02.9930000Z,2021-08-10T15:29:59.7300000Z,3.087,3.157,3.003,3.01,109785.7,1336
2021-08-10T15:30:00.0000000Z,2021-08-10T15:45:00.0000000Z,2021-08-10T15:30:01.1630000Z,2021-08-10T15:44:59.9830000Z,3.004,3.096,2.935,3.045,163726.6,1407
2021-08-10T15:45:00.0000000Z,2021-08-10T16:00:00.0000000Z,2021-08-10T15:45:00.0200000Z,2021-08-10T15:59:59.0390000Z,3.045,3.179,3.016,3.117,129351.1,1709
2021-08-10T16:00:00.0000000Z,2021-08-10T16:15:00.0000000Z,2021-08-10T16:00:05.9430000Z,2021-08-10T16:14:59.4010000Z,3.119,3.17,3.005,3.005,134647.7,1725
2021-08-10T16:15:00.0000000Z,2021-08-10T16:30:00.0000000Z,2021-08-10T16:15:02.0050000Z,2021-08-10T16:29:59.8450000Z,3.011,3.067,2.931,2.98,101720.0,1277
2021-08-10T16:30:00.0000000Z,2021-08-10T16:45:00.0000000Z,2021-08-10T16:30:02.3430000Z,2021-08-10T16:44:56.5080000Z,2.988,3.011,2.9,2.93,59289.6,848
2021-08-10T16:45:00.0000000Z,2021-08-10T17:00:00.0000000Z,2021-08-10T16:45:02.5380000Z,2021-08-10T16:59:48.0450000Z,2.931,3.1,2.931,2.991,74895.6,1182
2021-08-10T17:00:00.0000000Z,2021-08-10T17:15:00.0000000Z,2021-08-10T17:00:00.8940000Z,2021-08-10T17:14:54.8100000Z,2.991,3.0,2.92,2.976,52675.3,693
2021-08-10T17:15:00.0000000Z,2021-08-10T17:30:00.0000000Z,2021-08-10T17:15:14.3170000Z,2021-08-10T17:29:52.4250000Z,2.975,3.045,2.965,2.972,38502.7,548
2021-08-10T17:30:00.0000000Z,2021-08-10T17:45:00.0000000Z,2021-08-10T17:30:04.6770000Z,2021-08-10T17:44:28.5530000Z,2.975,2.991,2.944,2.968,24526.4,370
2021-08-10T17:45:00.0000000Z,2021-08-10T18:00:00.0000000Z,2021-08-10T17:45:04.3890000Z,2021-08-10T17:59:59.3880000Z,2.963,2.997,2.94,2.993,25293.3,336
2021-08-10T18:00:00.0000000Z,2021-08-10T18:15:00.0000000Z,2021-08-10T18:00:07.9660000Z,2021-08-10T18:14:55.9180000Z,2.994,3.09,2.991,3.083,91930.4,967
2021-08-10T18:15:00.0000000Z,2021-08-10T18:30:00.0000000Z,2021-08-10T18:15:02.8180000Z,2021-08-10T18:29:13.1090000Z,3.085,3.085,2.975,3.009,43256.1,549
2021-08-10T18:30:00.0000000Z,2021-08-10T18:45:00.0000000Z,2021-08-10T18:30:05.9900000Z,2021-08-10T18:44:59.5770000Z,3.009,3.063,3.003,3.05,28898.1,329
2021-08-10T18:45:00.0000000Z,2021-08-10T19:00:00.0000000Z,2021-08-10T18:45:18.3030000Z,2021-08-10T18:59:34.0460000Z,3.049,3.101,3.012,3.047,43174.8,575
2021-08-10T19:00:00.0000000Z,2021-08-10T19:15:00.0000000Z,2021-08-10T19:00:03.8380000Z,2021-08-10T19:14:59.8170000Z,3.047,3.07,3.02,3.041,32790.1,436
2021-08-10T19:15:00.0000000Z,2021-08-10T19:30:00.0000000Z,2021-08-10T19:15:02.9100000Z,2021-08-10T19:29:58.5580000Z,3.047,3.098,3.043,3.092,52412.0,446
2021-08-10T19:30:00.0000000Z,2021-08-10T19:45:00.0000000Z,2021-08-10T19:30:03.3680000Z,2021-08-10T19:44:59.4950000Z,3.097,3.152,3.02,3.142,88022.7,832
2021-08-10T19:45:00.0000000Z,2021-08-10T20:00:00.0000000Z,2021-08-10T19:45:04.4410000Z,2021-08-10T19:59:57.9420000Z,3.15,3.2,3.104,3.129,130287.4,1297
2021-08-10T20:00:00.0000000Z,2021-08-10T20:15:00.0000000Z,2021-08-10T20:00:02.1110000Z,2021-08-10T20:14:59.7500000Z,3.128,3.17,3.06,3.139,114382.3,991
2021-08-10T20:15:00.0000000Z,2021-08-10T20:30:00.0000000Z,2021-08-10T20:15:00.3470000Z,2021-08-10T20:29:57.9410000Z,3.149,3.347,3.149,3.269,289393.0,3214
2021-08-10T20:30:00.0000000Z,2021-08-10T20:45:00.0000000Z,2021-08-10T20:30:00.4120000Z,2021-08-10T20:44:59.7730000Z,3.27,3.347,3.22,3.305,128245.6,1489
2021-08-10T20:45:00.0000000Z,2021-08-10T21:00:00.0000000Z,2021-08-10T20:45:00.1530000Z,2021-08-10T20:59:57.8900000Z,3.305,3.4,3.273,3.364,222982.6,2432
2021-08-10T21:00:00.0000000Z,2021-08-10T21:15:00.0000000Z,2021-08-10T21:00:01.3030000Z,2021-08-10T21:14:59.3280000Z,3.362,3.362,3.192,3.273,85974.5,1372
2021-08-10T21:15:00.0000000Z,2021-08-10T21:30:00.0000000Z,2021-08-10T21:15:01.6090000Z,2021-08-10T21:29:48.8390000Z,3.273,3.274,3.21,3.21,66567.1,735
2021-08-10T21:30:00.0000000Z,2021-08-10T21:45:00.0000000Z,2021-08-10T21:30:09.9260000Z,2021-08-10T21:44:59.9960000Z,3.209,3.354,3.153,3.352,88628.4,948
2021-08-10T21:45:00.0000000Z,2021-08-10T22:00:00.0000000Z,2021-08-10T21:45:02.9420000Z,2021-08-10T21:59:59.9900000Z,3.353,3.353,3.23,3.23,92479.3,1231
2021-08-10T22:00:00.0000000Z,2021-08-10T22:15:00.0000000Z,2021-08-10T22:00:01.2300000Z,2021-08-10T22:14:58.2860000Z,3.229,3.293,3.229,3.234,54646.1,601
2021-08-10T22:15:00.0000000Z,2021-08-10T22:30:00.0000000Z,2021-08-10T22:15:03.3880000Z,2021-08-10T22:29:54.7840000Z,3.236,3.283,3.231,3.279,37711.0,421
2021-08-10T22:30:00.0000000Z,2021-08-10T22:45:00.0000000Z,2021-08-10T22:30:00.5600000Z,2021-08-10T22:44:50.4830000Z,3.265,3.279,3.208,3.236,35964.6,450
2021-08-10T22:45:00.0000000Z,2021-08-10T23:00:00.0000000Z,2021-08-10T22:45:26.0870000Z,2021-08-10T22:59:58.9610000Z,3.235,3.249,3.163,3.178,34443.8,482
2021-08-10T23:00:00.0000000Z,2021-08-10T23:15:00.0000000Z,2021-08-10T23:00:03.6930000Z,2021-08-10T23:14:25.0970000Z,3.182,3.199,3.132,3.19,45383.5,480
