time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-08T06:00:00.0000000Z,2021-11-08T06:15:00.0000000Z,2021-11-08T06:00:58.0610000Z,2021-11-08T06:14:59.4640000Z,458.0,459.9,414.2,427.0,14220.797,13128
2021-11-08T06:15:00.0000000Z,2021-11-08T06:30:00.0000000Z,2021-11-08T06:15:00.0370000Z,2021-11-08T06:29:59.8640000Z,426.8,427.4,398.6,407.6,8433.591,6008
2021-11-08T06:30:00.0000000Z,2021-11-08T06:45:00.0000000Z,2021-11-08T06:30:00.9540000Z,2021-11-08T06:44:59.6120000Z,407.6,415.0,398.0,402.3,4459.031,3009
2021-11-08T06:45:00.0000000Z,2021-11-08T07:00:00.0000000Z,2021-11-08T06:45:00.3690000Z,2021-11-08T06:59:58.9230000Z,403.1,414.7,398.8,409.8,2063.991,2608
2021-11-08T07:00:00.0000000Z,2021-11-08T07:15:00.0000000Z,2021-11-08T07:00:01.8800000Z,2021-11-08T07:14:59.2270000Z,409.7,413.9,401.1,413.0,1756.434,1859
2021-11-08T07:15:00.0000000Z,2021-11-08T07:30:00.0000000Z,2021-11-08T07:15:00.5720000Z,2021-11-08T07:29:58.7610000Z,413.0,422.0,410.6,416.1,2171.836,1894
2021-11-08T07:30:00.0000000Z,2021-11-08T07:45:00.0000000Z,2021-11-08T07:30:01.8050000Z,2021-11-08T07:44:57.9420000Z,416.1,436.0,416.1,430.1,4235.465,4473
2021-11-08T07:45:00.0000000Z,2021-11-08T08:00:00.0000000Z,2021-11-08T07:45:01.1770000Z,2021-11-08T07:59:57.4010000Z,429.9,442.9,402.8,408.4,5391.169,4515
2021-11-08T08:00:00.0000000Z,2021-11-08T08:15:00.0000000Z,2021-11-08T08:00:01.9280000Z,2021-11-08T08:14:57.5530000Z,408.6,410.9,405.0,409.8,1259.33,1323
2021-11-08T08:15:00.0000000Z,2021-11-08T08:30:00.0000000Z,2021-11-08T08:15:00.8020000Z,2021-11-08T08:29:53.0570000Z,409.7,425.0,409.0,410.1,1891.864,2205
2021-11-08T08:30:00.0000000Z,2021-11-08T08:45:00.0000000Z,2021-11-08T08:30:01.6380000Z,2021-11-08T08:44:58.9030000Z,410.0,420.0,406.5,411.2,1882.463,2041
2021-11-08T08:45:00.0000000Z,2021-11-08T09:00:00.0000000Z,2021-11-08T08:45:00.6250000Z,2021-11-08T08:59:56.3400000Z,411.5,422.0,411.5,414.6,1290.89,1553
2021-11-08T09:00:00.0000000Z,2021-11-08T09:15:00.0000000Z,2021-11-08T09:00:02.1570000Z,2021-11-08T09:14:53.3330000Z,414.6,424.0,407.8,422.5,1544.182,1834
2021-11-08T09:15:00.0000000Z,2021-11-08T09:30:00.0000000Z,2021-11-08T09:15:00.1700000Z,2021-11-08T09:29:59.8810000Z,422.6,424.8,415.2,416.3,658.26,1012
2021-11-08T09:30:00.0000000Z,2021-11-08T09:45:00.0000000Z,2021-11-08T09:30:06.5820000Z,2021-11-08T09:44:59.8980000Z,416.2,419.0,404.2,405.2,1581.991,1559
2021-11-08T09:45:00.0000000Z,2021-11-08T10:00:00.0000000Z,2021-11-08T09:45:01.4890000Z,2021-11-08T09:59:59.4750000Z,405.2,405.6,400.9,405.1,1115.052,971
2021-11-08T10:00:00.0000000Z,2021-11-08T10:15:00.0000000Z,2021-11-08T10:00:00.5280000Z,2021-11-08T10:14:59.5290000Z,404.7,405.4,397.4,399.7,1178.757,1216
2021-11-08T10:15:00.0000000Z,2021-11-08T10:30:00.0000000Z,2021-11-08T10:15:00.5910000Z,2021-11-08T10:29:51.0710000Z,400.0,409.6,399.6,408.4,731.984,1039
2021-11-08T10:30:00.0000000Z,2021-11-08T10:45:00.0000000Z,2021-11-08T10:30:01.4360000Z,2021-11-08T10:44:53.6800000Z,408.7,415.0,408.3,413.1,1219.108,879
2021-11-08T10:45:00.0000000Z,2021-11-08T11:00:00.0000000Z,2021-11-08T10:45:01.0750000Z,2021-11-08T10:59:58.9160000Z,413.1,417.8,399.7,400.9,1864.169,1517
2021-11-08T11:00:00.0000000Z,2021-11-08T11:15:00.0000000Z,2021-11-08T11:00:00.4690000Z,2021-11-08T11:14:58.2440000Z,401.3,414.9,400.5,405.2,1129.734,1100
2021-11-08T11:15:00.0000000Z,2021-11-08T11:30:00.0000000Z,2021-11-08T11:15:17.9470000Z,2021-11-08T11:29:49.9530000Z,405.2,409.2,398.9,401.1,674.345,689
