time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-04T05:30:00.0000000Z,2021-06-04T05:45:00.0000000Z,2021-06-04T05:31:30.5090000Z,2021-06-04T05:44:59.5730000Z,0.3953,0.4279,0.37,0.3754,3862951.0,5668
2021-06-04T05:45:00.0000000Z,2021-06-04T06:00:00.0000000Z,2021-06-04T05:45:00.1750000Z,2021-06-04T05:59:59.9030000Z,0.3746,0.391,0.367,0.3757,1350642.0,1887
2021-06-04T06:00:00.0000000Z,2021-06-04T06:15:00.0000000Z,2021-06-04T06:00:03.5540000Z,2021-06-04T06:14:58.2380000Z,0.3761,0.4075,0.3756,0.3869,1785946.0,2653
2021-06-04T06:15:00.0000000Z,2021-06-04T06:30:00.0000000Z,2021-06-04T06:15:00.0830000Z,2021-06-04T06:29:59.6300000Z,0.3869,0.4015,0.385,0.4015,857497.0,1512
2021-06-04T06:30:00.0000000Z,2021-06-04T06:45:00.0000000Z,2021-06-04T06:30:00.3290000Z,2021-06-04T06:44:59.4350000Z,0.4015,0.41,0.3863,0.3887,1620732.0,1857
2021-06-04T06:45:00.0000000Z,2021-06-04T07:00:00.0000000Z,2021-06-04T06:45:01.4120000Z,2021-06-04T06:59:58.7070000Z,0.3887,0.3897,0.3767,0.3877,950635.0,1488
2021-06-04T07:00:00.0000000Z,2021-06-04T07:15:00.0000000Z,2021-06-04T07:00:02.0680000Z,2021-06-04T07:14:56.2990000Z,0.3876,0.391,0.3635,0.3767,1409654.0,1834
2021-06-04T07:15:00.0000000Z,2021-06-04T07:30:00.0000000Z,2021-06-04T07:15:04.9560000Z,2021-06-04T07:29:57.7990000Z,0.3767,0.3798,0.3615,0.3715,868440.0,951
2021-06-04T07:30:00.0000000Z,2021-06-04T07:45:00.0000000Z,2021-06-04T07:30:00.6320000Z,2021-06-04T07:44:53.3010000Z,0.371,0.3789,0.3704,0.3766,714301.0,714
2021-06-04T07:45:00.0000000Z,2021-06-04T08:00:00.0000000Z,2021-06-04T07:45:02.7270000Z,2021-06-04T07:59:56.2880000Z,0.3777,0.391,0.367,0.3749,875746.0,1064
2021-06-04T08:00:00.0000000Z,2021-06-04T08:15:00.0000000Z,2021-06-04T08:00:05.7170000Z,2021-06-04T08:14:59.0850000Z,0.374,0.381,0.363,0.368,527135.0,887
2021-06-04T08:15:00.0000000Z,2021-06-04T08:30:00.0000000Z,2021-06-04T08:15:00.7820000Z,2021-06-04T08:29:57.1960000Z,0.3705,0.3719,0.3632,0.365,274549.0,432
2021-06-04T08:30:00.0000000Z,2021-06-04T08:45:00.0000000Z,2021-06-04T08:30:01.1930000Z,2021-06-04T08:44:56.2350000Z,0.3651,0.3735,0.3651,0.37,169247.0,382
2021-06-04T08:45:00.0000000Z,2021-06-04T09:00:00.0000000Z,2021-06-04T08:45:01.0690000Z,2021-06-04T08:59:59.5330000Z,0.3707,0.379,0.3684,0.3706,683763.0,701
2021-06-04T09:00:00.0000000Z,2021-06-04T09:15:00.0000000Z,2021-06-04T09:00:00.2470000Z,2021-06-04T09:14:55.8450000Z,0.3706,0.3852,0.368,0.3783,488683.0,659
2021-06-04T09:15:00.0000000Z,2021-06-04T09:30:00.0000000Z,2021-06-04T09:15:00.8430000Z,2021-06-04T09:29:59.8170000Z,0.3783,0.4432,0.3781,0.4432,3343621.0,3795
2021-06-04T09:30:00.0000000Z,2021-06-04T09:45:00.0000000Z,2021-06-04T09:30:00.5230000Z,2021-06-04T09:44:59.4510000Z,0.4421,0.4939,0.4253,0.437,11179084.0,11086
2021-06-04T09:45:00.0000000Z,2021-06-04T10:00:00.0000000Z,2021-06-04T09:45:00.4100000Z,2021-06-04T09:59:59.4430000Z,0.437,0.437,0.4113,0.4217,4722789.0,5309
2021-06-04T10:00:00.0000000Z,2021-06-04T10:15:00.0000000Z,2021-06-04T10:00:00.2800000Z,2021-06-04T10:14:59.8910000Z,0.4225,0.443,0.4146,0.4309,3077997.0,3696
2021-06-04T10:15:00.0000000Z,2021-06-04T10:30:00.0000000Z,2021-06-04T10:15:00.1870000Z,2021-06-04T10:29:57.4670000Z,0.4305,0.44,0.4133,0.42,1537451.0,2532
2021-06-04T10:30:00.0000000Z,2021-06-04T10:45:00.0000000Z,2021-06-04T10:30:01.1300000Z,2021-06-04T10:44:59.7190000Z,0.4202,0.4445,0.415,0.4181,2512505.0,3755
2021-06-04T10:45:00.0000000Z,2021-06-04T11:00:00.0000000Z,2021-06-04T10:45:01.6180000Z,2021-06-04T10:59:59.7530000Z,0.4182,0.4249,0.3989,0.421,2993014.0,3723
2021-06-04T11:00:00.0000000Z,2021-06-04T11:15:00.0000000Z,2021-06-04T11:00:00.2080000Z,2021-06-04T11:14:56.8950000Z,0.419,0.425,0.4044,0.4153,1518875.0,2756
2021-06-04T11:15:00.0000000Z,2021-06-04T11:30:00.0000000Z,2021-06-04T11:15:00.0970000Z,2021-06-04T11:29:57.5920000Z,0.4153,0.4153,0.408,0.4133,676527.0,846
2021-06-04T11:30:00.0000000Z,2021-06-04T11:45:00.0000000Z,2021-06-04T11:30:01.8650000Z,2021-06-04T11:44:59.8490000Z,0.4134,0.4277,0.4073,0.4265,1275785.0,1319
