time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-25T10:00:00.0000000Z,2021-01-25T10:15:00.0000000Z,2021-01-25T10:00:00.0000000Z,2021-01-25T10:11:48.6060000Z,1.0,1.0002,0.9999,0.9999,286.78,7
2021-01-25T10:15:00.0000000Z,2021-01-25T10:30:00.0000000Z,2021-01-25T10:18:01.2350000Z,2021-01-25T10:18:01.2350000Z,1.0001,1.0002,1.0001,1.0002,89.42,2
2021-01-25T10:30:00.0000000Z,2021-01-25T10:45:00.0000000Z,2021-01-25T10:33:25.3310000Z,2021-01-25T10:33:25.3310000Z,0.9999,0.9999,0.9999,0.9999,7021.98,1
2021-01-25T11:15:00.0000000Z,2021-01-25T11:30:00.0000000Z,2021-01-25T11:26:29.0440000Z,2021-01-25T11:26:29.0440000Z,1.0001,1.0001,1.0001,1.0001,59.08,1
2021-01-25T11:30:00.0000000Z,2021-01-25T11:45:00.0000000Z,2021-01-25T11:31:34.0300000Z,2021-01-25T11:31:34.0300000Z,0.9999,0.9999,0.9999,0.9999,31.5,1
2021-01-25T12:15:00.0000000Z,2021-01-25T12:30:00.0000000Z,2021-01-25T12:21:04.3410000Z,2021-01-25T12:29:07.1680000Z,1.0001,1.0001,1.0001,1.0001,90.44,5
2021-01-25T12:30:00.0000000Z,2021-01-25T12:45:00.0000000Z,2021-01-25T12:30:23.8230000Z,2021-01-25T12:30:23.8230000Z,0.9999,0.9999,0.9999,0.9999,1982.42,1
2021-01-25T12:45:00.0000000Z,2021-01-25T13:00:00.0000000Z,2021-01-25T12:47:43.8330000Z,2021-01-25T12:47:43.8330000Z,0.9999,0.9999,0.9999,0.9999,20.0,1
2021-01-25T13:00:00.0000000Z,2021-01-25T13:15:00.0000000Z,2021-01-25T13:01:03.8040000Z,2021-01-25T13:13:22.4100000Z,1.0001,1.0001,0.9999,0.9999,698.36,5
2021-01-25T13:30:00.0000000Z,2021-01-25T13:45:00.0000000Z,2021-01-25T13:34:26.4890000Z,2021-01-25T13:38:24.5640000Z,1.0,1.0,0.9998,0.9998,2408.26,7
2021-01-25T13:45:00.0000000Z,2021-01-25T14:00:00.0000000Z,2021-01-25T13:45:19.4690000Z,2021-01-25T13:45:19.4950000Z,0.9998,0.9998,0.9998,0.9998,3895.47,3
2021-01-25T14:30:00.0000000Z,2021-01-25T14:45:00.0000000Z,2021-01-25T14:38:50.9930000Z,2021-01-25T14:38:50.9930000Z,1.0,1.0,1.0,1.0,11.0,1
2021-01-25T15:00:00.0000000Z,2021-01-25T15:15:00.0000000Z,2021-01-25T15:14:54.1960000Z,2021-01-25T15:14:54.1960000Z,0.9999,0.9999,0.9999,0.9999,20.04,1
2021-01-25T15:45:00.0000000Z,2021-01-25T16:00:00.0000000Z,2021-01-25T15:57:50.0880000Z,2021-01-25T15:58:19.6990000Z,0.9999,0.9999,0.9999,0.9999,21520.57,4
2021-01-25T16:00:00.0000000Z,2021-01-25T16:15:00.0000000Z,2021-01-25T16:01:16.6270000Z,2021-01-25T16:05:25.3190000Z,0.9999,0.9999,0.9999,0.9999,158.63,2
2021-01-25T16:15:00.0000000Z,2021-01-25T16:30:00.0000000Z,2021-01-25T16:21:45.2120000Z,2021-01-25T16:28:46.1270000Z,1.0001,1.0002,0.9999,1.0002,40782.72,55
2021-01-25T16:30:00.0000000Z,2021-01-25T16:45:00.0000000Z,2021-01-25T16:30:06.0590000Z,2021-01-25T16:37:44.5050000Z,1.0002,1.0002,0.9999,0.9999,731.1,7
2021-01-25T17:00:00.0000000Z,2021-01-25T17:15:00.0000000Z,2021-01-25T17:14:14.9270000Z,2021-01-25T17:14:14.9270000Z,0.9999,0.9999,0.9999,0.9999,78.36,1
2021-01-25T17:15:00.0000000Z,2021-01-25T17:30:00.0000000Z,2021-01-25T17:18:43.1460000Z,2021-01-25T17:20:04.1530000Z,0.9999,0.9999,0.9999,0.9999,40000.0,4
2021-01-25T17:30:00.0000000Z,2021-01-25T17:45:00.0000000Z,2021-01-25T17:31:42.5850000Z,2021-01-25T17:31:42.5850000Z,0.9999,0.9999,0.9999,0.9999,39.02,1
2021-01-25T17:45:00.0000000Z,2021-01-25T18:00:00.0000000Z,2021-01-25T17:51:30.2190000Z,2021-01-25T17:53:39.8810000Z,0.9999,0.9999,0.9999,0.9999,458.72,2
2021-01-25T18:00:00.0000000Z,2021-01-25T18:15:00.0000000Z,2021-01-25T18:00:43.5110000Z,2021-01-25T18:00:43.5110000Z,0.9999,0.9999,0.9999,0.9999,2249.93,1
2021-01-25T18:15:00.0000000Z,2021-01-25T18:30:00.0000000Z,2021-01-25T18:16:01.0870000Z,2021-01-25T18:25:05.7260000Z,0.9999,1.0001,0.9999,1.0001,11169.7,3
2021-01-25T18:30:00.0000000Z,2021-01-25T18:45:00.0000000Z,2021-01-25T18:42:23.6240000Z,2021-01-25T18:42:23.6240000Z,1.0001,1.0001,1.0001,1.0001,35.0,1
2021-01-25T18:45:00.0000000Z,2021-01-25T19:00:00.0000000Z,2021-01-25T18:48:48.8650000Z,2021-01-25T18:57:17.1440000Z,1.0,1.0,1.0,1.0,75.31,3
2021-01-25T19:00:00.0000000Z,2021-01-25T19:15:00.0000000Z,2021-01-25T19:12:00.9350000Z,2021-01-25T19:14:36.0290000Z,1.0,1.0,1.0,1.0,1484.37,5
2021-01-25T19:15:00.0000000Z,2021-01-25T19:30:00.0000000Z,2021-01-25T19:18:59.8230000Z,2021-01-25T19:23:54.8860000Z,1.0,1.0,1.0,1.0,264.52,4
2021-01-25T19:45:00.0000000Z,2021-01-25T20:00:00.0000000Z,2021-01-25T19:46:28.8530000Z,2021-01-25T19:59:14.9990000Z,1.0,1.0,1.0,1.0,63.52,2
2021-01-25T20:00:00.0000000Z,2021-01-25T20:15:00.0000000Z,2021-01-25T20:05:23.4240000Z,2021-01-25T20:11:21.1000000Z,1.0,1.0002,1.0,1.0,1420.25,3
2021-01-25T20:45:00.0000000Z,2021-01-25T21:00:00.0000000Z,2021-01-25T20:52:49.4080000Z,2021-01-25T20:55:34.0190000Z,1.0,1.0,1.0,1.0,100.46,2
