time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-16T12:00:00.0000000Z,2021-11-16T12:15:00.0000000Z,2021-11-16T12:03:12.2440000Z,2021-11-16T12:14:59.9990000Z,10.869,12.5861,9.5,12.5725,3509537.63,82791
2021-11-16T12:15:00.0000000Z,2021-11-16T12:30:00.0000000Z,2021-11-16T12:15:00.0000000Z,2021-11-16T12:29:59.9970000Z,12.5861,15.0,11.722,12.3209,5314629.9,126475
2021-11-16T12:30:00.0000000Z,2021-11-16T12:45:00.0000000Z,2021-11-16T12:30:00.0050000Z,2021-11-16T12:44:59.9980000Z,12.2871,12.5863,11.5001,12.0,1968219.8,59805
2021-11-16T12:45:00.0000000Z,2021-11-16T13:00:00.0000000Z,2021-11-16T12:45:00.0220000Z,2021-11-16T12:59:59.8350000Z,12.0311,12.3,10.9102,11.3465,1299397.79,43979
2021-11-16T13:00:00.0000000Z,2021-11-16T13:15:00.0000000Z,2021-11-16T13:00:00.0750000Z,2021-11-16T13:14:59.9780000Z,11.3681,11.6,10.5646,11.1852,1109411.3,35287
2021-11-16T13:15:00.0000000Z,2021-11-16T13:30:00.0000000Z,2021-11-16T13:15:00.0620000Z,2021-11-16T13:29:59.8610000Z,11.1732,11.5442,10.9,11.1163,760823.63,26121
2021-11-16T13:30:00.0000000Z,2021-11-16T13:45:00.0000000Z,2021-11-16T13:30:00.0160000Z,2021-11-16T13:44:59.7530000Z,11.1099,11.2981,10.9,11.166,485364.33,16404
2021-11-16T13:45:00.0000000Z,2021-11-16T14:00:00.0000000Z,2021-11-16T13:45:00.8210000Z,2021-11-16T13:59:59.8030000Z,11.165,11.87,11.1578,11.3792,768877.39,25433
2021-11-16T14:00:00.0000000Z,2021-11-16T14:15:00.0000000Z,2021-11-16T14:00:00.2680000Z,2021-11-16T14:14:59.7530000Z,11.3683,11.7144,11.0708,11.2625,446959.93,15471
2021-11-16T14:15:00.0000000Z,2021-11-16T14:30:00.0000000Z,2021-11-16T14:15:00.0840000Z,2021-11-16T14:29:58.8020000Z,11.2693,11.2796,10.94,11.028,275609.31,9654
2021-11-16T14:30:00.0000000Z,2021-11-16T14:45:00.0000000Z,2021-11-16T14:30:00.0070000Z,2021-11-16T14:44:59.8120000Z,11.028,11.19,10.5951,10.6423,382382.1,11700
2021-11-16T14:45:00.0000000Z,2021-11-16T15:00:00.0000000Z,2021-11-16T14:45:00.2220000Z,2021-11-16T14:59:59.7070000Z,10.6308,10.6676,9.901,10.3498,765459.38,18894
2021-11-16T15:00:00.0000000Z,2021-11-16T15:15:00.0000000Z,2021-11-16T15:00:00.2310000Z,2021-11-16T15:14:59.8940000Z,10.3498,10.454,9.8,9.9711,416771.22,12888
2021-11-16T15:15:00.0000000Z,2021-11-16T15:30:00.0000000Z,2021-11-16T15:15:01.2430000Z,2021-11-16T15:29:59.9840000Z,9.9641,10.3039,9.8,10.1186,452552.69,12751
2021-11-16T15:30:00.0000000Z,2021-11-16T15:45:00.0000000Z,2021-11-16T15:30:00.0310000Z,2021-11-16T15:44:59.8560000Z,10.1186,10.2384,9.811,10.1996,218051.2,7300
2021-11-16T15:45:00.0000000Z,2021-11-16T16:00:00.0000000Z,2021-11-16T15:45:00.6970000Z,2021-11-16T15:59:59.8970000Z,10.1996,10.7398,10.0202,10.4367,420249.76,11720
2021-11-16T16:00:00.0000000Z,2021-11-16T16:15:00.0000000Z,2021-11-16T16:00:00.0270000Z,2021-11-16T16:14:59.7050000Z,10.447,10.85,10.21,10.4976,486459.31,14705
2021-11-16T16:15:00.0000000Z,2021-11-16T16:30:00.0000000Z,2021-11-16T16:15:00.3940000Z,2021-11-16T16:29:59.9680000Z,10.5001,10.6175,10.0001,10.1521,250812.36,7732
2021-11-16T16:30:00.0000000Z,2021-11-16T16:45:00.0000000Z,2021-11-16T16:30:00.6160000Z,2021-11-16T16:44:58.5140000Z,10.163,10.3973,10.0765,10.1402,166046.29,5207
2021-11-16T16:45:00.0000000Z,2021-11-16T17:00:00.0000000Z,2021-11-16T16:45:00.5040000Z,2021-11-16T16:59:59.3280000Z,10.1491,10.2899,10.08,10.0904,114331.95,4002
2021-11-16T17:00:00.0000000Z,2021-11-16T17:15:00.0000000Z,2021-11-16T17:00:00.9400000Z,2021-11-16T17:14:59.7870000Z,10.0969,10.2839,10.09,10.2461,143804.98,4186
2021-11-16T17:15:00.0000000Z,2021-11-16T17:30:00.0000000Z,2021-11-16T17:15:01.2520000Z,2021-11-16T17:29:59.6750000Z,10.246,10.3212,9.6596,9.7885,219244.97,6819
2021-11-16T17:30:00.0000000Z,2021-11-16T17:45:00.0000000Z,2021-11-16T17:30:00.2840000Z,2021-11-16T17:44:59.9060000Z,9.8136,9.965,9.6527,9.759,161259.85,5329
2021-11-16T17:45:00.0000000Z,2021-11-16T18:00:00.0000000Z,2021-11-16T17:45:00.0440000Z,2021-11-16T17:59:59.8410000Z,9.759,9.8329,9.2545,9.3616,341220.81,7922
2021-11-16T18:00:00.0000000Z,2021-11-16T18:15:00.0000000Z,2021-11-16T18:00:00.2340000Z,2021-11-16T18:14:58.8740000Z,9.3606,9.5499,9.1111,9.2737,347149.95,8678
2021-11-16T18:15:00.0000000Z,2021-11-16T18:30:00.0000000Z,2021-11-16T18:15:00.0260000Z,2021-11-16T18:29:58.8550000Z,9.2662,9.2743,8.7513,8.8462,497772.42,10193
2021-11-16T18:30:00.0000000Z,2021-11-16T18:45:00.0000000Z,2021-11-16T18:30:00.3670000Z,2021-11-16T18:44:58.3410000Z,8.8417,9.1398,8.8332,8.9144,226901.77,5760
