time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-17T06:00:00.0000000Z,2021-11-17T06:15:00.0000000Z,2021-11-17T06:00:11.3500000Z,2021-11-17T06:14:59.0470000Z,0.7445,0.79,0.6797,0.7013,1087412.0,3202
2021-11-17T06:15:00.0000000Z,2021-11-17T06:30:00.0000000Z,2021-11-17T06:15:00.7760000Z,2021-11-17T06:29:57.0950000Z,0.701,0.7191,0.6817,0.6839,427540.0,1279
2021-11-17T06:30:00.0000000Z,2021-11-17T06:45:00.0000000Z,2021-11-17T06:30:01.6990000Z,2021-11-17T06:44:51.7810000Z,0.6836,0.7,0.6734,0.685,317662.0,1042
2021-11-17T06:45:00.0000000Z,2021-11-17T07:00:00.0000000Z,2021-11-17T06:45:03.5860000Z,2021-11-17T06:59:59.2630000Z,0.685,0.7129,0.6716,0.698,376453.0,1149
2021-11-17T07:00:00.0000000Z,2021-11-17T07:15:00.0000000Z,2021-11-17T07:00:00.9560000Z,2021-11-17T07:14:59.8870000Z,0.6983,0.8466,0.6961,0.7819,2659632.0,6431
2021-11-17T07:15:00.0000000Z,2021-11-17T07:30:00.0000000Z,2021-11-17T07:15:00.0730000Z,2021-11-17T07:29:56.9480000Z,0.7827,0.792,0.7101,0.7157,1906606.0,3540
2021-11-17T07:30:00.0000000Z,2021-11-17T07:45:00.0000000Z,2021-11-17T07:30:00.0380000Z,2021-11-17T07:44:58.2040000Z,0.7155,0.7294,0.7011,0.7085,846777.0,1545
2021-11-17T07:45:00.0000000Z,2021-11-17T08:00:00.0000000Z,2021-11-17T07:45:04.8660000Z,2021-11-17T07:59:49.6360000Z,0.7073,0.7228,0.7072,0.712,396507.0,812
2021-11-17T08:00:00.0000000Z,2021-11-17T08:15:00.0000000Z,2021-11-17T08:00:03.8140000Z,2021-11-17T08:14:56.0580000Z,0.712,0.7258,0.7065,0.7145,424119.0,1016
2021-11-17T08:15:00.0000000Z,2021-11-17T08:30:00.0000000Z,2021-11-17T08:15:05.3730000Z,2021-11-17T08:29:58.7590000Z,0.7143,0.7143,0.6999,0.7071,273435.0,698
2021-11-17T08:30:00.0000000Z,2021-11-17T08:45:00.0000000Z,2021-11-17T08:30:06.4870000Z,2021-11-17T08:44:40.9180000Z,0.7073,0.712,0.7012,0.7048,153519.0,419
2021-11-17T08:45:00.0000000Z,2021-11-17T09:00:00.0000000Z,2021-11-17T08:45:04.7180000Z,2021-11-17T08:59:58.5000000Z,0.7048,0.7139,0.687,0.69,477072.0,609
2021-11-17T09:00:00.0000000Z,2021-11-17T09:15:00.0000000Z,2021-11-17T09:00:03.9290000Z,2021-11-17T09:14:57.8600000Z,0.6893,0.6967,0.6801,0.6927,313494.0,678
2021-11-17T09:15:00.0000000Z,2021-11-17T09:30:00.0000000Z,2021-11-17T09:15:02.3180000Z,2021-11-17T09:29:52.9820000Z,0.6926,0.7,0.6812,0.6891,279870.0,609
2021-11-17T09:30:00.0000000Z,2021-11-17T09:45:00.0000000Z,2021-11-17T09:30:07.3270000Z,2021-11-17T09:44:52.5080000Z,0.6881,0.6881,0.675,0.6766,156952.0,485
2021-11-17T09:45:00.0000000Z,2021-11-17T10:00:00.0000000Z,2021-11-17T09:45:01.2130000Z,2021-11-17T09:59:41.3880000Z,0.6771,0.6791,0.6692,0.6721,163121.0,394
2021-11-17T10:00:00.0000000Z,2021-11-17T10:15:00.0000000Z,2021-11-17T10:00:00.6510000Z,2021-11-17T10:14:46.8820000Z,0.6713,0.6723,0.6569,0.6599,443819.0,483
2021-11-17T10:15:00.0000000Z,2021-11-17T10:30:00.0000000Z,2021-11-17T10:15:00.0580000Z,2021-11-17T10:29:47.2490000Z,0.6599,0.6616,0.6495,0.6556,125900.0,362
2021-11-17T10:30:00.0000000Z,2021-11-17T10:45:00.0000000Z,2021-11-17T10:30:02.6690000Z,2021-11-17T10:44:56.9360000Z,0.6568,0.6652,0.6389,0.6638,160386.0,467
2021-11-17T10:45:00.0000000Z,2021-11-17T11:00:00.0000000Z,2021-11-17T10:45:00.1910000Z,2021-11-17T10:59:35.9110000Z,0.6631,0.6766,0.6554,0.6669,111720.0,393
2021-11-17T11:00:00.0000000Z,2021-11-17T11:15:00.0000000Z,2021-11-17T11:00:02.9490000Z,2021-11-17T11:14:59.8370000Z,0.6655,0.6844,0.6605,0.6605,177994.0,512
2021-11-17T11:15:00.0000000Z,2021-11-17T11:30:00.0000000Z,2021-11-17T11:15:02.6400000Z,2021-11-17T11:29:58.1820000Z,0.6604,0.6664,0.6522,0.6602,168119.0,370
2021-11-17T11:30:00.0000000Z,2021-11-17T11:45:00.0000000Z,2021-11-17T11:30:21.5040000Z,2021-11-17T11:44:59.6320000Z,0.6608,0.6732,0.6563,0.6701,87575.0,268
2021-11-17T11:45:00.0000000Z,2021-11-17T12:00:00.0000000Z,2021-11-17T11:45:00.0100000Z,2021-11-17T11:59:44.1350000Z,0.6689,0.6749,0.6632,0.6715,136802.0,436
2021-11-17T12:00:00.0000000Z,2021-11-17T12:15:00.0000000Z,2021-11-17T12:00:13.9600000Z,2021-11-17T12:14:54.7640000Z,0.6704,0.6921,0.6664,0.6829,296982.0,639
2021-11-17T12:15:00.0000000Z,2021-11-17T12:30:00.0000000Z,2021-11-17T12:15:00.8160000Z,2021-11-17T12:29:56.3740000Z,0.6835,0.689,0.6697,0.6745,234501.0,486
2021-11-17T12:30:00.0000000Z,2021-11-17T12:45:00.0000000Z,2021-11-17T12:30:01.0810000Z,2021-11-17T12:44:58.2470000Z,0.6738,0.6823,0.6704,0.6738,155649.0,375
2021-11-17T12:45:00.0000000Z,2021-11-17T13:00:00.0000000Z,2021-11-17T12:45:02.4090000Z,2021-11-17T12:59:58.5440000Z,0.6737,0.683,0.6686,0.6771,147162.0,361
2021-11-17T13:00:00.0000000Z,2021-11-17T13:15:00.0000000Z,2021-11-17T13:00:05.2380000Z,2021-11-17T13:14:59.8710000Z,0.6783,0.6808,0.6682,0.67,163792.0,404
2021-11-17T13:15:00.0000000Z,2021-11-17T13:30:00.0000000Z,2021-11-17T13:15:00.0320000Z,2021-11-17T13:29:54.9180000Z,0.67,0.6738,0.6532,0.6598,231356.0,442
2021-11-17T13:30:00.0000000Z,2021-11-17T13:45:00.0000000Z,2021-11-17T13:30:05.1490000Z,2021-11-17T13:44:59.1750000Z,0.6608,0.6663,0.6523,0.6536,163703.0,343
2021-11-17T13:45:00.0000000Z,2021-11-17T14:00:00.0000000Z,2021-11-17T13:45:01.8640000Z,2021-11-17T13:59:58.0440000Z,0.6537,0.6663,0.6537,0.6592,230467.0,527
2021-11-17T14:00:00.0000000Z,2021-11-17T14:15:00.0000000Z,2021-11-17T14:00:05.6440000Z,2021-11-17T14:14:50.8440000Z,0.6591,0.6606,0.6498,0.6551,219574.0,419
2021-11-17T14:15:00.0000000Z,2021-11-17T14:30:00.0000000Z,2021-11-17T14:15:02.7950000Z,2021-11-17T14:29:58.4140000Z,0.6551,0.6666,0.6531,0.6664,223357.0,502
2021-11-17T14:30:00.0000000Z,2021-11-17T14:45:00.0000000Z,2021-11-17T14:30:00.1410000Z,2021-11-17T14:44:59.8150000Z,0.6664,0.724,0.6636,0.669,1341717.0,3256
2021-11-17T14:45:00.0000000Z,2021-11-17T15:00:00.0000000Z,2021-11-17T14:45:00.3600000Z,2021-11-17T14:59:55.3460000Z,0.669,0.6792,0.6569,0.6768,490849.0,1136
2021-11-17T15:00:00.0000000Z,2021-11-17T15:15:00.0000000Z,2021-11-17T15:00:00.4610000Z,2021-11-17T15:14:59.1980000Z,0.677,0.7197,0.661,0.6639,632133.0,1580
2021-11-17T15:15:00.0000000Z,2021-11-17T15:30:00.0000000Z,2021-11-17T15:15:01.1390000Z,2021-11-17T15:29:58.7300000Z,0.6639,0.6872,0.66,0.6675,677410.0,1563
2021-11-17T15:30:00.0000000Z,2021-11-17T15:45:00.0000000Z,2021-11-17T15:30:00.1960000Z,2021-11-17T15:44:59.9850000Z,0.6674,0.6738,0.6545,0.6712,512699.0,1386
2021-11-17T15:45:00.0000000Z,2021-11-17T16:00:00.0000000Z,2021-11-17T15:45:00.0630000Z,2021-11-17T15:59:58.7240000Z,0.6707,0.7,0.6689,0.6772,739756.0,1532
2021-11-17T16:00:00.0000000Z,2021-11-17T16:15:00.0000000Z,2021-11-17T16:00:05.4280000Z,2021-11-17T16:14:56.3720000Z,0.6773,0.692,0.672,0.6833,465256.0,1301
2021-11-17T16:15:00.0000000Z,2021-11-17T16:30:00.0000000Z,2021-11-17T16:15:03.0010000Z,2021-11-17T16:29:54.6610000Z,0.682,0.6829,0.6696,0.6777,257579.0,740
2021-11-17T16:30:00.0000000Z,2021-11-17T16:45:00.0000000Z,2021-11-17T16:30:00.0290000Z,2021-11-17T16:44:58.4960000Z,0.6777,0.6933,0.6748,0.6859,497636.0,1117
2021-11-17T16:45:00.0000000Z,2021-11-17T17:00:00.0000000Z,2021-11-17T16:45:00.0680000Z,2021-11-17T16:59:56.1730000Z,0.6849,0.745,0.6815,0.7198,2111914.0,4372
2021-11-17T17:00:00.0000000Z,2021-11-17T17:15:00.0000000Z,2021-11-17T17:00:00.4150000Z,2021-11-17T17:14:59.9980000Z,0.7198,0.7361,0.6922,0.7011,763809.0,1714
2021-11-17T17:15:00.0000000Z,2021-11-17T17:30:00.0000000Z,2021-11-17T17:15:03.2690000Z,2021-11-17T17:29:59.0560000Z,0.7012,0.7248,0.6956,0.6958,403848.0,1168
2021-11-17T17:30:00.0000000Z,2021-11-17T17:45:00.0000000Z,2021-11-17T17:30:01.2990000Z,2021-11-17T17:44:58.5180000Z,0.696,0.7086,0.693,0.6948,305146.0,737
2021-11-17T17:45:00.0000000Z,2021-11-17T18:00:00.0000000Z,2021-11-17T17:45:02.8180000Z,2021-11-17T17:59:59.5460000Z,0.6948,0.7059,0.6884,0.6909,283494.0,647
2021-11-17T18:00:00.0000000Z,2021-11-17T18:15:00.0000000Z,2021-11-17T18:00:03.6830000Z,2021-11-17T18:14:51.5410000Z,0.6909,0.692,0.6789,0.6833,348190.0,593
2021-11-17T18:15:00.0000000Z,2021-11-17T18:30:00.0000000Z,2021-11-17T18:15:03.8280000Z,2021-11-17T18:29:59.2700000Z,0.6837,0.695,0.6837,0.6861,284104.0,544
2021-11-17T18:30:00.0000000Z,2021-11-17T18:45:00.0000000Z,2021-11-17T18:30:03.0410000Z,2021-11-17T18:44:56.5560000Z,0.6856,0.686,0.665,0.6761,484571.0,889
2021-11-17T18:45:00.0000000Z,2021-11-17T19:00:00.0000000Z,2021-11-17T18:45:05.0900000Z,2021-11-17T18:59:58.8400000Z,0.6762,0.6779,0.6712,0.6728,336491.0,480
2021-11-17T19:00:00.0000000Z,2021-11-17T19:15:00.0000000Z,2021-11-17T19:00:11.3490000Z,2021-11-17T19:14:58.8260000Z,0.6728,0.6741,0.6666,0.6701,159358.0,375
2021-11-17T19:15:00.0000000Z,2021-11-17T19:30:00.0000000Z,2021-11-17T19:15:04.9710000Z,2021-11-17T19:29:54.9790000Z,0.6704,0.6976,0.6686,0.6846,487229.0,1118
2021-11-17T19:30:00.0000000Z,2021-11-17T19:45:00.0000000Z,2021-11-17T19:30:01.2510000Z,2021-11-17T19:44:58.4180000Z,0.6837,0.701,0.6755,0.6971,533515.0,1147
2021-11-17T19:45:00.0000000Z,2021-11-17T20:00:00.0000000Z,2021-11-17T19:45:00.8830000Z,2021-11-17T19:59:59.1580000Z,0.6971,0.72,0.6933,0.7091,1072916.0,1903
2021-11-17T20:00:00.0000000Z,2021-11-17T20:15:00.0000000Z,2021-11-17T20:00:00.8920000Z,2021-11-17T20:14:59.8660000Z,0.7091,0.7999,0.7083,0.73,3900324.0,7759
2021-11-17T20:15:00.0000000Z,2021-11-17T20:30:00.0000000Z,2021-11-17T20:15:00.3670000Z,2021-11-17T20:29:59.6800000Z,0.73,0.8497,0.7239,0.7908,5108440.0,10656
2021-11-17T20:30:00.0000000Z,2021-11-17T20:45:00.0000000Z,2021-11-17T20:30:00.3960000Z,2021-11-17T20:44:59.6820000Z,0.792,0.842,0.7252,0.7321,3355887.0,6252
2021-11-17T20:45:00.0000000Z,2021-11-17T21:00:00.0000000Z,2021-11-17T20:45:00.9200000Z,2021-11-17T20:59:59.2990000Z,0.7309,0.747,0.7078,0.7189,1972455.0,3498
2021-11-17T21:00:00.0000000Z,2021-11-17T21:15:00.0000000Z,2021-11-17T21:00:00.5780000Z,2021-11-17T21:14:59.8780000Z,0.719,0.7624,0.719,0.727,1967377.0,4187
2021-11-17T21:15:00.0000000Z,2021-11-17T21:30:00.0000000Z,2021-11-17T21:15:00.1570000Z,2021-11-17T21:29:59.6630000Z,0.7268,0.7349,0.7124,0.72,1142943.0,2136
2021-11-17T21:30:00.0000000Z,2021-11-17T21:45:00.0000000Z,2021-11-17T21:30:00.0120000Z,2021-11-17T21:44:59.9870000Z,0.7194,0.7226,0.6983,0.7217,692979.0,1627
2021-11-17T21:45:00.0000000Z,2021-11-17T22:00:00.0000000Z,2021-11-17T21:45:02.8980000Z,2021-11-17T21:59:59.5590000Z,0.7213,0.7439,0.715,0.72,727102.0,1801
2021-11-17T22:00:00.0000000Z,2021-11-17T22:15:00.0000000Z,2021-11-17T22:00:01.4220000Z,2021-11-17T22:14:58.3730000Z,0.7193,0.7298,0.7109,0.727,507312.0,1144
2021-11-17T22:15:00.0000000Z,2021-11-17T22:30:00.0000000Z,2021-11-17T22:15:01.3320000Z,2021-11-17T22:29:59.7110000Z,0.7267,0.7491,0.7155,0.7365,764226.0,2104
2021-11-17T22:30:00.0000000Z,2021-11-17T22:45:00.0000000Z,2021-11-17T22:30:00.2460000Z,2021-11-17T22:44:59.8450000Z,0.7366,0.74,0.7245,0.7269,343198.0,1102
2021-11-17T22:45:00.0000000Z,2021-11-17T23:00:00.0000000Z,2021-11-17T22:45:02.0130000Z,2021-11-17T22:59:59.4250000Z,0.7273,0.7322,0.7192,0.7207,267103.0,737
2021-11-17T23:00:00.0000000Z,2021-11-17T23:15:00.0000000Z,2021-11-17T23:00:00.1010000Z,2021-11-17T23:14:59.4580000Z,0.7214,0.725,0.7059,0.7076,301074.0,790
2021-11-17T23:15:00.0000000Z,2021-11-17T23:30:00.0000000Z,2021-11-17T23:15:02.4400000Z,2021-11-17T23:29:55.1360000Z,0.7075,0.7095,0.6946,0.7051,331496.0,864
2021-11-17T23:30:00.0000000Z,2021-11-17T23:45:00.0000000Z,2021-11-17T23:30:03.8640000Z,2021-11-17T23:44:54.5930000Z,0.7053,0.7178,0.6944,0.698,205630.0,671
2021-11-17T23:45:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T23:45:00.6080000Z,2021-11-17T23:59:59.1630000Z,0.6979,0.7228,0.6973,0.7137,294901.0,816
