time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-26T08:00:00.0000000Z,2021-11-26T08:15:00.0000000Z,2021-11-26T08:13:13.2320000Z,2021-11-26T08:14:59.8670000Z,36.69,36.8,35.65,36.06,7246.892,669
2021-11-26T08:15:00.0000000Z,2021-11-26T08:30:00.0000000Z,2021-11-26T08:15:00.1120000Z,2021-11-26T08:29:59.7700000Z,36.17,36.98,30.51,33.66,101212.964,5483
2021-11-26T08:30:00.0000000Z,2021-11-26T08:45:00.0000000Z,2021-11-26T08:30:00.0130000Z,2021-11-26T08:44:58.2040000Z,33.66,33.8,31.01,31.4,46985.777,2278
2021-11-26T08:45:00.0000000Z,2021-11-26T09:00:00.0000000Z,2021-11-26T08:45:00.7210000Z,2021-11-26T08:59:58.7850000Z,31.34,35.0,30.31,32.6,68852.642,4402
2021-11-26T09:00:00.0000000Z,2021-11-26T09:15:00.0000000Z,2021-11-26T09:00:01.9550000Z,2021-11-26T09:14:52.0860000Z,32.59,33.98,31.56,32.24,28665.134,2100
2021-11-26T09:15:00.0000000Z,2021-11-26T09:30:00.0000000Z,2021-11-26T09:15:02.5560000Z,2021-11-26T09:29:59.5810000Z,32.28,33.0,31.52,31.96,21009.385,1520
2021-11-26T09:30:00.0000000Z,2021-11-26T09:45:00.0000000Z,2021-11-26T09:30:00.7310000Z,2021-11-26T09:44:58.4500000Z,31.86,31.92,30.5,31.45,12475.855,1327
2021-11-26T09:45:00.0000000Z,2021-11-26T10:00:00.0000000Z,2021-11-26T09:45:00.6200000Z,2021-11-26T09:59:56.5090000Z,31.45,32.5,30.5,30.69,13831.064,1314
2021-11-26T10:00:00.0000000Z,2021-11-26T10:15:00.0000000Z,2021-11-26T10:00:00.8970000Z,2021-11-26T10:14:55.1570000Z,30.69,31.0,28.59,29.11,19382.646,2256
2021-11-26T10:15:00.0000000Z,2021-11-26T10:30:00.0000000Z,2021-11-26T10:15:00.0330000Z,2021-11-26T10:29:59.3050000Z,29.12,30.78,28.81,29.34,17569.984,1184
2021-11-26T10:30:00.0000000Z,2021-11-26T10:45:00.0000000Z,2021-11-26T10:30:00.1260000Z,2021-11-26T10:44:58.5670000Z,29.34,31.22,28.9,30.97,19957.011,1428
2021-11-26T10:45:00.0000000Z,2021-11-26T11:00:00.0000000Z,2021-11-26T10:45:01.4800000Z,2021-11-26T10:59:58.9960000Z,30.87,35.01,30.86,33.86,49691.62,3527
2021-11-26T11:00:00.0000000Z,2021-11-26T11:15:00.0000000Z,2021-11-26T11:00:00.9100000Z,2021-11-26T11:14:58.8630000Z,33.77,35.3,33.02,33.54,35156.265,2506
2021-11-26T11:15:00.0000000Z,2021-11-26T11:30:00.0000000Z,2021-11-26T11:15:00.5330000Z,2021-11-26T11:29:58.9940000Z,33.53,34.92,31.13,32.5,25697.381,2769
2021-11-26T11:30:00.0000000Z,2021-11-26T11:45:00.0000000Z,2021-11-26T11:30:00.4370000Z,2021-11-26T11:44:39.7010000Z,32.6,33.9,31.76,33.28,17259.709,1871
2021-11-26T11:45:00.0000000Z,2021-11-26T12:00:00.0000000Z,2021-11-26T11:45:13.4520000Z,2021-11-26T11:59:57.7270000Z,33.26,33.8,31.69,31.8,13735.119,1104
2021-11-26T12:00:00.0000000Z,2021-11-26T12:15:00.0000000Z,2021-11-26T12:00:04.5860000Z,2021-11-26T12:14:59.6520000Z,31.82,33.74,31.8,32.27,15752.688,1358
