time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-22T09:00:00.0000000Z,2021-03-22T09:15:00.0000000Z,2021-03-22T09:00:00.0000000Z,2021-03-22T09:14:59.6650000Z,0.67,1.2,0.67,0.795,3004143.09,7896
2021-03-22T09:15:00.0000000Z,2021-03-22T09:30:00.0000000Z,2021-03-22T09:15:01.3790000Z,2021-03-22T09:29:56.7560000Z,0.7988,0.7989,0.7167,0.7262,660928.99,1315
2021-03-22T09:30:00.0000000Z,2021-03-22T09:45:00.0000000Z,2021-03-22T09:30:05.2060000Z,2021-03-22T09:44:54.7780000Z,0.7254,0.7392,0.6948,0.7022,538784.01,756
2021-03-22T09:45:00.0000000Z,2021-03-22T10:00:00.0000000Z,2021-03-22T09:45:02.8020000Z,2021-03-22T09:59:59.6530000Z,0.7089,0.7233,0.689,0.7196,415242.28,515
2021-03-22T10:00:00.0000000Z,2021-03-22T10:15:00.0000000Z,2021-03-22T10:00:00.2320000Z,2021-03-22T10:14:58.3150000Z,0.7169,0.722,0.7054,0.7189,227768.23,333
2021-03-22T10:15:00.0000000Z,2021-03-22T10:30:00.0000000Z,2021-03-22T10:15:01.8750000Z,2021-03-22T10:29:54.4510000Z,0.7189,0.729,0.69,0.7015,142726.98,279
2021-03-22T10:30:00.0000000Z,2021-03-22T10:45:00.0000000Z,2021-03-22T10:30:07.7830000Z,2021-03-22T10:44:56.1260000Z,0.7043,0.7044,0.681,0.6873,165211.93,322
2021-03-22T10:45:00.0000000Z,2021-03-22T11:00:00.0000000Z,2021-03-22T10:45:07.7660000Z,2021-03-22T10:59:00.6820000Z,0.6873,0.6873,0.6625,0.672,221634.11,373
2021-03-22T11:00:00.0000000Z,2021-03-22T11:15:00.0000000Z,2021-03-22T11:01:31.6630000Z,2021-03-22T11:14:59.8420000Z,0.6691,0.675,0.65,0.6533,125476.58,307
2021-03-22T11:15:00.0000000Z,2021-03-22T11:30:00.0000000Z,2021-03-22T11:15:00.4230000Z,2021-03-22T11:29:36.7460000Z,0.6533,0.6783,0.6528,0.6627,100948.31,275
2021-03-22T11:30:00.0000000Z,2021-03-22T11:45:00.0000000Z,2021-03-22T11:30:01.5630000Z,2021-03-22T11:44:25.9130000Z,0.6674,0.6785,0.6589,0.668,63114.46,199
2021-03-22T11:45:00.0000000Z,2021-03-22T12:00:00.0000000Z,2021-03-22T11:45:16.3730000Z,2021-03-22T11:59:48.9140000Z,0.6718,0.6722,0.65,0.6529,87294.41,217
2021-03-22T12:00:00.0000000Z,2021-03-22T12:15:00.0000000Z,2021-03-22T12:00:06.8020000Z,2021-03-22T12:14:56.6430000Z,0.6546,0.6609,0.632,0.632,119294.48,218
2021-03-22T12:15:00.0000000Z,2021-03-22T12:30:00.0000000Z,2021-03-22T12:15:01.0460000Z,2021-03-22T12:29:59.8890000Z,0.6342,0.6407,0.58,0.5847,509761.11,705
2021-03-22T12:30:00.0000000Z,2021-03-22T12:45:00.0000000Z,2021-03-22T12:30:01.4020000Z,2021-03-22T12:44:38.7360000Z,0.5844,0.606,0.5754,0.604,230620.34,448
2021-03-22T12:45:00.0000000Z,2021-03-22T13:00:00.0000000Z,2021-03-22T12:45:04.1090000Z,2021-03-22T12:59:56.3460000Z,0.5962,0.6258,0.5962,0.605,335724.6,578
2021-03-22T13:00:00.0000000Z,2021-03-22T13:15:00.0000000Z,2021-03-22T13:00:02.8220000Z,2021-03-22T13:14:58.5860000Z,0.6028,0.636,0.5982,0.6353,208850.95,409
2021-03-22T13:15:00.0000000Z,2021-03-22T13:30:00.0000000Z,2021-03-22T13:15:01.9040000Z,2021-03-22T13:29:45.1480000Z,0.6363,0.6621,0.6231,0.6547,268052.45,513
2021-03-22T13:30:00.0000000Z,2021-03-22T13:45:00.0000000Z,2021-03-22T13:30:06.0430000Z,2021-03-22T13:44:59.1390000Z,0.6583,0.6676,0.6255,0.6328,104407.34,414
2021-03-22T13:45:00.0000000Z,2021-03-22T14:00:00.0000000Z,2021-03-22T13:45:03.8670000Z,2021-03-22T13:59:57.2980000Z,0.6342,0.6599,0.6323,0.6394,62781.96,191
2021-03-22T14:00:00.0000000Z,2021-03-22T14:15:00.0000000Z,2021-03-22T14:00:32.5590000Z,2021-03-22T14:14:56.2060000Z,0.643,0.6612,0.636,0.65,41021.52,193
2021-03-22T14:15:00.0000000Z,2021-03-22T14:30:00.0000000Z,2021-03-22T14:15:44.3550000Z,2021-03-22T14:29:46.7310000Z,0.6501,0.6552,0.627,0.6412,49033.71,223
2021-03-22T14:30:00.0000000Z,2021-03-22T14:45:00.0000000Z,2021-03-22T14:30:13.5080000Z,2021-03-22T14:43:23.1370000Z,0.6412,0.6505,0.6216,0.6263,32079.12,190
2021-03-22T14:45:00.0000000Z,2021-03-22T15:00:00.0000000Z,2021-03-22T14:45:08.9160000Z,2021-03-22T14:59:44.7650000Z,0.6258,0.645,0.6119,0.619,105957.09,416
2021-03-22T15:00:00.0000000Z,2021-03-22T15:15:00.0000000Z,2021-03-22T15:00:27.8320000Z,2021-03-22T15:14:55.3410000Z,0.619,0.6278,0.6149,0.6204,33810.88,197
2021-03-22T15:15:00.0000000Z,2021-03-22T15:30:00.0000000Z,2021-03-22T15:15:10.0450000Z,2021-03-22T15:29:49.3490000Z,0.6205,0.625,0.6112,0.6203,22580.01,245
2021-03-22T15:30:00.0000000Z,2021-03-22T15:45:00.0000000Z,2021-03-22T15:31:12.5540000Z,2021-03-22T15:44:33.8880000Z,0.62,0.62,0.608,0.6163,93648.52,226
2021-03-22T15:45:00.0000000Z,2021-03-22T16:00:00.0000000Z,2021-03-22T15:45:18.4050000Z,2021-03-22T15:59:24.7830000Z,0.6135,0.6178,0.6086,0.6133,25343.8,147
2021-03-22T16:00:00.0000000Z,2021-03-22T16:15:00.0000000Z,2021-03-22T16:00:06.4480000Z,2021-03-22T16:14:50.9570000Z,0.6123,0.6334,0.6055,0.6201,129679.31,257
2021-03-22T16:15:00.0000000Z,2021-03-22T16:30:00.0000000Z,2021-03-22T16:15:09.4070000Z,2021-03-22T16:29:44.9460000Z,0.6208,0.6273,0.6103,0.6121,8570.8,97
2021-03-22T16:30:00.0000000Z,2021-03-22T16:45:00.0000000Z,2021-03-22T16:30:02.8660000Z,2021-03-22T16:44:13.3390000Z,0.6121,0.6253,0.6103,0.6155,28436.57,177
2021-03-22T16:45:00.0000000Z,2021-03-22T17:00:00.0000000Z,2021-03-22T16:45:07.3290000Z,2021-03-22T16:59:45.7020000Z,0.6161,0.6188,0.5917,0.5976,118917.37,298
2021-03-22T17:00:00.0000000Z,2021-03-22T17:15:00.0000000Z,2021-03-22T17:00:01.2470000Z,2021-03-22T17:14:17.6310000Z,0.5981,0.62,0.591,0.6091,82290.79,361
2021-03-22T17:15:00.0000000Z,2021-03-22T17:30:00.0000000Z,2021-03-22T17:16:06.8300000Z,2021-03-22T17:29:28.6800000Z,0.6087,0.6122,0.5987,0.6023,32637.62,180
2021-03-22T17:30:00.0000000Z,2021-03-22T17:45:00.0000000Z,2021-03-22T17:30:09.0010000Z,2021-03-22T17:44:45.4440000Z,0.6002,0.6199,0.6002,0.6082,29648.95,252
2021-03-22T17:45:00.0000000Z,2021-03-22T18:00:00.0000000Z,2021-03-22T17:46:15.8350000Z,2021-03-22T17:59:49.2410000Z,0.6097,0.614,0.6058,0.6058,22341.99,98
2021-03-22T18:00:00.0000000Z,2021-03-22T18:15:00.0000000Z,2021-03-22T18:00:13.9260000Z,2021-03-22T18:14:37.7600000Z,0.6058,0.612,0.6034,0.604,56964.8,213
2021-03-22T18:15:00.0000000Z,2021-03-22T18:30:00.0000000Z,2021-03-22T18:15:18.2120000Z,2021-03-22T18:29:31.5930000Z,0.6067,0.6078,0.5804,0.5989,82670.44,483
2021-03-22T18:30:00.0000000Z,2021-03-22T18:45:00.0000000Z,2021-03-22T18:30:03.5790000Z,2021-03-22T18:44:52.5770000Z,0.5982,0.6049,0.5962,0.6025,49811.11,199
2021-03-22T18:45:00.0000000Z,2021-03-22T19:00:00.0000000Z,2021-03-22T18:45:27.5590000Z,2021-03-22T18:59:36.0500000Z,0.603,0.6073,0.595,0.6003,42545.44,261
2021-03-22T19:00:00.0000000Z,2021-03-22T19:15:00.0000000Z,2021-03-22T19:00:37.4130000Z,2021-03-22T19:14:22.1150000Z,0.6001,0.6054,0.5976,0.6038,30750.19,111
2021-03-22T19:15:00.0000000Z,2021-03-22T19:30:00.0000000Z,2021-03-22T19:15:08.0850000Z,2021-03-22T19:29:59.2000000Z,0.6019,0.63,0.599,0.6012,59438.99,269
2021-03-22T19:30:00.0000000Z,2021-03-22T19:45:00.0000000Z,2021-03-22T19:30:03.8930000Z,2021-03-22T19:44:59.8980000Z,0.603,0.6159,0.5938,0.6129,50995.25,249
2021-03-22T19:45:00.0000000Z,2021-03-22T20:00:00.0000000Z,2021-03-22T19:45:01.0220000Z,2021-03-22T19:59:58.4830000Z,0.6162,0.64,0.6122,0.6195,71499.38,509
2021-03-22T20:00:00.0000000Z,2021-03-22T20:15:00.0000000Z,2021-03-22T20:00:00.2460000Z,2021-03-22T20:14:52.4310000Z,0.6189,0.6206,0.6048,0.6185,81088.34,300
2021-03-22T20:15:00.0000000Z,2021-03-22T20:30:00.0000000Z,2021-03-22T20:15:08.2610000Z,2021-03-22T20:29:49.8650000Z,0.6201,0.6398,0.6096,0.6196,90027.76,361
2021-03-22T20:30:00.0000000Z,2021-03-22T20:45:00.0000000Z,2021-03-22T20:30:01.2920000Z,2021-03-22T20:44:52.7450000Z,0.6195,0.6232,0.604,0.6095,48690.8,158
2021-03-22T20:45:00.0000000Z,2021-03-22T21:00:00.0000000Z,2021-03-22T20:45:04.8550000Z,2021-03-22T20:59:39.2090000Z,0.608,0.6121,0.5827,0.5919,97834.14,415
2021-03-22T21:00:00.0000000Z,2021-03-22T21:15:00.0000000Z,2021-03-22T21:00:09.7660000Z,2021-03-22T21:14:45.6260000Z,0.5915,0.6,0.5864,0.6,31920.54,131
2021-03-22T21:15:00.0000000Z,2021-03-22T21:30:00.0000000Z,2021-03-22T21:15:04.5970000Z,2021-03-22T21:29:55.7810000Z,0.6011,0.6013,0.5839,0.5862,11673.21,65
2021-03-22T21:30:00.0000000Z,2021-03-22T21:45:00.0000000Z,2021-03-22T21:30:01.8770000Z,2021-03-22T21:43:23.6910000Z,0.5861,0.5993,0.5861,0.5964,19229.08,75
2021-03-22T21:45:00.0000000Z,2021-03-22T22:00:00.0000000Z,2021-03-22T21:47:39.9660000Z,2021-03-22T21:59:26.3900000Z,0.5964,0.6013,0.5846,0.5865,8887.26,63
2021-03-22T22:00:00.0000000Z,2021-03-22T22:15:00.0000000Z,2021-03-22T22:01:20.3310000Z,2021-03-22T22:14:19.9060000Z,0.5865,0.5958,0.578,0.594,69899.29,219
2021-03-22T22:15:00.0000000Z,2021-03-22T22:30:00.0000000Z,2021-03-22T22:15:26.5130000Z,2021-03-22T22:28:34.7730000Z,0.5921,0.5936,0.5875,0.59,11210.91,67
2021-03-22T22:30:00.0000000Z,2021-03-22T22:45:00.0000000Z,2021-03-22T22:30:03.1600000Z,2021-03-22T22:43:03.6850000Z,0.592,0.63,0.5892,0.5905,26040.2,167
2021-03-22T22:45:00.0000000Z,2021-03-22T23:00:00.0000000Z,2021-03-22T22:45:23.0670000Z,2021-03-22T22:58:20.9460000Z,0.5922,0.5993,0.5905,0.5956,8206.28,63
2021-03-22T23:00:00.0000000Z,2021-03-22T23:15:00.0000000Z,2021-03-22T23:01:11.1820000Z,2021-03-22T23:14:45.6470000Z,0.5956,0.6012,0.5902,0.5938,16432.17,103
2021-03-22T23:15:00.0000000Z,2021-03-22T23:30:00.0000000Z,2021-03-22T23:17:21.2760000Z,2021-03-22T23:29:28.1490000Z,0.5922,0.5938,0.5819,0.5856,17676.14,117
2021-03-22T23:30:00.0000000Z,2021-03-22T23:45:00.0000000Z,2021-03-22T23:30:31.9440000Z,2021-03-22T23:43:50.4180000Z,0.5828,0.5924,0.5828,0.5883,14779.29,119
2021-03-22T23:45:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T23:45:57.2540000Z,2021-03-22T23:59:56.9710000Z,0.5879,0.5928,0.5843,0.5865,15671.54,73
2021-03-23T00:00:00.0000000Z,2021-03-23T00:15:00.0000000Z,2021-03-23T00:01:17.0000000Z,2021-03-23T00:14:46.5500000Z,0.5857,0.5865,0.5778,0.5794,25223.79,145
2021-03-23T00:15:00.0000000Z,2021-03-23T00:30:00.0000000Z,2021-03-23T00:15:00.1150000Z,2021-03-23T00:29:34.0500000Z,0.5791,0.5846,0.57,0.5731,18150.68,111
2021-03-23T00:30:00.0000000Z,2021-03-23T00:45:00.0000000Z,2021-03-23T00:30:17.1060000Z,2021-03-23T00:44:36.9070000Z,0.5731,0.5733,0.5555,0.5555,39362.79,155
2021-03-23T00:45:00.0000000Z,2021-03-23T01:00:00.0000000Z,2021-03-23T00:45:01.5280000Z,2021-03-23T00:59:54.4480000Z,0.5565,0.5736,0.5456,0.5501,120060.93,277
2021-03-23T01:00:00.0000000Z,2021-03-23T01:15:00.0000000Z,2021-03-23T01:00:11.3460000Z,2021-03-23T01:14:24.5420000Z,0.5523,0.582,0.5427,0.5595,119815.3,417
2021-03-23T01:15:00.0000000Z,2021-03-23T01:30:00.0000000Z,2021-03-23T01:15:26.1010000Z,2021-03-23T01:28:02.9280000Z,0.5597,0.5642,0.5521,0.5524,25883.91,112
