time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-11T06:00:00.0000000Z,2021-10-11T06:15:00.0000000Z,2021-10-11T06:02:31.1940000Z,2021-10-11T06:14:59.9450000Z,3.63,4.431,3.547,3.699,7082071.6,46972
2021-10-11T06:15:00.0000000Z,2021-10-11T06:30:00.0000000Z,2021-10-11T06:15:00.0860000Z,2021-10-11T06:29:59.9710000Z,3.698,4.075,3.3,3.301,6157888.5,40987
2021-10-11T06:30:00.0000000Z,2021-10-11T06:45:00.0000000Z,2021-10-11T06:30:00.1630000Z,2021-10-11T06:44:59.9630000Z,3.301,3.638,3.275,3.388,3283487.8,24750
2021-10-11T06:45:00.0000000Z,2021-10-11T07:00:00.0000000Z,2021-10-11T06:45:00.0720000Z,2021-10-11T06:59:59.7320000Z,3.386,3.419,3.011,3.265,4447388.3,29363
2021-10-11T07:00:00.0000000Z,2021-10-11T07:15:00.0000000Z,2021-10-11T07:00:00.0250000Z,2021-10-11T07:14:59.9590000Z,3.27,3.32,3.0,3.11,2456267.0,18843
2021-10-11T07:15:00.0000000Z,2021-10-11T07:30:00.0000000Z,2021-10-11T07:15:00.6430000Z,2021-10-11T07:29:59.8550000Z,3.11,3.289,3.06,3.216,2128127.8,17437
2021-10-11T07:30:00.0000000Z,2021-10-11T07:45:00.0000000Z,2021-10-11T07:30:00.0530000Z,2021-10-11T07:44:59.8030000Z,3.234,3.49,3.206,3.387,2974567.8,21253
2021-10-11T07:45:00.0000000Z,2021-10-11T08:00:00.0000000Z,2021-10-11T07:45:00.1090000Z,2021-10-11T07:59:59.9490000Z,3.387,3.486,3.221,3.264,1873826.2,14116
2021-10-11T08:00:00.0000000Z,2021-10-11T08:15:00.0000000Z,2021-10-11T08:00:00.2320000Z,2021-10-11T08:14:59.4530000Z,3.262,3.299,3.1,3.146,1504910.6,11045
2021-10-11T08:15:00.0000000Z,2021-10-11T08:30:00.0000000Z,2021-10-11T08:15:00.2590000Z,2021-10-11T08:29:59.9490000Z,3.146,3.18,3.12,3.169,674193.7,5346
2021-10-11T08:30:00.0000000Z,2021-10-11T08:45:00.0000000Z,2021-10-11T08:30:00.2540000Z,2021-10-11T08:44:59.7420000Z,3.169,3.24,3.127,3.172,799271.8,5873
2021-10-11T08:45:00.0000000Z,2021-10-11T09:00:00.0000000Z,2021-10-11T08:45:00.2150000Z,2021-10-11T08:59:59.8090000Z,3.172,3.227,3.14,3.227,674081.4,4743
2021-10-11T09:00:00.0000000Z,2021-10-11T09:15:00.0000000Z,2021-10-11T09:00:00.1510000Z,2021-10-11T09:14:59.4350000Z,3.222,3.44,3.22,3.376,2443281.9,15129
2021-10-11T09:15:00.0000000Z,2021-10-11T09:30:00.0000000Z,2021-10-11T09:15:01.4930000Z,2021-10-11T09:29:59.1100000Z,3.368,3.4,3.23,3.282,940576.3,7962
2021-10-11T09:30:00.0000000Z,2021-10-11T09:45:00.0000000Z,2021-10-11T09:30:00.7440000Z,2021-10-11T09:44:59.8510000Z,3.283,3.38,3.238,3.347,1092009.0,9127
2021-10-11T09:45:00.0000000Z,2021-10-11T10:00:00.0000000Z,2021-10-11T09:45:01.0260000Z,2021-10-11T09:59:59.0870000Z,3.347,3.4,3.137,3.174,1917370.8,11268
2021-10-11T10:00:00.0000000Z,2021-10-11T10:15:00.0000000Z,2021-10-11T10:00:00.0560000Z,2021-10-11T10:14:58.8020000Z,3.18,3.237,3.055,3.14,1229482.7,8718
2021-10-11T10:15:00.0000000Z,2021-10-11T10:30:00.0000000Z,2021-10-11T10:15:00.9940000Z,2021-10-11T10:29:58.8010000Z,3.139,3.162,3.055,3.065,563511.7,4755
2021-10-11T10:30:00.0000000Z,2021-10-11T10:45:00.0000000Z,2021-10-11T10:30:00.6510000Z,2021-10-11T10:44:58.9530000Z,3.063,3.129,3.04,3.046,724607.9,4953
2021-10-11T10:45:00.0000000Z,2021-10-11T11:00:00.0000000Z,2021-10-11T10:45:00.1190000Z,2021-10-11T10:59:59.7430000Z,3.044,3.046,2.812,2.833,1853260.6,12057
2021-10-11T11:00:00.0000000Z,2021-10-11T11:15:00.0000000Z,2021-10-11T11:00:00.0250000Z,2021-10-11T11:14:59.4640000Z,2.831,2.938,2.81,2.907,1126866.0,7305
2021-10-11T11:15:00.0000000Z,2021-10-11T11:30:00.0000000Z,2021-10-11T11:15:00.1550000Z,2021-10-11T11:29:59.5260000Z,2.908,2.91,2.636,2.69,1681670.8,9462
2021-10-11T11:30:00.0000000Z,2021-10-11T11:45:00.0000000Z,2021-10-11T11:30:02.6440000Z,2021-10-11T11:44:59.4020000Z,2.69,2.774,2.683,2.684,810433.3,4840
2021-10-11T11:45:00.0000000Z,2021-10-11T12:00:00.0000000Z,2021-10-11T11:45:00.4430000Z,2021-10-11T11:59:58.3550000Z,2.684,2.77,2.654,2.725,1108951.0,6150
2021-10-11T12:00:00.0000000Z,2021-10-11T12:15:00.0000000Z,2021-10-11T12:00:00.3300000Z,2021-10-11T12:14:59.5720000Z,2.723,2.845,2.715,2.783,1341128.3,8546
2021-10-11T12:15:00.0000000Z,2021-10-11T12:30:00.0000000Z,2021-10-11T12:15:00.3000000Z,2021-10-11T12:29:59.4980000Z,2.783,2.8,2.654,2.735,1141110.4,6717
2021-10-11T12:30:00.0000000Z,2021-10-11T12:45:00.0000000Z,2021-10-11T12:30:00.6600000Z,2021-10-11T12:44:59.4490000Z,2.735,2.828,2.718,2.825,830042.2,4824
2021-10-11T12:45:00.0000000Z,2021-10-11T13:00:00.0000000Z,2021-10-11T12:45:00.0080000Z,2021-10-11T12:59:59.7930000Z,2.827,2.891,2.775,2.807,1085583.1,6258
2021-10-11T13:00:00.0000000Z,2021-10-11T13:15:00.0000000Z,2021-10-11T13:00:02.3020000Z,2021-10-11T13:14:59.7970000Z,2.808,2.94,2.808,2.85,1159649.5,6825
2021-10-11T13:15:00.0000000Z,2021-10-11T13:30:00.0000000Z,2021-10-11T13:15:00.5930000Z,2021-10-11T13:29:59.8740000Z,2.848,2.89,2.788,2.795,753306.4,4535
2021-10-11T13:30:00.0000000Z,2021-10-11T13:45:00.0000000Z,2021-10-11T13:30:01.1450000Z,2021-10-11T13:44:59.8470000Z,2.795,2.839,2.737,2.778,601412.9,3890
2021-10-11T13:45:00.0000000Z,2021-10-11T14:00:00.0000000Z,2021-10-11T13:45:00.7620000Z,2021-10-11T13:59:57.8940000Z,2.779,2.798,2.69,2.767,779644.5,3825
2021-10-11T14:00:00.0000000Z,2021-10-11T14:15:00.0000000Z,2021-10-11T14:00:00.2200000Z,2021-10-11T14:14:59.6090000Z,2.765,2.784,2.685,2.69,686581.3,3193
2021-10-11T14:15:00.0000000Z,2021-10-11T14:30:00.0000000Z,2021-10-11T14:15:00.0730000Z,2021-10-11T14:29:59.9500000Z,2.689,2.697,2.57,2.647,1011269.1,6011
2021-10-11T14:30:00.0000000Z,2021-10-11T14:45:00.0000000Z,2021-10-11T14:30:00.2810000Z,2021-10-11T14:44:58.3800000Z,2.645,2.65,2.542,2.619,787025.3,4466
2021-10-11T14:45:00.0000000Z,2021-10-11T15:00:00.0000000Z,2021-10-11T14:45:00.4870000Z,2021-10-11T14:59:57.2680000Z,2.619,2.69,2.581,2.651,716053.5,4118
2021-10-11T15:00:00.0000000Z,2021-10-11T15:15:00.0000000Z,2021-10-11T15:00:00.6550000Z,2021-10-11T15:14:59.8470000Z,2.654,2.722,2.608,2.622,574256.2,3403
2021-10-11T15:15:00.0000000Z,2021-10-11T15:30:00.0000000Z,2021-10-11T15:15:00.1370000Z,2021-10-11T15:29:59.5620000Z,2.621,2.634,2.56,2.6,459253.5,2653
2021-10-11T15:30:00.0000000Z,2021-10-11T15:45:00.0000000Z,2021-10-11T15:30:01.2580000Z,2021-10-11T15:44:59.2190000Z,2.599,2.603,2.511,2.525,582274.4,3427
2021-10-11T15:45:00.0000000Z,2021-10-11T16:00:00.0000000Z,2021-10-11T15:45:01.9390000Z,2021-10-11T15:59:59.7330000Z,2.525,2.525,2.425,2.432,1213109.6,5616
2021-10-11T16:00:00.0000000Z,2021-10-11T16:15:00.0000000Z,2021-10-11T16:00:00.2090000Z,2021-10-11T16:14:59.0110000Z,2.434,2.54,2.41,2.478,772519.4,4311
2021-10-11T16:15:00.0000000Z,2021-10-11T16:30:00.0000000Z,2021-10-11T16:15:04.1240000Z,2021-10-11T16:29:59.5390000Z,2.481,2.49,2.393,2.405,546384.4,3039
2021-10-11T16:30:00.0000000Z,2021-10-11T16:45:00.0000000Z,2021-10-11T16:30:00.3230000Z,2021-10-11T16:44:59.3930000Z,2.405,2.51,2.402,2.507,714596.7,3312
2021-10-11T16:45:00.0000000Z,2021-10-11T17:00:00.0000000Z,2021-10-11T16:45:00.2190000Z,2021-10-11T16:59:59.7480000Z,2.508,2.574,2.466,2.555,1027892.3,5126
2021-10-11T17:00:00.0000000Z,2021-10-11T17:15:00.0000000Z,2021-10-11T17:00:00.0190000Z,2021-10-11T17:14:59.9870000Z,2.556,2.578,2.46,2.46,841775.0,3981
2021-10-11T17:15:00.0000000Z,2021-10-11T17:30:00.0000000Z,2021-10-11T17:15:01.2810000Z,2021-10-11T17:29:59.7430000Z,2.46,2.52,2.433,2.5,396328.8,2634
2021-10-11T17:30:00.0000000Z,2021-10-11T17:45:00.0000000Z,2021-10-11T17:30:01.2900000Z,2021-10-11T17:44:58.9220000Z,2.5,2.503,2.431,2.478,190821.5,1544
2021-10-11T17:45:00.0000000Z,2021-10-11T18:00:00.0000000Z,2021-10-11T17:45:00.7290000Z,2021-10-11T17:59:59.8570000Z,2.475,2.482,2.4,2.429,344048.9,1958
2021-10-11T18:00:00.0000000Z,2021-10-11T18:15:00.0000000Z,2021-10-11T18:00:00.0670000Z,2021-10-11T18:14:59.3960000Z,2.429,2.5,2.422,2.486,411675.0,2265
