time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-05T06:00:00.0000000Z,2021-11-05T06:15:00.0000000Z,2021-11-05T06:00:40.7700000Z,2021-11-05T06:14:59.6000000Z,47.36,51.0,45.0,45.26,150025.22,13150
2021-11-05T06:15:00.0000000Z,2021-11-05T06:30:00.0000000Z,2021-11-05T06:15:00.1910000Z,2021-11-05T06:29:59.0720000Z,45.26,46.48,44.5,46.26,28761.8,3893
2021-11-05T06:30:00.0000000Z,2021-11-05T06:45:00.0000000Z,2021-11-05T06:30:02.4270000Z,2021-11-05T06:44:59.8370000Z,46.21,46.3,43.39,43.91,19746.7,2385
2021-11-05T06:45:00.0000000Z,2021-11-05T07:00:00.0000000Z,2021-11-05T06:45:00.2160000Z,2021-11-05T06:59:57.8870000Z,43.91,45.6,42.31,44.46,30971.31,2566
2021-11-05T07:00:00.0000000Z,2021-11-05T07:15:00.0000000Z,2021-11-05T07:00:02.3530000Z,2021-11-05T07:14:59.2000000Z,44.46,44.99,43.02,43.43,8817.03,1232
2021-11-05T07:15:00.0000000Z,2021-11-05T07:30:00.0000000Z,2021-11-05T07:15:01.6900000Z,2021-11-05T07:29:59.7580000Z,43.37,43.43,42.0,42.18,17085.67,2027
2021-11-05T07:30:00.0000000Z,2021-11-05T07:45:00.0000000Z,2021-11-05T07:30:01.7090000Z,2021-11-05T07:44:55.4150000Z,42.18,43.43,42.18,42.88,6138.3,602
2021-11-05T07:45:00.0000000Z,2021-11-05T08:00:00.0000000Z,2021-11-05T07:45:04.2630000Z,2021-11-05T07:59:56.0130000Z,42.88,43.8,42.54,43.41,3572.43,794
2021-11-05T08:00:00.0000000Z,2021-11-05T08:15:00.0000000Z,2021-11-05T08:00:04.3520000Z,2021-11-05T08:14:57.4060000Z,43.47,45.4,43.23,43.3,8842.71,1007
2021-11-05T08:15:00.0000000Z,2021-11-05T08:30:00.0000000Z,2021-11-05T08:15:15.7790000Z,2021-11-05T08:29:58.2700000Z,43.3,44.7,43.11,44.17,2690.2,539
2021-11-05T08:30:00.0000000Z,2021-11-05T08:45:00.0000000Z,2021-11-05T08:30:00.2780000Z,2021-11-05T08:44:59.8870000Z,44.18,44.35,41.42,42.26,23419.68,1787
2021-11-05T08:45:00.0000000Z,2021-11-05T09:00:00.0000000Z,2021-11-05T08:45:04.8580000Z,2021-11-05T08:59:51.4660000Z,42.14,43.0,42.13,42.9,5653.61,392
2021-11-05T09:00:00.0000000Z,2021-11-05T09:15:00.0000000Z,2021-11-05T09:00:00.7690000Z,2021-11-05T09:14:56.2130000Z,42.96,44.83,42.68,44.51,6051.07,809
2021-11-05T09:15:00.0000000Z,2021-11-05T09:30:00.0000000Z,2021-11-05T09:15:00.8370000Z,2021-11-05T09:29:57.2740000Z,44.52,44.69,43.15,43.15,4344.84,621
2021-11-05T09:30:00.0000000Z,2021-11-05T09:45:00.0000000Z,2021-11-05T09:30:03.5160000Z,2021-11-05T09:44:56.2610000Z,43.15,43.94,42.9,43.65,5988.95,455
2021-11-05T09:45:00.0000000Z,2021-11-05T10:00:00.0000000Z,2021-11-05T09:45:06.7980000Z,2021-11-05T09:59:59.6510000Z,43.67,43.79,42.21,42.21,4158.75,513
2021-11-05T10:00:00.0000000Z,2021-11-05T10:15:00.0000000Z,2021-11-05T10:00:04.3910000Z,2021-11-05T10:14:50.5010000Z,42.21,43.0,41.65,41.68,8147.75,632
2021-11-05T10:15:00.0000000Z,2021-11-05T10:30:00.0000000Z,2021-11-05T10:15:35.8220000Z,2021-11-05T10:29:43.9650000Z,41.75,41.94,41.01,41.08,3638.97,353
2021-11-05T10:30:00.0000000Z,2021-11-05T10:45:00.0000000Z,2021-11-05T10:30:01.9960000Z,2021-11-05T10:44:54.7910000Z,41.17,41.18,38.9,39.33,9569.85,877
2021-11-05T10:45:00.0000000Z,2021-11-05T11:00:00.0000000Z,2021-11-05T10:45:00.0920000Z,2021-11-05T10:59:58.9400000Z,39.33,40.6,38.71,40.35,12084.62,1380
2021-11-05T11:00:00.0000000Z,2021-11-05T11:15:00.0000000Z,2021-11-05T11:00:00.8180000Z,2021-11-05T11:14:58.4290000Z,40.37,41.13,39.56,39.86,6702.18,832
2021-11-05T11:15:00.0000000Z,2021-11-05T11:30:00.0000000Z,2021-11-05T11:15:01.2530000Z,2021-11-05T11:29:47.3520000Z,39.77,40.65,39.52,39.75,2726.06,554
2021-11-05T11:30:00.0000000Z,2021-11-05T11:45:00.0000000Z,2021-11-05T11:30:00.8520000Z,2021-11-05T11:44:56.2080000Z,39.77,40.02,39.12,39.12,2110.77,462
2021-11-05T11:45:00.0000000Z,2021-11-05T12:00:00.0000000Z,2021-11-05T11:45:15.9670000Z,2021-11-05T11:59:59.8800000Z,39.14,39.19,38.72,38.73,2302.71,375
2021-11-05T12:00:00.0000000Z,2021-11-05T12:15:00.0000000Z,2021-11-05T12:00:07.0710000Z,2021-11-05T12:14:58.9580000Z,38.73,38.86,37.66,38.77,6022.96,770
2021-11-05T12:15:00.0000000Z,2021-11-05T12:30:00.0000000Z,2021-11-05T12:15:00.1390000Z,2021-11-05T12:29:31.9040000Z,38.71,39.12,38.49,38.74,1396.9,307
2021-11-05T12:30:00.0000000Z,2021-11-05T12:45:00.0000000Z,2021-11-05T12:30:02.6200000Z,2021-11-05T12:44:54.5930000Z,38.74,40.08,38.5,39.95,5852.65,350
2021-11-05T12:45:00.0000000Z,2021-11-05T13:00:00.0000000Z,2021-11-05T12:45:14.6940000Z,2021-11-05T12:59:26.9790000Z,39.95,40.9,39.06,39.14,2419.6,358
2021-11-05T13:00:00.0000000Z,2021-11-05T13:15:00.0000000Z,2021-11-05T13:00:00.7070000Z,2021-11-05T13:14:58.7910000Z,39.14,40.03,39.06,39.77,1725.84,328
2021-11-05T13:15:00.0000000Z,2021-11-05T13:30:00.0000000Z,2021-11-05T13:15:09.6190000Z,2021-11-05T13:29:53.2150000Z,39.76,40.52,38.78,39.81,1904.37,341
2021-11-05T13:30:00.0000000Z,2021-11-05T13:45:00.0000000Z,2021-11-05T13:30:04.2540000Z,2021-11-05T13:44:49.1860000Z,39.86,39.87,39.25,39.36,859.83,201
2021-11-05T13:45:00.0000000Z,2021-11-05T14:00:00.0000000Z,2021-11-05T13:45:04.8310000Z,2021-11-05T13:59:52.9780000Z,39.36,39.55,32.23,36.88,23175.97,2711
2021-11-05T14:00:00.0000000Z,2021-11-05T14:15:00.0000000Z,2021-11-05T14:00:00.8250000Z,2021-11-05T14:14:55.2060000Z,36.86,37.58,35.75,36.46,4980.17,746
2021-11-05T14:15:00.0000000Z,2021-11-05T14:30:00.0000000Z,2021-11-05T14:15:10.2680000Z,2021-11-05T14:29:51.0890000Z,36.42,38.45,35.82,38.24,16491.36,722
2021-11-05T14:30:00.0000000Z,2021-11-05T14:45:00.0000000Z,2021-11-05T14:30:07.7950000Z,2021-11-05T14:44:57.7880000Z,38.24,39.09,38.24,38.97,4246.75,460
2021-11-05T14:45:00.0000000Z,2021-11-05T15:00:00.0000000Z,2021-11-05T14:45:03.0520000Z,2021-11-05T14:59:07.0060000Z,39.04,39.48,38.64,38.88,2872.35,293
2021-11-05T15:00:00.0000000Z,2021-11-05T15:15:00.0000000Z,2021-11-05T15:00:08.3130000Z,2021-11-05T15:14:58.6130000Z,38.88,39.81,37.75,39.15,4942.5,702
