time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T10:00:00.0000000Z,2021-06-06T10:15:00.0000000Z,2021-06-06T10:03:50.7970000Z,2021-06-06T10:13:40.4470000Z,4.675,4.762,4.637,4.677,2613.7,39
2021-06-06T10:15:00.0000000Z,2021-06-06T10:30:00.0000000Z,2021-06-06T10:15:06.2520000Z,2021-06-06T10:29:47.8110000Z,4.676,4.676,4.613,4.657,485.4,27
2021-06-06T10:30:00.0000000Z,2021-06-06T10:45:00.0000000Z,2021-06-06T10:30:53.4710000Z,2021-06-06T10:44:04.8090000Z,4.657,4.676,4.607,4.615,3641.2,38
2021-06-06T10:45:00.0000000Z,2021-06-06T11:00:00.0000000Z,2021-06-06T10:45:45.3260000Z,2021-06-06T10:59:27.7790000Z,4.615,4.643,4.615,4.616,93.0,7
2021-06-06T11:00:00.0000000Z,2021-06-06T11:15:00.0000000Z,2021-06-06T11:00:54.4720000Z,2021-06-06T11:14:34.0530000Z,4.643,4.643,4.6,4.6,1855.1,39
2021-06-06T11:15:00.0000000Z,2021-06-06T11:30:00.0000000Z,2021-06-06T11:17:32.6160000Z,2021-06-06T11:28:40.8260000Z,4.6,4.6,4.56,4.563,1822.0,33
2021-06-06T11:30:00.0000000Z,2021-06-06T11:45:00.0000000Z,2021-06-06T11:37:42.8220000Z,2021-06-06T11:43:12.3690000Z,4.587,4.599,4.553,4.599,400.6,8
2021-06-06T11:45:00.0000000Z,2021-06-06T12:00:00.0000000Z,2021-06-06T11:45:04.2390000Z,2021-06-06T11:59:47.1320000Z,4.597,4.609,4.555,4.57,425.9,24
2021-06-06T12:00:00.0000000Z,2021-06-06T12:15:00.0000000Z,2021-06-06T12:00:09.6240000Z,2021-06-06T12:14:46.8160000Z,4.595,4.656,4.581,4.626,663.8,18
2021-06-06T12:15:00.0000000Z,2021-06-06T12:30:00.0000000Z,2021-06-06T12:17:16.2200000Z,2021-06-06T12:29:45.6320000Z,4.677,4.798,4.64,4.681,786.8,16
2021-06-06T12:30:00.0000000Z,2021-06-06T12:45:00.0000000Z,2021-06-06T12:34:06.3390000Z,2021-06-06T12:42:30.1780000Z,4.677,4.677,4.63,4.671,604.9,12
2021-06-06T12:45:00.0000000Z,2021-06-06T13:00:00.0000000Z,2021-06-06T12:47:58.1410000Z,2021-06-06T12:57:55.0240000Z,4.672,4.685,4.672,4.685,441.2,17
2021-06-06T13:00:00.0000000Z,2021-06-06T13:15:00.0000000Z,2021-06-06T13:04:32.6070000Z,2021-06-06T13:14:12.1790000Z,4.705,4.758,4.705,4.755,426.2,13
2021-06-06T13:15:00.0000000Z,2021-06-06T13:30:00.0000000Z,2021-06-06T13:17:06.5580000Z,2021-06-06T13:29:51.6870000Z,4.687,4.719,4.64,4.661,1602.8,13
2021-06-06T13:30:00.0000000Z,2021-06-06T13:45:00.0000000Z,2021-06-06T13:30:55.2970000Z,2021-06-06T13:36:48.1990000Z,4.633,4.637,4.625,4.637,713.0,8
2021-06-06T13:45:00.0000000Z,2021-06-06T14:00:00.0000000Z,2021-06-06T13:45:55.0680000Z,2021-06-06T13:55:51.1250000Z,4.63,4.63,4.587,4.587,67.3,9
2021-06-06T14:00:00.0000000Z,2021-06-06T14:15:00.0000000Z,2021-06-06T14:00:39.4640000Z,2021-06-06T14:14:50.4360000Z,4.587,4.64,4.578,4.603,28.5,6
2021-06-06T14:15:00.0000000Z,2021-06-06T14:30:00.0000000Z,2021-06-06T14:17:03.7690000Z,2021-06-06T14:29:13.2420000Z,4.578,4.671,4.57,4.588,588.7,18
2021-06-06T14:30:00.0000000Z,2021-06-06T14:45:00.0000000Z,2021-06-06T14:32:37.8470000Z,2021-06-06T14:43:10.1920000Z,4.624,4.625,4.603,4.62,464.8,14
2021-06-06T14:45:00.0000000Z,2021-06-06T15:00:00.0000000Z,2021-06-06T14:48:22.0940000Z,2021-06-06T14:59:39.3250000Z,4.659,4.75,4.659,4.721,1031.6,24
2021-06-06T15:00:00.0000000Z,2021-06-06T15:15:00.0000000Z,2021-06-06T15:00:02.4560000Z,2021-06-06T15:14:46.3330000Z,4.721,4.81,4.712,4.81,479.4,18
2021-06-06T15:15:00.0000000Z,2021-06-06T15:30:00.0000000Z,2021-06-06T15:15:08.3550000Z,2021-06-06T15:29:28.2840000Z,4.723,4.749,4.673,4.749,730.1,23
2021-06-06T15:30:00.0000000Z,2021-06-06T15:45:00.0000000Z,2021-06-06T15:31:10.3280000Z,2021-06-06T15:44:28.1940000Z,4.706,4.749,4.649,4.649,3124.0,11
2021-06-06T15:45:00.0000000Z,2021-06-06T16:00:00.0000000Z,2021-06-06T15:46:31.3680000Z,2021-06-06T15:57:06.3700000Z,4.651,4.682,4.648,4.682,740.0,13
2021-06-06T16:00:00.0000000Z,2021-06-06T16:15:00.0000000Z,2021-06-06T16:00:27.9640000Z,2021-06-06T16:14:02.6750000Z,4.682,4.754,4.682,4.686,34.4,6
2021-06-06T16:15:00.0000000Z,2021-06-06T16:30:00.0000000Z,2021-06-06T16:16:05.3880000Z,2021-06-06T16:23:55.6770000Z,4.715,4.779,4.692,4.698,206.6,11
2021-06-06T16:30:00.0000000Z,2021-06-06T16:45:00.0000000Z,2021-06-06T16:36:33.9630000Z,2021-06-06T16:36:33.9630000Z,4.767,4.767,4.767,4.767,2.6,1
2021-06-06T16:45:00.0000000Z,2021-06-06T17:00:00.0000000Z,2021-06-06T16:47:28.4230000Z,2021-06-06T16:58:37.0150000Z,4.77,4.772,4.745,4.77,65.0,6
2021-06-06T17:00:00.0000000Z,2021-06-06T17:15:00.0000000Z,2021-06-06T17:01:27.9080000Z,2021-06-06T17:13:53.1520000Z,4.769,4.8,4.727,4.73,338.9,14
2021-06-06T17:15:00.0000000Z,2021-06-06T17:30:00.0000000Z,2021-06-06T17:15:37.1020000Z,2021-06-06T17:29:51.0320000Z,4.798,4.8,4.732,4.732,100.0,6
2021-06-06T17:30:00.0000000Z,2021-06-06T17:45:00.0000000Z,2021-06-06T17:31:51.5840000Z,2021-06-06T17:44:26.8560000Z,4.775,4.776,4.713,4.731,248.1,11
2021-06-06T17:45:00.0000000Z,2021-06-06T18:00:00.0000000Z,2021-06-06T17:45:16.3400000Z,2021-06-06T17:59:58.0320000Z,4.716,4.756,4.682,4.705,286.4,16
2021-06-06T18:00:00.0000000Z,2021-06-06T18:15:00.0000000Z,2021-06-06T18:04:02.7640000Z,2021-06-06T18:14:11.9960000Z,4.708,4.708,4.688,4.708,157.6,7
2021-06-06T18:15:00.0000000Z,2021-06-06T18:30:00.0000000Z,2021-06-06T18:16:50.4520000Z,2021-06-06T18:27:19.2680000Z,4.746,4.746,4.682,4.682,352.0,13
2021-06-06T18:30:00.0000000Z,2021-06-06T18:45:00.0000000Z,2021-06-06T18:30:48.5610000Z,2021-06-06T18:44:54.8610000Z,4.682,4.705,4.657,4.657,230.4,11
2021-06-06T18:45:00.0000000Z,2021-06-06T19:00:00.0000000Z,2021-06-06T18:45:29.4140000Z,2021-06-06T18:45:29.4140000Z,4.657,4.657,4.657,4.657,7.8,1
2021-06-06T19:00:00.0000000Z,2021-06-06T19:15:00.0000000Z,2021-06-06T19:09:55.5140000Z,2021-06-06T19:13:46.7120000Z,4.66,4.726,4.657,4.726,95.0,5
2021-06-06T19:15:00.0000000Z,2021-06-06T19:30:00.0000000Z,2021-06-06T19:16:58.5600000Z,2021-06-06T19:27:08.3310000Z,4.659,4.671,4.657,4.671,1293.4,11
2021-06-06T19:30:00.0000000Z,2021-06-06T19:45:00.0000000Z,2021-06-06T19:31:22.9960000Z,2021-06-06T19:44:38.1120000Z,4.668,4.669,4.621,4.643,253.5,16
2021-06-06T19:45:00.0000000Z,2021-06-06T20:00:00.0000000Z,2021-06-06T19:45:31.2390000Z,2021-06-06T19:47:43.5710000Z,4.642,4.643,4.618,4.618,164.2,6
2021-06-06T20:00:00.0000000Z,2021-06-06T20:15:00.0000000Z,2021-06-06T20:00:38.8080000Z,2021-06-06T20:10:55.6390000Z,4.619,4.624,4.618,4.624,1429.7,19
2021-06-06T20:15:00.0000000Z,2021-06-06T20:30:00.0000000Z,2021-06-06T20:16:29.8520000Z,2021-06-06T20:29:44.1690000Z,4.637,4.644,4.637,4.644,200.4,13
2021-06-06T20:30:00.0000000Z,2021-06-06T20:45:00.0000000Z,2021-06-06T20:34:40.8730000Z,2021-06-06T20:42:36.4600000Z,4.67,4.74,4.643,4.68,50.2,6
2021-06-06T20:45:00.0000000Z,2021-06-06T21:00:00.0000000Z,2021-06-06T20:45:51.0460000Z,2021-06-06T20:58:40.1600000Z,4.739,4.797,4.65,4.689,393.9,21
2021-06-06T21:00:00.0000000Z,2021-06-06T21:15:00.0000000Z,2021-06-06T21:04:47.3230000Z,2021-06-06T21:13:10.2150000Z,4.689,4.72,4.689,4.72,81.7,9
2021-06-06T21:15:00.0000000Z,2021-06-06T21:30:00.0000000Z,2021-06-06T21:15:44.0500000Z,2021-06-06T21:27:33.7130000Z,4.719,4.721,4.677,4.721,131.9,7
2021-06-06T21:30:00.0000000Z,2021-06-06T21:45:00.0000000Z,2021-06-06T21:33:31.6700000Z,2021-06-06T21:44:30.0590000Z,4.722,4.747,4.711,4.741,30.8,10
2021-06-06T21:45:00.0000000Z,2021-06-06T22:00:00.0000000Z,2021-06-06T21:45:40.3870000Z,2021-06-06T21:59:15.7770000Z,4.722,4.796,4.705,4.705,85.7,14
2021-06-06T22:00:00.0000000Z,2021-06-06T22:15:00.0000000Z,2021-06-06T22:04:16.7570000Z,2021-06-06T22:12:51.3970000Z,4.742,4.8,4.699,4.7,590.1,27
2021-06-06T22:15:00.0000000Z,2021-06-06T22:30:00.0000000Z,2021-06-06T22:15:01.4580000Z,2021-06-06T22:26:05.7270000Z,4.699,4.747,4.634,4.634,166.2,24
2021-06-06T22:30:00.0000000Z,2021-06-06T22:45:00.0000000Z,2021-06-06T22:32:31.3060000Z,2021-06-06T22:43:40.8240000Z,4.63,4.747,4.572,4.684,1130.2,46
2021-06-06T22:45:00.0000000Z,2021-06-06T23:00:00.0000000Z,2021-06-06T22:46:23.1490000Z,2021-06-06T22:47:56.7890000Z,4.672,4.712,4.643,4.712,20.4,6
2021-06-06T23:00:00.0000000Z,2021-06-06T23:15:00.0000000Z,2021-06-06T23:05:44.0860000Z,2021-06-06T23:14:10.4020000Z,4.718,4.751,4.706,4.706,77.4,10
2021-06-06T23:15:00.0000000Z,2021-06-06T23:30:00.0000000Z,2021-06-06T23:20:31.0630000Z,2021-06-06T23:27:49.8970000Z,4.713,4.73,4.698,4.73,122.3,10
2021-06-06T23:30:00.0000000Z,2021-06-06T23:45:00.0000000Z,2021-06-06T23:36:08.3970000Z,2021-06-06T23:36:08.3970000Z,4.727,4.727,4.727,4.727,130.7,1
2021-06-06T23:45:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T23:53:47.5650000Z,2021-06-06T23:59:49.6250000Z,4.726,4.73,4.687,4.73,158.5,11
2021-06-07T00:00:00.0000000Z,2021-06-07T00:15:00.0000000Z,2021-06-07T00:01:36.2470000Z,2021-06-07T00:13:54.0500000Z,4.735,4.735,4.648,4.697,651.1,17
2021-06-07T00:15:00.0000000Z,2021-06-07T00:30:00.0000000Z,2021-06-07T00:15:32.3600000Z,2021-06-07T00:29:22.4780000Z,4.75,4.765,4.721,4.721,182.8,14
2021-06-07T00:30:00.0000000Z,2021-06-07T00:45:00.0000000Z,2021-06-07T00:30:48.2710000Z,2021-06-07T00:41:54.6790000Z,4.723,4.784,4.711,4.784,396.1,15
2021-06-07T00:45:00.0000000Z,2021-06-07T01:00:00.0000000Z,2021-06-07T00:46:50.3990000Z,2021-06-07T00:58:17.3650000Z,4.784,4.8,4.767,4.8,542.0,13
2021-06-07T01:00:00.0000000Z,2021-06-07T01:15:00.0000000Z,2021-06-07T01:00:12.7910000Z,2021-06-07T01:08:55.7160000Z,4.8,4.827,4.792,4.792,198.9,13
2021-06-07T01:15:00.0000000Z,2021-06-07T01:30:00.0000000Z,2021-06-07T01:15:30.3990000Z,2021-06-07T01:15:30.3990000Z,4.764,4.764,4.764,4.764,4.3,1
2021-06-07T01:45:00.0000000Z,2021-06-07T02:00:00.0000000Z,2021-06-07T01:48:08.3740000Z,2021-06-07T01:59:15.2250000Z,4.826,4.953,4.817,4.898,330.1,28
2021-06-07T02:00:00.0000000Z,2021-06-07T02:15:00.0000000Z,2021-06-07T02:00:42.6560000Z,2021-06-07T02:14:17.3470000Z,4.896,4.902,4.845,4.845,90.2,9
