time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-10T11:15:00.0000000Z,2021-05-10T11:30:00.0000000Z,2021-05-10T11:22:45.6350000Z,2021-05-10T11:29:59.9410000Z,3.329e-05,3.5e-05,3e-05,3e-05,301123461881.0,15851
2021-05-10T11:30:00.0000000Z,2021-05-10T11:45:00.0000000Z,2021-05-10T11:30:00.0110000Z,2021-05-10T11:44:59.8800000Z,3e-05,3.1e-05,2.6e-05,2.96e-05,686065092529.0,28904
2021-05-10T11:45:00.0000000Z,2021-05-10T12:00:00.0000000Z,2021-05-10T11:45:00.3760000Z,2021-05-10T11:59:59.9170000Z,2.96e-05,3.1e-05,2.749e-05,2.979e-05,429870627250.0,22474
2021-05-10T12:00:00.0000000Z,2021-05-10T12:15:00.0000000Z,2021-05-10T12:00:00.1350000Z,2021-05-10T12:14:59.8820000Z,2.977e-05,3.5e-05,2.9e-05,3.266e-05,481685658393.0,24316
2021-05-10T12:15:00.0000000Z,2021-05-10T12:30:00.0000000Z,2021-05-10T12:15:00.0180000Z,2021-05-10T12:29:59.9300000Z,3.267e-05,3.517e-05,3.138e-05,3.364e-05,545598963582.0,30583
2021-05-10T12:30:00.0000000Z,2021-05-10T12:45:00.0000000Z,2021-05-10T12:30:00.0000000Z,2021-05-10T12:44:59.9630000Z,3.364e-05,3.924e-05,3.34e-05,3.565e-05,621764108993.0,37014
2021-05-10T12:45:00.0000000Z,2021-05-10T13:00:00.0000000Z,2021-05-10T12:45:00.1900000Z,2021-05-10T12:59:59.8470000Z,3.568e-05,3.816e-05,3.186e-05,3.336e-05,492552078845.0,33684
2021-05-10T13:00:00.0000000Z,2021-05-10T13:15:00.0000000Z,2021-05-10T13:00:00.0450000Z,2021-05-10T13:14:59.9680000Z,3.339e-05,3.589e-05,3.154e-05,3.365e-05,270418721705.0,26911
2021-05-10T13:15:00.0000000Z,2021-05-10T13:30:00.0000000Z,2021-05-10T13:15:00.0200000Z,2021-05-10T13:29:59.9730000Z,3.365e-05,3.468e-05,3.213e-05,3.322e-05,240546451528.0,21105
2021-05-10T13:30:00.0000000Z,2021-05-10T13:45:00.0000000Z,2021-05-10T13:30:00.0980000Z,2021-05-10T13:44:59.9810000Z,3.322e-05,3.401e-05,2.999e-05,3.073e-05,254768460092.0,23112
2021-05-10T13:45:00.0000000Z,2021-05-10T14:00:00.0000000Z,2021-05-10T13:45:00.0090000Z,2021-05-10T13:59:59.9670000Z,3.083e-05,3.249e-05,2.888e-05,3.112e-05,292015892754.0,23002
2021-05-10T14:00:00.0000000Z,2021-05-10T14:15:00.0000000Z,2021-05-10T14:00:00.0350000Z,2021-05-10T14:14:59.4550000Z,3.096e-05,3.13e-05,2.84e-05,2.922e-05,230377435449.0,17568
2021-05-10T14:15:00.0000000Z,2021-05-10T14:30:00.0000000Z,2021-05-10T14:15:00.0750000Z,2021-05-10T14:29:59.9220000Z,2.921e-05,3.082e-05,2.862e-05,2.886e-05,198969607562.0,17764
2021-05-10T14:30:00.0000000Z,2021-05-10T14:45:00.0000000Z,2021-05-10T14:30:00.1540000Z,2021-05-10T14:44:59.7270000Z,2.883e-05,2.918e-05,2.781e-05,2.808e-05,167883085080.0,15521
2021-05-10T14:45:00.0000000Z,2021-05-10T15:00:00.0000000Z,2021-05-10T14:45:00.0860000Z,2021-05-10T14:59:59.7620000Z,2.808e-05,3e-05,2.807e-05,2.943e-05,170916753231.0,14729
2021-05-10T15:00:00.0000000Z,2021-05-10T15:15:00.0000000Z,2021-05-10T15:00:00.1430000Z,2021-05-10T15:14:59.8800000Z,2.943e-05,3.115e-05,2.911e-05,3.071e-05,182976617285.0,14358
2021-05-10T15:15:00.0000000Z,2021-05-10T15:30:00.0000000Z,2021-05-10T15:15:00.3410000Z,2021-05-10T15:29:59.8460000Z,3.069e-05,3.078e-05,2.941e-05,2.997e-05,141903568231.0,12564
2021-05-10T15:30:00.0000000Z,2021-05-10T15:45:00.0000000Z,2021-05-10T15:30:00.2500000Z,2021-05-10T15:44:59.9410000Z,2.992e-05,3.014e-05,2.953e-05,2.968e-05,105260224461.0,8208
2021-05-10T15:45:00.0000000Z,2021-05-10T16:00:00.0000000Z,2021-05-10T15:45:00.1010000Z,2021-05-10T15:59:59.3140000Z,2.968e-05,2.973e-05,2.888e-05,2.929e-05,107220502920.0,9366
2021-05-10T16:00:00.0000000Z,2021-05-10T16:15:00.0000000Z,2021-05-10T16:00:00.0360000Z,2021-05-10T16:14:59.9330000Z,2.926e-05,2.935e-05,2.6e-05,2.717e-05,223180418277.0,16493
