time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-24T10:00:00.0000000Z,2021-09-24T10:15:00.0000000Z,2021-09-24T10:08:59.0610000Z,2021-09-24T10:13:22.3250000Z,1.239,1.262,1.239,1.262,5342.2,9
2021-09-24T10:15:00.0000000Z,2021-09-24T10:30:00.0000000Z,2021-09-24T10:15:54.6390000Z,2021-09-24T10:29:59.6000000Z,1.25,1.306,1.241,1.241,21539.8,68
2021-09-24T10:30:00.0000000Z,2021-09-24T10:45:00.0000000Z,2021-09-24T10:32:00.4030000Z,2021-09-24T10:42:40.8330000Z,1.241,1.248,1.24,1.248,225.6,3
2021-09-24T10:45:00.0000000Z,2021-09-24T11:00:00.0000000Z,2021-09-24T10:46:09.5450000Z,2021-09-24T10:58:17.1600000Z,1.235,1.235,1.229,1.232,745.5,10
2021-09-24T11:00:00.0000000Z,2021-09-24T11:15:00.0000000Z,2021-09-24T11:01:20.3600000Z,2021-09-24T11:13:23.8270000Z,1.235,1.235,1.186,1.186,2236.4,22
2021-09-24T11:15:00.0000000Z,2021-09-24T11:30:00.0000000Z,2021-09-24T11:15:12.9360000Z,2021-09-24T11:28:42.1440000Z,1.188,1.238,1.188,1.231,7168.2,42
2021-09-24T11:30:00.0000000Z,2021-09-24T11:45:00.0000000Z,2021-09-24T11:32:41.6000000Z,2021-09-24T11:43:43.7910000Z,1.226,1.257,1.208,1.234,4066.9,68
2021-09-24T11:45:00.0000000Z,2021-09-24T12:00:00.0000000Z,2021-09-24T11:58:47.6610000Z,2021-09-24T11:59:57.4550000Z,1.24,1.243,1.24,1.243,1888.5,20
2021-09-24T12:00:00.0000000Z,2021-09-24T12:15:00.0000000Z,2021-09-24T12:06:11.7550000Z,2021-09-24T12:14:39.5020000Z,1.226,1.244,1.216,1.216,3438.1,10
2021-09-24T12:15:00.0000000Z,2021-09-24T12:30:00.0000000Z,2021-09-24T12:15:09.2170000Z,2021-09-24T12:26:55.0940000Z,1.229,1.231,1.211,1.231,2012.2,53
2021-09-24T12:30:00.0000000Z,2021-09-24T12:45:00.0000000Z,2021-09-24T12:31:12.9920000Z,2021-09-24T12:44:19.0150000Z,1.229,1.233,1.224,1.233,1075.1,25
2021-09-24T12:45:00.0000000Z,2021-09-24T13:00:00.0000000Z,2021-09-24T12:51:02.2570000Z,2021-09-24T12:59:57.8890000Z,1.225,1.255,1.217,1.255,2441.9,43
2021-09-24T13:00:00.0000000Z,2021-09-24T13:15:00.0000000Z,2021-09-24T13:00:08.0970000Z,2021-09-24T13:14:49.0830000Z,1.224,1.224,1.216,1.218,9317.1,41
2021-09-24T13:15:00.0000000Z,2021-09-24T13:30:00.0000000Z,2021-09-24T13:16:21.8830000Z,2021-09-24T13:28:28.4410000Z,1.228,1.228,1.213,1.221,671.9,5
2021-09-24T13:30:00.0000000Z,2021-09-24T13:45:00.0000000Z,2021-09-24T13:30:54.1430000Z,2021-09-24T13:40:51.1080000Z,1.224,1.26,1.224,1.251,1448.8,25
2021-09-24T13:45:00.0000000Z,2021-09-24T14:00:00.0000000Z,2021-09-24T13:45:56.1990000Z,2021-09-24T13:49:46.8550000Z,1.245,1.253,1.243,1.253,1575.8,43
2021-09-24T14:00:00.0000000Z,2021-09-24T14:15:00.0000000Z,2021-09-24T14:01:44.8950000Z,2021-09-24T14:05:52.2440000Z,1.253,1.267,1.253,1.267,961.4,21
2021-09-24T14:15:00.0000000Z,2021-09-24T14:30:00.0000000Z,2021-09-24T14:15:06.9360000Z,2021-09-24T14:29:29.1800000Z,1.267,1.283,1.259,1.283,6154.0,13
2021-09-24T14:30:00.0000000Z,2021-09-24T14:45:00.0000000Z,2021-09-24T14:44:49.6170000Z,2021-09-24T14:44:49.6170000Z,1.284,1.284,1.284,1.284,773.2,1
2021-09-24T14:45:00.0000000Z,2021-09-24T15:00:00.0000000Z,2021-09-24T14:47:08.9160000Z,2021-09-24T14:59:10.4350000Z,1.282,1.288,1.281,1.284,3770.8,8
2021-09-24T15:00:00.0000000Z,2021-09-24T15:15:00.0000000Z,2021-09-24T15:04:54.1330000Z,2021-09-24T15:12:33.1650000Z,1.284,1.284,1.27,1.272,2171.1,4
2021-09-24T15:15:00.0000000Z,2021-09-24T15:30:00.0000000Z,2021-09-24T15:21:33.6750000Z,2021-09-24T15:28:01.0890000Z,1.266,1.276,1.265,1.276,3320.7,3
2021-09-24T15:30:00.0000000Z,2021-09-24T15:45:00.0000000Z,2021-09-24T15:31:55.2330000Z,2021-09-24T15:33:05.5630000Z,1.275,1.275,1.264,1.264,6601.7,9
2021-09-24T15:45:00.0000000Z,2021-09-24T16:00:00.0000000Z,2021-09-24T15:59:49.4380000Z,2021-09-24T15:59:49.4380000Z,1.261,1.261,1.261,1.261,10.7,1
