time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-25T10:00:00.0000000Z,2021-03-25T10:15:00.0000000Z,2021-03-25T10:00:00.0000000Z,2021-03-25T10:14:56.0920000Z,2.71,4.0,2.131,2.255,558528.392,5565
2021-03-25T10:15:00.0000000Z,2021-03-25T10:30:00.0000000Z,2021-03-25T10:15:02.0100000Z,2021-03-25T10:29:59.9910000Z,2.25,2.34,2.154,2.215,139521.561,1130
2021-03-25T10:30:00.0000000Z,2021-03-25T10:45:00.0000000Z,2021-03-25T10:30:00.0110000Z,2021-03-25T10:44:56.1250000Z,2.216,2.29,2.085,2.15,150457.682,613
2021-03-25T10:45:00.0000000Z,2021-03-25T11:00:00.0000000Z,2021-03-25T10:45:05.5850000Z,2021-03-25T10:59:59.4530000Z,2.12,2.331,2.12,2.284,96562.211,380
2021-03-25T11:00:00.0000000Z,2021-03-25T11:15:00.0000000Z,2021-03-25T11:00:09.1670000Z,2021-03-25T11:14:53.9970000Z,2.274,2.367,2.26,2.31,47359.823,321
2021-03-25T11:15:00.0000000Z,2021-03-25T11:30:00.0000000Z,2021-03-25T11:15:12.7010000Z,2021-03-25T11:29:24.6290000Z,2.309,2.319,2.211,2.28,13620.29,116
2021-03-25T11:30:00.0000000Z,2021-03-25T11:45:00.0000000Z,2021-03-25T11:30:26.4990000Z,2021-03-25T11:44:45.3510000Z,2.272,2.323,2.26,2.296,20105.367,106
2021-03-25T11:45:00.0000000Z,2021-03-25T12:00:00.0000000Z,2021-03-25T11:45:07.4450000Z,2021-03-25T11:59:58.2900000Z,2.297,2.365,2.242,2.316,10610.536,188
2021-03-25T12:00:00.0000000Z,2021-03-25T12:15:00.0000000Z,2021-03-25T12:00:01.3670000Z,2021-03-25T12:14:56.0030000Z,2.321,2.321,2.1,2.127,35170.614,296
2021-03-25T12:15:00.0000000Z,2021-03-25T12:30:00.0000000Z,2021-03-25T12:15:04.3990000Z,2021-03-25T12:29:22.0740000Z,2.122,2.177,1.937,1.971,48103.604,403
2021-03-25T12:30:00.0000000Z,2021-03-25T12:45:00.0000000Z,2021-03-25T12:30:09.5450000Z,2021-03-25T12:44:46.8820000Z,2.0,2.173,1.944,2.156,50809.09,417
2021-03-25T12:45:00.0000000Z,2021-03-25T13:00:00.0000000Z,2021-03-25T12:45:17.8540000Z,2021-03-25T12:59:52.4660000Z,2.177,2.181,2.081,2.117,77649.524,298
2021-03-25T13:00:00.0000000Z,2021-03-25T13:15:00.0000000Z,2021-03-25T13:00:00.9950000Z,2021-03-25T13:14:54.6430000Z,2.153,2.18,2.082,2.082,30106.35,201
2021-03-25T13:15:00.0000000Z,2021-03-25T13:30:00.0000000Z,2021-03-25T13:15:05.2360000Z,2021-03-25T13:29:40.1300000Z,2.082,2.161,2.05,2.161,33758.557,189
2021-03-25T13:30:00.0000000Z,2021-03-25T13:45:00.0000000Z,2021-03-25T13:30:01.4100000Z,2021-03-25T13:44:57.8110000Z,2.152,2.32,2.138,2.299,55420.888,575
2021-03-25T13:45:00.0000000Z,2021-03-25T14:00:00.0000000Z,2021-03-25T13:45:04.8110000Z,2021-03-25T13:59:43.1310000Z,2.3,2.33,2.231,2.313,20207.097,155
2021-03-25T14:00:00.0000000Z,2021-03-25T14:15:00.0000000Z,2021-03-25T14:00:19.3250000Z,2021-03-25T14:14:55.5670000Z,2.3,2.9,2.268,2.428,58174.589,732
2021-03-25T14:15:00.0000000Z,2021-03-25T14:30:00.0000000Z,2021-03-25T14:15:00.7190000Z,2021-03-25T14:29:56.3230000Z,2.418,2.458,2.285,2.325,53527.214,454
2021-03-25T14:30:00.0000000Z,2021-03-25T14:45:00.0000000Z,2021-03-25T14:30:28.9460000Z,2021-03-25T14:44:25.6520000Z,2.325,2.457,2.31,2.387,29264.114,251
2021-03-25T14:45:00.0000000Z,2021-03-25T15:00:00.0000000Z,2021-03-25T14:45:01.5070000Z,2021-03-25T14:59:49.6750000Z,2.377,2.377,2.295,2.341,9432.504,121
2021-03-25T15:00:00.0000000Z,2021-03-25T15:15:00.0000000Z,2021-03-25T15:00:13.0320000Z,2021-03-25T15:14:20.5650000Z,2.341,2.411,2.262,2.262,10119.86,140
2021-03-25T15:15:00.0000000Z,2021-03-25T15:30:00.0000000Z,2021-03-25T15:15:10.7220000Z,2021-03-25T15:29:19.0070000Z,2.263,2.355,2.24,2.316,19563.382,208
2021-03-25T15:30:00.0000000Z,2021-03-25T15:45:00.0000000Z,2021-03-25T15:30:03.0100000Z,2021-03-25T15:44:20.8340000Z,2.306,2.346,2.258,2.272,14658.86,78
2021-03-25T15:45:00.0000000Z,2021-03-25T16:00:00.0000000Z,2021-03-25T15:46:09.0710000Z,2021-03-25T15:59:58.8050000Z,2.272,2.306,2.258,2.272,4224.272,57
2021-03-25T16:00:00.0000000Z,2021-03-25T16:15:00.0000000Z,2021-03-25T16:00:17.1760000Z,2021-03-25T16:14:50.0750000Z,2.264,2.31,2.259,2.285,9937.04,153
2021-03-25T16:15:00.0000000Z,2021-03-25T16:30:00.0000000Z,2021-03-25T16:16:00.4570000Z,2021-03-25T16:29:56.4900000Z,2.294,2.411,2.285,2.3,13971.628,165
2021-03-25T16:30:00.0000000Z,2021-03-25T16:45:00.0000000Z,2021-03-25T16:30:06.9760000Z,2021-03-25T16:44:34.0770000Z,2.315,2.41,2.27,2.3,8303.549,88
2021-03-25T16:45:00.0000000Z,2021-03-25T17:00:00.0000000Z,2021-03-25T16:45:21.4040000Z,2021-03-25T16:58:39.9090000Z,2.307,2.34,2.25,2.296,11245.769,96
2021-03-25T17:00:00.0000000Z,2021-03-25T17:15:00.0000000Z,2021-03-25T17:00:06.9010000Z,2021-03-25T17:14:14.1380000Z,2.311,2.4,2.276,2.397,7172.951,137
2021-03-25T17:15:00.0000000Z,2021-03-25T17:30:00.0000000Z,2021-03-25T17:15:00.0150000Z,2021-03-25T17:29:55.4320000Z,2.397,2.55,2.397,2.465,14118.138,154
2021-03-25T17:30:00.0000000Z,2021-03-25T17:45:00.0000000Z,2021-03-25T17:30:09.0740000Z,2021-03-25T17:44:29.7970000Z,2.46,2.487,2.37,2.428,7762.806,129
