time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-24T10:00:00.0000000Z,2021-09-24T10:15:00.0000000Z,2021-09-24T10:08:51.3040000Z,2021-09-24T10:14:58.2190000Z,0.3014,0.309,0.3003,0.3089,190986.0,290
2021-09-24T10:15:00.0000000Z,2021-09-24T10:30:00.0000000Z,2021-09-24T10:15:01.1400000Z,2021-09-24T10:29:57.2790000Z,0.309,0.309,0.2968,0.2975,554843.0,505
2021-09-24T10:30:00.0000000Z,2021-09-24T10:45:00.0000000Z,2021-09-24T10:30:04.9050000Z,2021-09-24T10:44:54.3590000Z,0.2975,0.298,0.2876,0.29,425718.0,520
2021-09-24T10:45:00.0000000Z,2021-09-24T11:00:00.0000000Z,2021-09-24T10:45:02.6200000Z,2021-09-24T10:59:59.5090000Z,0.2894,0.3059,0.2892,0.3,834936.0,919
2021-09-24T11:00:00.0000000Z,2021-09-24T11:15:00.0000000Z,2021-09-24T11:00:05.3600000Z,2021-09-24T11:14:58.6330000Z,0.3,0.32,0.2963,0.2985,1657801.0,1533
2021-09-24T11:15:00.0000000Z,2021-09-24T11:30:00.0000000Z,2021-09-24T11:15:00.7370000Z,2021-09-24T11:29:58.3770000Z,0.2983,0.3029,0.293,0.2996,352324.0,459
2021-09-24T11:30:00.0000000Z,2021-09-24T11:45:00.0000000Z,2021-09-24T11:30:09.7760000Z,2021-09-24T11:44:38.2680000Z,0.2995,0.3016,0.296,0.2968,241182.0,239
2021-09-24T11:45:00.0000000Z,2021-09-24T12:00:00.0000000Z,2021-09-24T11:45:11.5370000Z,2021-09-24T11:59:58.6130000Z,0.2971,0.3015,0.2938,0.2981,345476.0,236
2021-09-24T12:00:00.0000000Z,2021-09-24T12:15:00.0000000Z,2021-09-24T12:00:03.5560000Z,2021-09-24T12:14:57.9760000Z,0.298,0.308,0.2951,0.3052,266306.0,331
2021-09-24T12:15:00.0000000Z,2021-09-24T12:30:00.0000000Z,2021-09-24T12:15:10.2410000Z,2021-09-24T12:29:55.2320000Z,0.3044,0.308,0.3005,0.3049,170374.0,240
2021-09-24T12:30:00.0000000Z,2021-09-24T12:45:00.0000000Z,2021-09-24T12:30:01.4500000Z,2021-09-24T12:44:47.8230000Z,0.305,0.3056,0.299,0.2993,142249.0,178
2021-09-24T12:45:00.0000000Z,2021-09-24T13:00:00.0000000Z,2021-09-24T12:45:05.5000000Z,2021-09-24T12:59:59.7910000Z,0.2993,0.3037,0.29,0.2932,416974.0,486
2021-09-24T13:00:00.0000000Z,2021-09-24T13:15:00.0000000Z,2021-09-24T13:00:04.7340000Z,2021-09-24T13:14:59.3650000Z,0.2937,0.307,0.2909,0.2944,351340.0,371
2021-09-24T13:15:00.0000000Z,2021-09-24T13:30:00.0000000Z,2021-09-24T13:15:02.9450000Z,2021-09-24T13:29:59.5840000Z,0.2944,0.3008,0.2924,0.2925,119934.0,186
2021-09-24T13:30:00.0000000Z,2021-09-24T13:45:00.0000000Z,2021-09-24T13:30:00.2250000Z,2021-09-24T13:44:59.3480000Z,0.2926,0.3033,0.292,0.3025,343388.0,358
2021-09-24T13:45:00.0000000Z,2021-09-24T14:00:00.0000000Z,2021-09-24T13:45:05.7880000Z,2021-09-24T13:59:54.9200000Z,0.3021,0.3149,0.302,0.305,2106493.0,1667
2021-09-24T14:00:00.0000000Z,2021-09-24T14:15:00.0000000Z,2021-09-24T14:00:08.5420000Z,2021-09-24T14:14:57.7810000Z,0.305,0.3187,0.3048,0.3126,578971.0,640
