time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-13T06:00:00.0000000Z,2021-04-13T06:15:00.0000000Z,2021-04-13T06:00:59.2960000Z,2021-04-13T06:14:05.7690000Z,1.6498,1.88,1.1861,1.3098,9547760.33,38527
2021-04-13T11:15:00.0000000Z,2021-04-13T11:30:00.0000000Z,2021-04-13T11:20:47.2640000Z,2021-04-13T11:29:57.3380000Z,0.5844,0.5896,0.5653,0.5712,724893.73,1209
2021-04-13T11:30:00.0000000Z,2021-04-13T11:45:00.0000000Z,2021-04-13T11:30:00.3400000Z,2021-04-13T11:44:58.8500000Z,0.5728,0.59,0.5435,0.5658,1384302.52,2176
2021-04-13T11:45:00.0000000Z,2021-04-13T12:00:00.0000000Z,2021-04-13T11:45:00.5780000Z,2021-04-13T11:59:59.8410000Z,0.5657,0.5727,0.5541,0.5552,864889.54,1308
2021-04-13T12:00:00.0000000Z,2021-04-13T12:15:00.0000000Z,2021-04-13T12:00:00.0430000Z,2021-04-13T12:14:59.9220000Z,0.5552,0.567,0.5428,0.5451,940005.32,1431
2021-04-13T12:15:00.0000000Z,2021-04-13T12:30:00.0000000Z,2021-04-13T12:15:00.3400000Z,2021-04-13T12:29:59.1470000Z,0.544,0.5554,0.5304,0.544,1062768.23,1753
2021-04-13T12:30:00.0000000Z,2021-04-13T12:45:00.0000000Z,2021-04-13T12:30:00.0250000Z,2021-04-13T12:44:59.4670000Z,0.5447,0.5628,0.531,0.554,1064652.45,1769
2021-04-13T12:45:00.0000000Z,2021-04-13T13:00:00.0000000Z,2021-04-13T12:45:00.2160000Z,2021-04-13T12:59:59.7430000Z,0.5543,0.57,0.5538,0.5691,804765.17,1245
2021-04-13T13:00:00.0000000Z,2021-04-13T13:15:00.0000000Z,2021-04-13T13:00:01.4340000Z,2021-04-13T13:14:49.2590000Z,0.567,0.5777,0.5447,0.5752,433778.43,1047
2021-04-13T13:15:00.0000000Z,2021-04-13T13:30:00.0000000Z,2021-04-13T13:15:00.0450000Z,2021-04-13T13:29:59.5660000Z,0.5771,0.5888,0.5641,0.5768,1083520.86,1782
2021-04-13T13:30:00.0000000Z,2021-04-13T13:45:00.0000000Z,2021-04-13T13:30:01.5950000Z,2021-04-13T13:44:59.5860000Z,0.5772,0.6033,0.5734,0.5758,1238888.56,2393
2021-04-13T13:45:00.0000000Z,2021-04-13T14:00:00.0000000Z,2021-04-13T13:45:00.0540000Z,2021-04-13T13:59:58.8540000Z,0.5757,0.5868,0.56,0.56,840530.74,1579
2021-04-13T14:00:00.0000000Z,2021-04-13T14:15:00.0000000Z,2021-04-13T14:00:00.4240000Z,2021-04-13T14:14:44.0920000Z,0.56,0.5785,0.5573,0.5714,462400.66,1075
2021-04-13T14:15:00.0000000Z,2021-04-13T14:30:00.0000000Z,2021-04-13T14:15:00.0590000Z,2021-04-13T14:29:59.5920000Z,0.5719,0.575,0.55,0.5565,568416.43,1305
2021-04-13T14:30:00.0000000Z,2021-04-13T14:45:00.0000000Z,2021-04-13T14:30:01.1620000Z,2021-04-13T14:44:54.6980000Z,0.5551,0.5598,0.5365,0.5419,651856.49,1270
2021-04-13T14:45:00.0000000Z,2021-04-13T15:00:00.0000000Z,2021-04-13T14:45:04.8870000Z,2021-04-13T14:59:59.5450000Z,0.5422,0.5599,0.5421,0.5483,361706.59,914
2021-04-13T15:00:00.0000000Z,2021-04-13T15:15:00.0000000Z,2021-04-13T15:00:00.1120000Z,2021-04-13T15:14:58.7190000Z,0.5482,0.5553,0.54,0.5551,597844.92,1074
2021-04-13T15:15:00.0000000Z,2021-04-13T15:30:00.0000000Z,2021-04-13T15:15:02.8110000Z,2021-04-13T15:29:58.3360000Z,0.5552,0.5686,0.545,0.5488,683738.72,1515
2021-04-13T15:30:00.0000000Z,2021-04-13T15:45:00.0000000Z,2021-04-13T15:30:00.2820000Z,2021-04-13T15:44:58.6800000Z,0.5489,0.5548,0.536,0.5417,500518.96,1050
2021-04-13T15:45:00.0000000Z,2021-04-13T16:00:00.0000000Z,2021-04-13T15:45:00.1640000Z,2021-04-13T15:59:56.1730000Z,0.543,0.548,0.537,0.5479,596961.64,850
2021-04-13T16:00:00.0000000Z,2021-04-13T16:15:00.0000000Z,2021-04-13T16:00:00.0450000Z,2021-04-13T16:14:57.4720000Z,0.548,0.5495,0.52,0.528,533667.38,1279
2021-04-13T16:15:00.0000000Z,2021-04-13T16:30:00.0000000Z,2021-04-13T16:15:03.3550000Z,2021-04-13T16:29:56.9920000Z,0.528,0.5288,0.5027,0.515,914495.49,1765
2021-04-13T16:30:00.0000000Z,2021-04-13T16:45:00.0000000Z,2021-04-13T16:30:09.7050000Z,2021-04-13T16:44:57.6410000Z,0.5148,0.528,0.508,0.509,412412.46,1084
2021-04-13T16:45:00.0000000Z,2021-04-13T17:00:00.0000000Z,2021-04-13T16:45:00.6200000Z,2021-04-13T16:59:59.9050000Z,0.5086,0.5214,0.5017,0.5131,432719.26,954
2021-04-13T17:00:00.0000000Z,2021-04-13T17:15:00.0000000Z,2021-04-13T17:00:00.9980000Z,2021-04-13T17:14:58.1000000Z,0.5132,0.5298,0.5104,0.5278,287537.77,649
2021-04-13T17:15:00.0000000Z,2021-04-13T17:30:00.0000000Z,2021-04-13T17:15:00.2610000Z,2021-04-13T17:29:56.3550000Z,0.5282,0.5298,0.5057,0.5076,374927.54,792
2021-04-13T17:30:00.0000000Z,2021-04-13T17:45:00.0000000Z,2021-04-13T17:30:03.8520000Z,2021-04-13T17:44:56.9430000Z,0.5076,0.5243,0.502,0.514,873075.08,1041
2021-04-13T17:45:00.0000000Z,2021-04-13T18:00:00.0000000Z,2021-04-13T17:45:00.2080000Z,2021-04-13T17:59:59.1890000Z,0.515,0.5223,0.506,0.5092,527685.24,663
2021-04-13T18:00:00.0000000Z,2021-04-13T18:15:00.0000000Z,2021-04-13T18:00:20.3290000Z,2021-04-13T18:14:58.9490000Z,0.5101,0.52,0.5034,0.5137,613248.89,863
2021-04-13T18:15:00.0000000Z,2021-04-13T18:30:00.0000000Z,2021-04-13T18:15:00.7630000Z,2021-04-13T18:29:59.4590000Z,0.5115,0.5183,0.506,0.5064,273130.17,454
2021-04-13T18:30:00.0000000Z,2021-04-13T18:45:00.0000000Z,2021-04-13T18:30:31.0690000Z,2021-04-13T18:44:59.6440000Z,0.5065,0.5198,0.505,0.5078,333200.24,488
2021-04-13T18:45:00.0000000Z,2021-04-13T19:00:00.0000000Z,2021-04-13T18:45:00.0400000Z,2021-04-13T18:59:51.6280000Z,0.506,0.525,0.5052,0.5174,337082.91,700
2021-04-13T19:00:00.0000000Z,2021-04-13T19:15:00.0000000Z,2021-04-13T19:00:09.9520000Z,2021-04-13T19:14:58.4220000Z,0.5185,0.5198,0.507,0.5133,219139.03,630
2021-04-13T19:15:00.0000000Z,2021-04-13T19:30:00.0000000Z,2021-04-13T19:15:10.8140000Z,2021-04-13T19:29:56.7580000Z,0.5141,0.5212,0.51,0.5179,185944.82,465
2021-04-13T19:30:00.0000000Z,2021-04-13T19:45:00.0000000Z,2021-04-13T19:30:01.3290000Z,2021-04-13T19:44:57.2370000Z,0.516,0.5476,0.515,0.5369,604427.72,1226
2021-04-13T19:45:00.0000000Z,2021-04-13T20:00:00.0000000Z,2021-04-13T19:45:05.0530000Z,2021-04-13T19:59:58.9380000Z,0.5377,0.5538,0.53,0.5442,609724.58,1204
2021-04-13T20:00:00.0000000Z,2021-04-13T20:15:00.0000000Z,2021-04-13T20:00:00.6380000Z,2021-04-13T20:14:59.8280000Z,0.5442,0.589,0.544,0.5651,1039166.5,2167
2021-04-13T20:15:00.0000000Z,2021-04-13T20:30:00.0000000Z,2021-04-13T20:15:00.1270000Z,2021-04-13T20:29:58.7710000Z,0.5691,0.5959,0.558,0.593,695519.13,1909
2021-04-13T20:30:00.0000000Z,2021-04-13T20:45:00.0000000Z,2021-04-13T20:30:02.4590000Z,2021-04-13T20:44:59.7360000Z,0.5931,0.6699,0.585,0.6386,2163313.07,4336
2021-04-13T20:45:00.0000000Z,2021-04-13T21:00:00.0000000Z,2021-04-13T20:45:01.1890000Z,2021-04-13T20:59:58.7630000Z,0.6386,0.6846,0.6368,0.6525,1857411.45,3488
2021-04-13T21:00:00.0000000Z,2021-04-13T21:15:00.0000000Z,2021-04-13T21:00:00.1440000Z,2021-04-13T21:14:59.8170000Z,0.6574,0.6574,0.595,0.6249,1746437.28,3565
2021-04-13T21:15:00.0000000Z,2021-04-13T21:30:00.0000000Z,2021-04-13T21:15:00.1670000Z,2021-04-13T21:29:59.3870000Z,0.6227,0.63,0.5851,0.601,996290.07,2175
2021-04-13T21:30:00.0000000Z,2021-04-13T21:45:00.0000000Z,2021-04-13T21:30:00.0510000Z,2021-04-13T21:44:54.8960000Z,0.6029,0.6294,0.594,0.613,598600.84,1686
2021-04-13T21:45:00.0000000Z,2021-04-13T22:00:00.0000000Z,2021-04-13T21:45:00.6680000Z,2021-04-13T21:59:56.2910000Z,0.611,0.6478,0.595,0.6379,754324.11,1761
2021-04-13T22:00:00.0000000Z,2021-04-13T22:15:00.0000000Z,2021-04-13T22:00:01.4290000Z,2021-04-13T22:08:23.7030000Z,0.638,0.6587,0.625,0.63,388885.94,1073
2021-04-14T00:00:00.0000000Z,2021-04-14T00:15:00.0000000Z,2021-04-14T00:00:00.4900000Z,2021-04-14T00:14:59.3790000Z,0.7296,0.799,0.7273,0.7811,1702104.0,3157
2021-04-14T00:15:00.0000000Z,2021-04-14T00:30:00.0000000Z,2021-04-14T00:15:01.4820000Z,2021-04-14T00:29:59.3910000Z,0.7822,0.9386,0.781,0.8154,4773289.49,8331
2021-04-14T00:30:00.0000000Z,2021-04-14T00:45:00.0000000Z,2021-04-14T00:30:00.0700000Z,2021-04-14T00:44:58.6150000Z,0.8121,0.8896,0.8118,0.8409,1967432.47,4358
2021-04-14T00:45:00.0000000Z,2021-04-14T01:00:00.0000000Z,2021-04-14T00:45:00.9560000Z,2021-04-14T00:59:58.3180000Z,0.8413,0.8413,0.7448,0.8334,2993235.73,4309
2021-04-14T01:00:00.0000000Z,2021-04-14T01:15:00.0000000Z,2021-04-14T01:00:01.0160000Z,2021-04-14T01:14:59.5990000Z,0.8341,0.89,0.7737,0.8165,1815295.91,3963
2021-04-14T01:15:00.0000000Z,2021-04-14T01:30:00.0000000Z,2021-04-14T01:15:04.2380000Z,2021-04-14T01:29:55.4160000Z,0.814,0.88,0.7934,0.8605,1459478.9,3612
2021-04-14T01:30:00.0000000Z,2021-04-14T01:45:00.0000000Z,2021-04-14T01:30:00.0850000Z,2021-04-14T01:44:59.0120000Z,0.8625,0.95,0.8085,0.8733,2672638.03,5982
2021-04-14T01:45:00.0000000Z,2021-04-14T02:00:00.0000000Z,2021-04-14T01:45:00.4050000Z,2021-04-14T01:59:57.9730000Z,0.8707,0.93,0.8261,0.8964,1542991.92,3782
2021-04-14T02:00:00.0000000Z,2021-04-14T02:15:00.0000000Z,2021-04-14T02:00:00.9040000Z,2021-04-14T02:14:59.6250000Z,0.8954,0.8965,0.83,0.8306,1170000.14,2326
2021-04-14T02:15:00.0000000Z,2021-04-14T02:30:00.0000000Z,2021-04-14T02:15:00.1250000Z,2021-04-14T02:29:58.7930000Z,0.8305,0.8689,0.83,0.86,1165956.5,1967
2021-04-14T02:30:00.0000000Z,2021-04-14T02:45:00.0000000Z,2021-04-14T02:30:04.6950000Z,2021-04-14T02:44:59.3220000Z,0.8599,0.8745,0.8,0.8061,848310.98,1758
2021-04-14T02:45:00.0000000Z,2021-04-14T03:00:00.0000000Z,2021-04-14T02:45:00.7320000Z,2021-04-14T02:59:57.8790000Z,0.806,0.845,0.7835,0.8377,1190378.13,2356
2021-04-14T03:00:00.0000000Z,2021-04-14T03:15:00.0000000Z,2021-04-14T03:00:00.5810000Z,2021-04-14T03:14:59.8110000Z,0.8377,0.8386,0.7938,0.7951,777468.82,1432
2021-04-14T03:15:00.0000000Z,2021-04-14T03:30:00.0000000Z,2021-04-14T03:15:00.8190000Z,2021-04-14T03:29:59.7540000Z,0.7947,0.8148,0.7654,0.7832,678195.71,1414
2021-04-14T03:30:00.0000000Z,2021-04-14T03:45:00.0000000Z,2021-04-14T03:30:02.0760000Z,2021-04-14T03:44:59.3990000Z,0.7812,0.7925,0.7358,0.737,996567.53,1826
2021-04-14T03:45:00.0000000Z,2021-04-14T04:00:00.0000000Z,2021-04-14T03:45:00.8270000Z,2021-04-14T03:59:59.0370000Z,0.7367,0.7683,0.7041,0.7123,1068205.5,1613
2021-04-14T04:00:00.0000000Z,2021-04-14T04:15:00.0000000Z,2021-04-14T04:00:00.4800000Z,2021-04-14T04:14:55.7280000Z,0.7072,0.7441,0.707,0.73,709772.39,1183
2021-04-14T04:15:00.0000000Z,2021-04-14T04:30:00.0000000Z,2021-04-14T04:15:01.6090000Z,2021-04-14T04:29:59.5300000Z,0.7325,0.8198,0.7298,0.7898,1004871.08,1934
2021-04-14T04:30:00.0000000Z,2021-04-14T04:45:00.0000000Z,2021-04-14T04:30:01.1000000Z,2021-04-14T04:44:57.7420000Z,0.7897,0.7977,0.7519,0.783,799031.76,1637
2021-04-14T04:45:00.0000000Z,2021-04-14T05:00:00.0000000Z,2021-04-14T04:45:00.3720000Z,2021-04-14T04:59:59.8390000Z,0.7839,0.8,0.73,0.738,688404.21,1417
2021-04-14T05:00:00.0000000Z,2021-04-14T05:15:00.0000000Z,2021-04-14T05:00:00.4700000Z,2021-04-14T05:14:59.3620000Z,0.7381,0.7865,0.7362,0.7714,555182.44,1310
2021-04-14T05:15:00.0000000Z,2021-04-14T05:30:00.0000000Z,2021-04-14T05:15:00.9330000Z,2021-04-14T05:29:54.9410000Z,0.7722,0.7977,0.7629,0.7747,475326.96,1239
2021-04-14T05:30:00.0000000Z,2021-04-14T05:45:00.0000000Z,2021-04-14T05:30:00.6310000Z,2021-04-14T05:44:59.2300000Z,0.7736,0.7892,0.7455,0.7525,459666.15,980
2021-04-14T05:45:00.0000000Z,2021-04-14T06:00:00.0000000Z,2021-04-14T05:45:03.1810000Z,2021-04-14T05:59:51.3700000Z,0.7509,0.7688,0.7212,0.7342,582370.24,1113
