time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-11T06:00:00.0000000Z,2021-06-11T06:15:00.0000000Z,2021-06-11T06:14:44.0000000Z,2021-06-11T06:14:45.4640000Z,75.77,76.53,75.77,76.53,24.47,3
2021-06-11T06:15:00.0000000Z,2021-06-11T06:30:00.0000000Z,2021-06-11T06:15:24.4180000Z,2021-06-11T06:29:52.9810000Z,76.54,78.0,76.0,76.73,1127.16,270
2021-06-11T06:30:00.0000000Z,2021-06-11T06:45:00.0000000Z,2021-06-11T06:30:08.6550000Z,2021-06-11T06:44:59.6800000Z,77.89,79.5,76.22,78.45,915.76,228
2021-06-11T06:45:00.0000000Z,2021-06-11T07:00:00.0000000Z,2021-06-11T06:45:01.6120000Z,2021-06-11T06:59:49.0520000Z,78.45,79.19,75.72,76.11,547.05,131
2021-06-11T07:00:00.0000000Z,2021-06-11T07:15:00.0000000Z,2021-06-11T07:00:13.9680000Z,2021-06-11T07:14:56.2590000Z,76.11,77.91,75.0,76.42,1289.79,178
2021-06-11T07:15:00.0000000Z,2021-06-11T07:30:00.0000000Z,2021-06-11T07:15:07.1120000Z,2021-06-11T07:29:35.7530000Z,76.4,76.98,75.81,76.2,517.53,80
2021-06-11T07:30:00.0000000Z,2021-06-11T07:45:00.0000000Z,2021-06-11T07:30:05.3300000Z,2021-06-11T07:44:58.9790000Z,76.49,77.72,76.24,77.23,268.79,69
2021-06-11T07:45:00.0000000Z,2021-06-11T08:00:00.0000000Z,2021-06-11T07:45:11.2500000Z,2021-06-11T07:59:59.6570000Z,77.23,79.29,76.48,79.29,693.55,157
2021-06-11T08:00:00.0000000Z,2021-06-11T08:15:00.0000000Z,2021-06-11T08:00:02.9910000Z,2021-06-11T08:14:59.6110000Z,79.29,87.5,78.12,79.01,9958.23,1551
2021-06-11T08:15:00.0000000Z,2021-06-11T08:30:00.0000000Z,2021-06-11T08:15:06.7600000Z,2021-06-11T08:29:52.5980000Z,79.82,82.0,79.0,81.69,2691.68,499
2021-06-11T08:30:00.0000000Z,2021-06-11T08:45:00.0000000Z,2021-06-11T08:30:01.4910000Z,2021-06-11T08:44:52.5600000Z,81.65,83.89,80.98,81.9,3132.79,601
2021-06-11T08:45:00.0000000Z,2021-06-11T09:00:00.0000000Z,2021-06-11T08:45:03.4520000Z,2021-06-11T08:59:59.4000000Z,81.95,83.43,78.46,78.98,1906.67,506
2021-06-11T09:00:00.0000000Z,2021-06-11T09:15:00.0000000Z,2021-06-11T09:00:00.0610000Z,2021-06-11T09:14:53.6280000Z,79.95,80.68,75.55,77.55,1954.22,457
2021-06-11T09:15:00.0000000Z,2021-06-11T09:30:00.0000000Z,2021-06-11T09:15:18.0490000Z,2021-06-11T09:29:53.1060000Z,77.92,77.92,76.0,76.5,793.81,145
2021-06-11T09:30:00.0000000Z,2021-06-11T09:45:00.0000000Z,2021-06-11T09:30:00.9310000Z,2021-06-11T09:44:40.5750000Z,76.3,78.0,73.66,76.76,1385.06,315
2021-06-11T09:45:00.0000000Z,2021-06-11T10:00:00.0000000Z,2021-06-11T09:45:12.4240000Z,2021-06-11T09:59:43.5880000Z,77.59,77.67,74.5,74.96,548.0,125
2021-06-11T10:00:00.0000000Z,2021-06-11T10:15:00.0000000Z,2021-06-11T10:00:07.7670000Z,2021-06-11T10:14:33.9090000Z,74.95,76.48,74.04,75.8,381.49,83
2021-06-11T10:15:00.0000000Z,2021-06-11T10:30:00.0000000Z,2021-06-11T10:15:01.8950000Z,2021-06-11T10:29:50.3140000Z,75.88,77.88,74.69,77.33,1067.24,156
2021-06-11T10:30:00.0000000Z,2021-06-11T10:45:00.0000000Z,2021-06-11T10:30:02.6000000Z,2021-06-11T10:44:37.8980000Z,77.33,78.75,76.9,77.0,419.64,111
2021-06-11T10:45:00.0000000Z,2021-06-11T11:00:00.0000000Z,2021-06-11T10:45:22.9210000Z,2021-06-11T10:59:58.4790000Z,77.01,77.01,74.35,74.68,768.72,87
2021-06-11T11:00:00.0000000Z,2021-06-11T11:15:00.0000000Z,2021-06-11T11:00:09.0600000Z,2021-06-11T11:14:47.7080000Z,75.18,76.9,74.69,76.05,423.84,91
