time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-24T06:00:00.0000000Z,2021-08-24T06:15:00.0000000Z,2021-08-24T06:02:41.0310000Z,2021-08-24T06:14:59.6510000Z,0.9187,0.9478,0.8744,0.8746,16411840.0,24845
2021-08-24T06:15:00.0000000Z,2021-08-24T06:30:00.0000000Z,2021-08-24T06:15:00.0160000Z,2021-08-24T06:29:59.9170000Z,0.8746,0.9165,0.8746,0.916,7155669.0,11445
2021-08-24T06:30:00.0000000Z,2021-08-24T06:45:00.0000000Z,2021-08-24T06:30:00.1910000Z,2021-08-24T06:44:59.7750000Z,0.9158,0.9227,0.8827,0.8998,5340770.0,8950
2021-08-24T06:45:00.0000000Z,2021-08-24T07:00:00.0000000Z,2021-08-24T06:45:00.1800000Z,2021-08-24T06:59:59.7820000Z,0.8999,0.9009,0.8523,0.8575,3714288.0,7956
2021-08-24T07:00:00.0000000Z,2021-08-24T07:15:00.0000000Z,2021-08-24T07:00:00.0680000Z,2021-08-24T07:14:59.7380000Z,0.8571,0.884,0.857,0.873,3076945.0,6576
2021-08-24T07:15:00.0000000Z,2021-08-24T07:30:00.0000000Z,2021-08-24T07:15:00.1880000Z,2021-08-24T07:29:59.9900000Z,0.8732,0.8857,0.8593,0.86,2208882.0,6067
2021-08-24T07:30:00.0000000Z,2021-08-24T07:45:00.0000000Z,2021-08-24T07:30:00.1500000Z,2021-08-24T07:44:58.8630000Z,0.8597,0.87,0.8498,0.8634,2257659.0,5550
2021-08-24T07:45:00.0000000Z,2021-08-24T08:00:00.0000000Z,2021-08-24T07:45:01.0780000Z,2021-08-24T07:59:59.6210000Z,0.8635,0.8995,0.8595,0.8984,2598701.0,5467
2021-08-24T08:00:00.0000000Z,2021-08-24T08:15:00.0000000Z,2021-08-24T08:00:00.0960000Z,2021-08-24T08:14:59.9900000Z,0.898,0.899,0.8651,0.8698,2084501.0,5694
2021-08-24T08:15:00.0000000Z,2021-08-24T08:30:00.0000000Z,2021-08-24T08:15:00.1200000Z,2021-08-24T08:29:59.9330000Z,0.8698,0.903,0.8687,0.8917,2786995.0,6340
2021-08-24T08:30:00.0000000Z,2021-08-24T08:45:00.0000000Z,2021-08-24T08:30:00.0250000Z,2021-08-24T08:44:59.9920000Z,0.8917,0.9198,0.8877,0.9198,3974142.0,8414
