time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-24T06:00:00.0000000Z,2021-09-24T06:15:00.0000000Z,2021-09-24T06:08:45.4950000Z,2021-09-24T06:14:59.5700000Z,7.827,7.867,7.6,7.68,105001.9,2760
2021-09-24T06:15:00.0000000Z,2021-09-24T06:30:00.0000000Z,2021-09-24T06:15:00.0510000Z,2021-09-24T06:29:59.7640000Z,7.676,7.841,7.261,7.371,284244.5,7250
2021-09-24T06:30:00.0000000Z,2021-09-24T06:45:00.0000000Z,2021-09-24T06:30:00.0540000Z,2021-09-24T06:44:59.9800000Z,7.377,7.5,7.233,7.39,202303.0,4646
2021-09-24T06:45:00.0000000Z,2021-09-24T07:00:00.0000000Z,2021-09-24T06:45:01.0280000Z,2021-09-24T06:59:59.0470000Z,7.402,7.6,7.37,7.545,164626.3,4234
2021-09-24T07:00:00.0000000Z,2021-09-24T07:15:00.0000000Z,2021-09-24T07:00:00.0810000Z,2021-09-24T07:14:59.1750000Z,7.548,7.6,7.301,7.4,128995.2,3066
2021-09-24T07:15:00.0000000Z,2021-09-24T07:30:00.0000000Z,2021-09-24T07:15:00.5270000Z,2021-09-24T07:29:59.8580000Z,7.4,7.6,7.39,7.599,70170.6,2030
2021-09-24T07:30:00.0000000Z,2021-09-24T07:45:00.0000000Z,2021-09-24T07:30:00.0340000Z,2021-09-24T07:44:57.4410000Z,7.599,7.6,7.473,7.516,58570.9,1839
2021-09-24T07:45:00.0000000Z,2021-09-24T08:00:00.0000000Z,2021-09-24T07:45:02.4870000Z,2021-09-24T07:59:59.2490000Z,7.51,7.52,7.4,7.4,42983.3,1340
2021-09-24T08:00:00.0000000Z,2021-09-24T08:15:00.0000000Z,2021-09-24T08:00:01.4860000Z,2021-09-24T08:14:57.7170000Z,7.403,7.435,7.25,7.29,62785.7,1638
2021-09-24T08:15:00.0000000Z,2021-09-24T08:30:00.0000000Z,2021-09-24T08:15:02.6990000Z,2021-09-24T08:29:57.8980000Z,7.28,7.342,7.179,7.338,85216.2,2021
2021-09-24T08:30:00.0000000Z,2021-09-24T08:45:00.0000000Z,2021-09-24T08:30:00.1990000Z,2021-09-24T08:44:59.1040000Z,7.338,7.376,7.026,7.1,87072.0,2174
2021-09-24T08:45:00.0000000Z,2021-09-24T09:00:00.0000000Z,2021-09-24T08:45:00.2550000Z,2021-09-24T08:59:59.8370000Z,7.102,7.242,7.056,7.077,72700.1,1603
2021-09-24T09:00:00.0000000Z,2021-09-24T09:15:00.0000000Z,2021-09-24T09:00:00.1350000Z,2021-09-24T09:14:58.7480000Z,7.06,7.14,6.412,6.502,208416.3,4060
2021-09-24T09:15:00.0000000Z,2021-09-24T09:30:00.0000000Z,2021-09-24T09:15:00.4360000Z,2021-09-24T09:29:58.9740000Z,6.49,6.507,6.217,6.283,209079.5,2872
2021-09-24T09:30:00.0000000Z,2021-09-24T09:45:00.0000000Z,2021-09-24T09:30:00.1030000Z,2021-09-24T09:44:59.8920000Z,6.284,6.59,6.283,6.34,84561.0,1711
2021-09-24T09:45:00.0000000Z,2021-09-24T10:00:00.0000000Z,2021-09-24T09:45:01.9050000Z,2021-09-24T09:59:58.6920000Z,6.35,6.518,6.233,6.251,106859.7,1819
2021-09-24T10:00:00.0000000Z,2021-09-24T10:15:00.0000000Z,2021-09-24T10:00:00.5450000Z,2021-09-24T10:14:59.7840000Z,6.262,6.6,6.225,6.576,69148.0,1399
2021-09-24T10:15:00.0000000Z,2021-09-24T10:30:00.0000000Z,2021-09-24T10:15:00.5710000Z,2021-09-24T10:29:57.3060000Z,6.575,6.8,6.4,6.425,71157.2,1400
2021-09-24T10:30:00.0000000Z,2021-09-24T10:45:00.0000000Z,2021-09-24T10:30:00.2640000Z,2021-09-24T10:44:59.6570000Z,6.441,6.449,6.25,6.368,40968.6,933
2021-09-24T10:45:00.0000000Z,2021-09-24T11:00:00.0000000Z,2021-09-24T10:45:06.8830000Z,2021-09-24T10:59:57.6110000Z,6.373,6.519,6.301,6.5,50749.7,1220
2021-09-24T11:00:00.0000000Z,2021-09-24T11:15:00.0000000Z,2021-09-24T11:00:01.1750000Z,2021-09-24T11:14:58.1520000Z,6.5,6.63,6.211,6.211,100307.7,1994
2021-09-24T11:15:00.0000000Z,2021-09-24T11:30:00.0000000Z,2021-09-24T11:15:01.3410000Z,2021-09-24T11:29:41.5200000Z,6.211,6.473,6.007,6.302,76221.8,1530
2021-09-24T11:30:00.0000000Z,2021-09-24T11:45:00.0000000Z,2021-09-24T11:30:05.9400000Z,2021-09-24T11:44:55.1750000Z,6.302,6.444,6.151,6.416,51715.5,1153
2021-09-24T11:45:00.0000000Z,2021-09-24T12:00:00.0000000Z,2021-09-24T11:45:03.0960000Z,2021-09-24T11:59:59.8150000Z,6.416,6.64,6.363,6.57,62775.7,1155
2021-09-24T12:00:00.0000000Z,2021-09-24T12:15:00.0000000Z,2021-09-24T12:00:00.1130000Z,2021-09-24T12:14:58.1340000Z,6.566,6.574,6.3,6.375,39832.5,825
2021-09-24T12:15:00.0000000Z,2021-09-24T12:30:00.0000000Z,2021-09-24T12:15:01.0750000Z,2021-09-24T12:29:59.0340000Z,6.371,6.7,6.366,6.7,45590.7,852
2021-09-24T12:30:00.0000000Z,2021-09-24T12:45:00.0000000Z,2021-09-24T12:30:00.0940000Z,2021-09-24T12:44:59.5150000Z,6.69,7.287,6.604,7.104,222071.7,4560
2021-09-24T12:45:00.0000000Z,2021-09-24T13:00:00.0000000Z,2021-09-24T12:45:00.0710000Z,2021-09-24T12:59:59.8620000Z,7.133,7.133,6.666,6.84,147418.5,3237
2021-09-24T13:00:00.0000000Z,2021-09-24T13:15:00.0000000Z,2021-09-24T13:00:00.0510000Z,2021-09-24T13:14:58.6670000Z,6.84,7.033,6.596,6.844,106935.8,2515
2021-09-24T13:15:00.0000000Z,2021-09-24T13:30:00.0000000Z,2021-09-24T13:15:03.5120000Z,2021-09-24T13:29:58.7670000Z,6.844,6.934,6.57,6.679,59638.3,1557
2021-09-24T13:30:00.0000000Z,2021-09-24T13:45:00.0000000Z,2021-09-24T13:30:00.4890000Z,2021-09-24T13:44:59.8990000Z,6.678,7.144,6.678,6.77,96549.5,2272
2021-09-24T13:45:00.0000000Z,2021-09-24T14:00:00.0000000Z,2021-09-24T13:45:01.0240000Z,2021-09-24T13:59:58.2770000Z,6.768,6.94,6.718,6.919,67026.2,1568
2021-09-24T14:00:00.0000000Z,2021-09-24T14:15:00.0000000Z,2021-09-24T14:00:00.5630000Z,2021-09-24T14:14:58.7010000Z,6.92,7.144,6.918,7.025,106207.8,2184
2021-09-24T14:15:00.0000000Z,2021-09-24T14:30:00.0000000Z,2021-09-24T14:15:00.4710000Z,2021-09-24T14:29:58.6150000Z,7.025,7.099,6.86,7.094,84881.8,1641
2021-09-24T14:30:00.0000000Z,2021-09-24T14:45:00.0000000Z,2021-09-24T14:30:04.8910000Z,2021-09-24T14:44:54.2370000Z,7.095,7.178,6.984,7.08,68212.5,1315
2021-09-24T14:45:00.0000000Z,2021-09-24T15:00:00.0000000Z,2021-09-24T14:45:02.2190000Z,2021-09-24T14:59:59.7750000Z,7.08,7.081,6.881,6.884,51587.5,1010
2021-09-24T15:00:00.0000000Z,2021-09-24T15:15:00.0000000Z,2021-09-24T15:00:00.6100000Z,2021-09-24T15:14:56.5510000Z,6.894,6.906,6.77,6.807,36949.6,835
2021-09-24T15:15:00.0000000Z,2021-09-24T15:30:00.0000000Z,2021-09-24T15:15:02.3200000Z,2021-09-24T15:29:59.2220000Z,6.809,6.85,6.734,6.75,21126.6,513
2021-09-24T15:30:00.0000000Z,2021-09-24T15:45:00.0000000Z,2021-09-24T15:30:01.0570000Z,2021-09-24T15:44:57.7180000Z,6.74,6.74,6.6,6.633,52463.7,764
