time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-12-04T06:00:00.0000000Z,2021-12-04T06:15:00.0000000Z,2021-12-04T06:12:19.1040000Z,2021-12-04T06:14:58.0020000Z,24.04,25.0,20.17,21.53,12188.73,1152
2021-12-04T06:15:00.0000000Z,2021-12-04T06:30:00.0000000Z,2021-12-04T06:15:00.0940000Z,2021-12-04T06:29:55.6430000Z,21.51,25.0,18.24,18.93,42576.3,3002
2021-12-04T06:30:00.0000000Z,2021-12-04T06:45:00.0000000Z,2021-12-04T06:30:01.8700000Z,2021-12-04T06:44:49.0150000Z,19.1,19.42,16.5,17.28,29344.58,1285
2021-12-04T06:45:00.0000000Z,2021-12-04T07:00:00.0000000Z,2021-12-04T06:45:07.6290000Z,2021-12-04T06:59:50.5570000Z,17.24,17.25,15.61,16.84,23590.53,1172
2021-12-04T07:00:00.0000000Z,2021-12-04T07:15:00.0000000Z,2021-12-04T07:00:01.5520000Z,2021-12-04T07:14:57.1780000Z,16.81,16.82,13.23,13.58,37231.22,1880
2021-12-04T07:15:00.0000000Z,2021-12-04T07:30:00.0000000Z,2021-12-04T07:15:01.2880000Z,2021-12-04T07:29:38.5370000Z,13.6,15.3,12.79,14.36,16290.27,598
2021-12-04T07:30:00.0000000Z,2021-12-04T07:45:00.0000000Z,2021-12-04T07:30:23.6250000Z,2021-12-04T07:44:44.3960000Z,14.4,15.8,13.5,13.85,11960.49,677
2021-12-04T07:45:00.0000000Z,2021-12-04T08:00:00.0000000Z,2021-12-04T07:45:05.4400000Z,2021-12-04T07:59:57.2190000Z,13.9,15.23,13.49,14.88,8328.13,267
2021-12-04T08:00:00.0000000Z,2021-12-04T08:15:00.0000000Z,2021-12-04T08:00:00.9330000Z,2021-12-04T08:14:58.0200000Z,14.9,15.9,14.48,14.81,8229.31,405
2021-12-04T08:15:00.0000000Z,2021-12-04T08:30:00.0000000Z,2021-12-04T08:15:05.3950000Z,2021-12-04T08:29:59.3510000Z,14.81,21.0,14.81,17.36,27212.94,1530
2021-12-04T08:30:00.0000000Z,2021-12-04T08:45:00.0000000Z,2021-12-04T08:30:01.7120000Z,2021-12-04T08:44:57.2360000Z,17.37,20.9,17.16,20.62,43472.78,2200
2021-12-04T08:45:00.0000000Z,2021-12-04T09:00:00.0000000Z,2021-12-04T08:45:00.8930000Z,2021-12-04T08:59:58.6120000Z,20.61,20.61,16.81,18.34,33923.27,1853
2021-12-04T09:00:00.0000000Z,2021-12-04T09:15:00.0000000Z,2021-12-04T09:00:01.4350000Z,2021-12-04T09:14:51.1740000Z,18.49,18.5,16.29,16.71,16361.5,781
2021-12-04T09:15:00.0000000Z,2021-12-04T09:30:00.0000000Z,2021-12-04T09:15:01.4710000Z,2021-12-04T09:29:58.9180000Z,16.88,17.4,15.65,16.35,9327.23,530
2021-12-04T09:30:00.0000000Z,2021-12-04T09:45:00.0000000Z,2021-12-04T09:30:00.6530000Z,2021-12-04T09:44:58.2340000Z,16.37,18.04,16.07,17.88,13052.22,742
2021-12-04T09:45:00.0000000Z,2021-12-04T10:00:00.0000000Z,2021-12-04T09:45:00.7160000Z,2021-12-04T09:59:57.2230000Z,17.99,17.99,16.45,17.08,8770.28,467
2021-12-04T10:00:00.0000000Z,2021-12-04T10:15:00.0000000Z,2021-12-04T10:00:14.1700000Z,2021-12-04T10:14:55.0700000Z,17.28,17.55,16.0,16.47,11705.17,485
2021-12-04T10:15:00.0000000Z,2021-12-04T10:30:00.0000000Z,2021-12-04T10:15:06.6790000Z,2021-12-04T10:29:54.9710000Z,16.47,16.92,16.0,16.28,9492.48,368
2021-12-04T10:30:00.0000000Z,2021-12-04T10:45:00.0000000Z,2021-12-04T10:30:03.2360000Z,2021-12-04T10:44:49.3670000Z,16.28,16.8,15.13,15.85,11721.46,430
2021-12-04T10:45:00.0000000Z,2021-12-04T11:00:00.0000000Z,2021-12-04T10:45:15.5390000Z,2021-12-04T10:59:57.2550000Z,15.85,16.5,15.36,15.83,6235.44,269
2021-12-04T11:00:00.0000000Z,2021-12-04T11:15:00.0000000Z,2021-12-04T11:00:02.1980000Z,2021-12-04T11:14:55.6890000Z,15.89,16.25,15.46,16.15,5098.53,256
2021-12-04T11:15:00.0000000Z,2021-12-04T11:30:00.0000000Z,2021-12-04T11:15:00.1690000Z,2021-12-04T11:29:57.8500000Z,16.15,16.15,15.44,15.56,2331.58,110
