time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-14T12:15:00.0000000Z,2021-05-14T12:30:00.0000000Z,2021-05-14T12:25:48.8970000Z,2021-05-14T12:29:58.6460000Z,34.4,35.844,34.217,35.298,3622.49,305
2021-05-14T12:30:00.0000000Z,2021-05-14T12:45:00.0000000Z,2021-05-14T12:30:01.4300000Z,2021-05-14T12:44:47.9330000Z,35.092,37.145,33.725,34.995,16254.33,1199
2021-05-14T12:45:00.0000000Z,2021-05-14T13:00:00.0000000Z,2021-05-14T12:45:11.1590000Z,2021-05-14T12:59:59.4870000Z,34.988,37.3,34.988,36.0,24152.01,1507
2021-05-14T13:00:00.0000000Z,2021-05-14T13:15:00.0000000Z,2021-05-14T13:00:01.9390000Z,2021-05-14T13:14:58.6780000Z,36.123,36.946,35.021,36.789,5790.83,803
2021-05-14T13:15:00.0000000Z,2021-05-14T13:30:00.0000000Z,2021-05-14T13:15:05.3640000Z,2021-05-14T13:29:58.6530000Z,36.79,36.79,34.654,34.91,5381.49,764
2021-05-14T13:30:00.0000000Z,2021-05-14T13:45:00.0000000Z,2021-05-14T13:30:00.5220000Z,2021-05-14T13:44:55.1510000Z,34.999,36.0,34.801,35.198,3177.03,475
2021-05-14T13:45:00.0000000Z,2021-05-14T14:00:00.0000000Z,2021-05-14T13:45:01.7490000Z,2021-05-14T13:59:59.9210000Z,35.233,35.234,32.801,32.805,7691.74,867
2021-05-14T14:00:00.0000000Z,2021-05-14T14:15:00.0000000Z,2021-05-14T14:00:00.2150000Z,2021-05-14T14:14:49.2900000Z,32.989,34.0,32.7,32.963,6165.03,611
2021-05-14T14:15:00.0000000Z,2021-05-14T14:30:00.0000000Z,2021-05-14T14:15:10.9210000Z,2021-05-14T14:29:59.8600000Z,32.851,33.5,32.5,33.086,4658.91,561
2021-05-14T14:30:00.0000000Z,2021-05-14T14:45:00.0000000Z,2021-05-14T14:30:00.3810000Z,2021-05-14T14:44:57.7840000Z,33.087,34.2,31.829,32.954,6603.15,701
2021-05-14T14:45:00.0000000Z,2021-05-14T15:00:00.0000000Z,2021-05-14T14:45:08.4100000Z,2021-05-14T14:59:59.6870000Z,32.898,33.999,32.572,33.229,2682.92,528
2021-05-14T15:00:00.0000000Z,2021-05-14T15:15:00.0000000Z,2021-05-14T15:00:00.2120000Z,2021-05-14T15:14:59.9940000Z,33.293,40.0,32.7,33.594,8344.45,1180
2021-05-14T15:15:00.0000000Z,2021-05-14T15:30:00.0000000Z,2021-05-14T15:15:00.4050000Z,2021-05-14T15:29:57.1730000Z,33.594,35.525,32.9,32.9,6912.12,849
2021-05-14T15:30:00.0000000Z,2021-05-14T15:45:00.0000000Z,2021-05-14T15:30:03.5430000Z,2021-05-14T15:44:59.0340000Z,32.97,33.062,32.022,32.58,2654.74,445
2021-05-14T15:45:00.0000000Z,2021-05-14T16:00:00.0000000Z,2021-05-14T15:45:16.7780000Z,2021-05-14T15:59:55.3290000Z,32.665,33.751,32.151,32.302,4331.33,847
2021-05-14T16:00:00.0000000Z,2021-05-14T16:15:00.0000000Z,2021-05-14T16:00:31.0630000Z,2021-05-14T16:14:58.0180000Z,32.304,32.465,31.044,31.342,2055.0,469
2021-05-14T16:15:00.0000000Z,2021-05-14T16:30:00.0000000Z,2021-05-14T16:15:04.4470000Z,2021-05-14T16:29:46.0360000Z,31.429,31.879,30.501,31.156,2987.54,455
2021-05-14T16:30:00.0000000Z,2021-05-14T16:45:00.0000000Z,2021-05-14T16:30:05.7190000Z,2021-05-14T16:44:51.8650000Z,30.998,31.27,30.3,30.967,2055.47,394
2021-05-14T16:45:00.0000000Z,2021-05-14T17:00:00.0000000Z,2021-05-14T16:45:24.3270000Z,2021-05-14T16:59:54.3590000Z,30.945,31.681,30.347,30.693,1816.36,295
2021-05-14T17:00:00.0000000Z,2021-05-14T17:15:00.0000000Z,2021-05-14T17:00:40.5430000Z,2021-05-14T17:14:47.5410000Z,30.626,33.085,30.534,32.301,5055.68,665
2021-05-14T17:15:00.0000000Z,2021-05-14T17:30:00.0000000Z,2021-05-14T17:15:19.6570000Z,2021-05-14T17:29:56.5760000Z,32.301,33.45,31.584,33.34,2573.41,299
