time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-30T12:15:00.0000000Z,2021-04-30T12:30:00.0000000Z,2021-04-30T12:18:11.8820000Z,2021-04-30T12:29:59.4200000Z,11.39,11.96,11.0,11.58,31835.5,1516
2021-04-30T12:30:00.0000000Z,2021-04-30T12:45:00.0000000Z,2021-04-30T12:30:00.0240000Z,2021-04-30T12:44:59.9870000Z,11.58,14.13,11.58,13.34,132820.9,4108
2021-04-30T12:45:00.0000000Z,2021-04-30T13:00:00.0000000Z,2021-04-30T12:45:00.1670000Z,2021-04-30T12:59:59.9850000Z,13.34,14.25,12.26,12.7,96186.7,3437
2021-04-30T13:00:00.0000000Z,2021-04-30T13:15:00.0000000Z,2021-04-30T13:00:03.3240000Z,2021-04-30T13:14:59.9380000Z,12.73,12.88,11.84,11.9,43491.8,1262
2021-04-30T13:15:00.0000000Z,2021-04-30T13:30:00.0000000Z,2021-04-30T13:15:00.3660000Z,2021-04-30T13:29:56.5200000Z,11.91,12.28,11.9,12.04,24306.5,716
2021-04-30T13:30:00.0000000Z,2021-04-30T13:45:00.0000000Z,2021-04-30T13:30:02.4440000Z,2021-04-30T13:44:55.3530000Z,12.09,12.09,11.05,11.45,45491.4,1241
2021-04-30T13:45:00.0000000Z,2021-04-30T14:00:00.0000000Z,2021-04-30T13:45:01.6590000Z,2021-04-30T13:59:56.8610000Z,11.49,12.55,11.43,11.85,44816.8,1358
2021-04-30T14:00:00.0000000Z,2021-04-30T14:15:00.0000000Z,2021-04-30T14:00:01.8330000Z,2021-04-30T14:14:57.7470000Z,11.89,11.94,11.6,11.66,10215.9,457
2021-04-30T14:15:00.0000000Z,2021-04-30T14:30:00.0000000Z,2021-04-30T14:15:03.6340000Z,2021-04-30T14:29:58.7810000Z,11.66,11.88,11.23,11.77,32427.9,957
2021-04-30T14:30:00.0000000Z,2021-04-30T14:45:00.0000000Z,2021-04-30T14:30:01.6170000Z,2021-04-30T14:44:44.4150000Z,11.76,12.55,11.43,11.66,40535.0,1052
2021-04-30T14:45:00.0000000Z,2021-04-30T15:00:00.0000000Z,2021-04-30T14:45:00.1670000Z,2021-04-30T14:59:55.6150000Z,11.66,11.83,11.2,11.2,16044.7,574
