time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-23T12:00:00.0000000Z,2021-07-23T12:15:00.0000000Z,2021-07-23T12:01:32.6300000Z,2021-07-23T12:14:59.9800000Z,0.74,1.36424,0.69058,1.004,17525375.0,45977
2021-07-23T12:15:00.0000000Z,2021-07-23T12:30:00.0000000Z,2021-07-23T12:15:00.0840000Z,2021-07-23T12:29:59.5700000Z,1.00002,1.09647,0.86491,0.87386,8055854.0,24707
2021-07-23T12:30:00.0000000Z,2021-07-23T12:45:00.0000000Z,2021-07-23T12:30:00.0070000Z,2021-07-23T12:44:59.4040000Z,0.8739,1.0,0.86325,0.92804,5015858.0,17013
2021-07-23T12:45:00.0000000Z,2021-07-23T13:00:00.0000000Z,2021-07-23T12:45:00.1560000Z,2021-07-23T12:59:59.4300000Z,0.92807,0.997,0.92805,0.97589,3469386.0,12081
2021-07-23T13:00:00.0000000Z,2021-07-23T13:15:00.0000000Z,2021-07-23T13:00:00.5930000Z,2021-07-23T13:14:59.2170000Z,0.9745,0.98042,0.8837,0.89177,3177981.0,10526
2021-07-23T13:15:00.0000000Z,2021-07-23T13:30:00.0000000Z,2021-07-23T13:15:00.3970000Z,2021-07-23T13:29:59.0450000Z,0.89019,0.92499,0.89019,0.90866,1919744.0,6131
2021-07-23T13:30:00.0000000Z,2021-07-23T13:45:00.0000000Z,2021-07-23T13:30:00.9550000Z,2021-07-23T13:44:59.8400000Z,0.90999,0.915,0.812,0.822,2240531.0,6834
2021-07-23T13:45:00.0000000Z,2021-07-23T14:00:00.0000000Z,2021-07-23T13:45:00.1240000Z,2021-07-23T13:59:59.6620000Z,0.82,0.85162,0.78746,0.80301,2739196.0,7619
2021-07-23T14:00:00.0000000Z,2021-07-23T14:15:00.0000000Z,2021-07-23T14:00:00.1430000Z,2021-07-23T14:14:59.2570000Z,0.80001,0.87,0.79201,0.85476,2330753.0,6947
2021-07-23T14:15:00.0000000Z,2021-07-23T14:30:00.0000000Z,2021-07-23T14:15:01.9580000Z,2021-07-23T14:29:59.0540000Z,0.854,0.85474,0.79312,0.81989,1504322.0,4911
2021-07-23T14:30:00.0000000Z,2021-07-23T14:45:00.0000000Z,2021-07-23T14:30:00.0580000Z,2021-07-23T14:44:59.8900000Z,0.82103,0.8383,0.80837,0.81531,1213478.0,4221
