time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-22T06:00:00.0000000Z,2021-10-22T06:15:00.0000000Z,2021-10-22T06:01:56.7730000Z,2021-10-22T06:14:59.9980000Z,6.071,6.3,5.241,5.241,738677.1,11588
2021-10-22T06:15:00.0000000Z,2021-10-22T06:30:00.0000000Z,2021-10-22T06:15:00.1990000Z,2021-10-22T06:29:59.8660000Z,5.247,5.776,5.162,5.695,575509.9,10015
2021-10-22T06:30:00.0000000Z,2021-10-22T06:45:00.0000000Z,2021-10-22T06:30:00.3140000Z,2021-10-22T06:44:59.9350000Z,5.695,5.8,5.479,5.549,322375.3,5610
2021-10-22T06:45:00.0000000Z,2021-10-22T07:00:00.0000000Z,2021-10-22T06:45:00.2050000Z,2021-10-22T06:59:56.8780000Z,5.549,5.72,5.54,5.672,219069.7,3283
2021-10-22T07:00:00.0000000Z,2021-10-22T07:15:00.0000000Z,2021-10-22T07:00:00.7150000Z,2021-10-22T07:14:59.7250000Z,5.678,5.68,4.78,5.096,552601.2,8089
2021-10-22T07:15:00.0000000Z,2021-10-22T07:30:00.0000000Z,2021-10-22T07:15:01.4960000Z,2021-10-22T07:29:59.9080000Z,5.107,5.132,4.85,5.126,235744.2,3091
2021-10-22T07:30:00.0000000Z,2021-10-22T07:45:00.0000000Z,2021-10-22T07:30:00.0930000Z,2021-10-22T07:44:58.6050000Z,5.132,5.134,4.825,4.978,151376.7,2431
2021-10-22T07:45:00.0000000Z,2021-10-22T08:00:00.0000000Z,2021-10-22T07:45:00.9390000Z,2021-10-22T07:59:57.7160000Z,4.976,4.998,4.65,4.719,129306.8,2168
2021-10-22T08:00:00.0000000Z,2021-10-22T08:15:00.0000000Z,2021-10-22T08:00:02.7240000Z,2021-10-22T08:14:58.2630000Z,4.719,4.949,4.715,4.735,151783.5,2391
2021-10-22T08:15:00.0000000Z,2021-10-22T08:30:00.0000000Z,2021-10-22T08:15:00.7220000Z,2021-10-22T08:29:59.5810000Z,4.735,4.999,4.685,4.921,127992.8,2385
2021-10-22T08:30:00.0000000Z,2021-10-22T08:45:00.0000000Z,2021-10-22T08:30:00.6280000Z,2021-10-22T08:44:59.0370000Z,4.921,5.159,4.921,5.094,205786.9,3134
2021-10-22T08:45:00.0000000Z,2021-10-22T09:00:00.0000000Z,2021-10-22T08:45:00.3590000Z,2021-10-22T08:59:53.6440000Z,5.093,5.093,4.831,4.886,124538.3,1966
2021-10-22T09:00:00.0000000Z,2021-10-22T09:15:00.0000000Z,2021-10-22T09:00:03.5630000Z,2021-10-22T09:14:59.4530000Z,4.877,5.2,4.789,5.095,112906.2,2613
2021-10-22T09:15:00.0000000Z,2021-10-22T09:30:00.0000000Z,2021-10-22T09:15:01.3700000Z,2021-10-22T09:29:59.5440000Z,5.094,5.094,4.9,4.992,97554.2,1812
2021-10-22T09:30:00.0000000Z,2021-10-22T09:45:00.0000000Z,2021-10-22T09:30:01.7360000Z,2021-10-22T09:44:58.6510000Z,4.982,5.038,4.801,4.847,80452.4,1723
