time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-24T11:00:01.4130000Z,2021-02-28T23:59:40.5710000Z,19.7,28.0,8.547,9.464,2159221.035,160846
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:01:41.6330000Z,2021-03-31T23:49:05.4300000Z,9.464,19.051,9.329,10.873,1782778.766,180094
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:16:37.0870000Z,2021-04-30T23:56:46.7440000Z,10.911,15.5,8.8,10.924,850941.957,82432
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:05:17.9570000Z,2021-05-31T23:59:55.4320000Z,11.006,20.954,6.493,7.652,3590050.937,408338
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:16.0820000Z,2021-06-30T23:54:38.0000000Z,7.656,9.575,5.51,6.061,2863011.864,162661
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:15:22.4430000Z,2021-07-31T23:59:42.6310000Z,6.061,9.37,5.79,8.766,1139668.26,100341
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:02:05.5460000Z,2021-08-31T23:57:40.8890000Z,8.762,10.942,8.0,8.075,1081288.732,94056
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:01:35.5620000Z,2021-09-30T23:58:11.0590000Z,8.083,16.618,7.373,8.884,10959618.571,643212
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:03.3340000Z,2021-10-31T23:51:48.4890000Z,8.9,10.28,7.961,8.555,1363036.0,103916
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:01:40.7970000Z,2021-11-30T23:54:54.0370000Z,8.525,8.854,6.056,6.32,1219457.756,60003
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:02:39.6970000Z,2021-12-02T16:09:45.8480000Z,6.285,6.627,6.123,6.193,36197.0,2792
