time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-01T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-05T08:30:00.0000000Z,2021-01-31T23:57:26.2620000Z,1.588,4.12,1.588,2.8041,81344743.64,568207
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-01T00:02:04.9990000Z,2021-02-28T23:56:02.8550000Z,2.8042,6.6,2.765,3.818,53849391.06,824851
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:01:05.9200000Z,2021-03-31T23:59:22.6570000Z,3.7991,5.0191,3.2493,4.6393,38501922.65,602374
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:04.4480000Z,2021-04-30T23:59:50.8940000Z,4.6403,7.2537,3.7,5.4082,66459506.06,1232261
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:20.8950000Z,2021-05-31T23:59:59.7170000Z,5.4075,6.7,2.2,3.4971,81790946.23,1540878
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:00.0850000Z,2021-06-30T23:59:50.7860000Z,3.4971,4.68,1.6501,3.0815,119011067.17,1681866
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:02.2480000Z,2021-07-31T23:59:59.1190000Z,3.0816,3.738,2.1,2.7698,72391933.67,1015778
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:01.6990000Z,2021-08-31T23:59:58.9030000Z,2.7699,10.957,2.5673,5.515,180876693.85,2498419
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:01.3480000Z,2021-09-30T23:59:58.3460000Z,5.514,8.284,3.786,5.645,430644330.9,5646696
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:08.6590000Z,2021-10-31T23:59:55.0180000Z,5.645,7.865,5.1,6.236,193491006.9,3270973
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:11.9200000Z,2021-11-30T23:59:58.6630000Z,6.233,6.776,4.486,5.154,110121869.7,1731883
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:06.7030000Z,2021-12-02T16:09:45.5600000Z,5.16,5.262,4.74,4.924,4776288.3,69694
