time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-29T11:00:00.0000000Z,2021-03-31T23:59:56.7700000Z,1.288,1.987,1.1,1.12,5649444.391,26446
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:02:50.0500000Z,2021-04-30T23:55:39.2780000Z,1.127,1.371,0.779,0.997,17189533.064,140269
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:13.1820000Z,2021-05-31T23:59:01.4690000Z,1.0,1.088,0.257,0.409,20739557.559,110663
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:12.7380000Z,2021-06-30T23:58:07.7610000Z,0.408,0.524,0.168,0.252,65146795.708,110386
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:16:35.1180000Z,2021-07-31T23:59:37.6320000Z,0.251,0.289,0.179,0.215,47404977.388,58639
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:01:07.0790000Z,2021-08-31T23:59:52.2540000Z,0.216,0.41,0.198,0.2986,251301992.437,365723
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:03:50.6470000Z,2021-09-30T23:59:58.6230000Z,0.2965,0.8443,0.2352,0.3054,1176426248.697,2006122
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:07.1090000Z,2021-10-31T23:59:53.6670000Z,0.3055,0.423,0.29,0.3154,254332262.0,468264
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:01.6170000Z,2021-11-30T23:58:30.9430000Z,0.3155,0.3817,0.2559,0.278,112342893.0,271637
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:01:00.5490000Z,2021-12-02T16:09:51.8740000Z,0.2779,0.301,0.2726,0.2931,6066845.0,15327
