time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-13T08:00:01.6460000Z,2021-03-31T23:59:48.5380000Z,0.95,1.09,0.4448,0.5007,447922789.09,921224
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:09.2990000Z,2021-04-30T23:59:54.7090000Z,0.5009,0.8402,0.3224,0.571,1128646897.01,1918234
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:06.6680000Z,2021-05-31T23:59:47.9550000Z,0.571,0.571,0.1645,0.282,929671077.34,1125651
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:24.4740000Z,2021-06-30T23:58:39.9790000Z,0.2816,0.3685,0.1788,0.254,1298335816.53,1055821
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:05.6690000Z,2021-07-31T23:59:54.5400000Z,0.254,0.2843,0.1987,0.2649,585710502.97,499877
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:00.6380000Z,2021-08-31T23:59:56.7850000Z,0.2651,0.4147,0.2532,0.3662,773728134.83,724377
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:23.0430000Z,2021-09-30T23:59:52.5910000Z,0.3656,0.4498,0.2412,0.2618,473989062.06,420443
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:05.8570000Z,2021-10-31T23:59:59.3750000Z,0.262,0.66,0.2578,0.4176,883443982.88,924660
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:04.0960000Z,2021-11-30T23:59:56.5750000Z,0.4172,0.5952,0.4042,0.438,1024648953.0,1446712
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:00.9590000Z,2021-12-02T16:09:20.6730000Z,0.4386,0.4541,0.4123,0.4231,17724694.0,25676
