time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-01T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-26T12:00:00.0000000Z,2021-01-31T23:59:59.7180000Z,0.006088,0.0082,0.00485,0.005313,5467678370.0,182684
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-01T00:00:02.7820000Z,2021-02-28T23:59:59.0370000Z,0.005314,0.018284,0.005203,0.010035,20605811699.0,971509
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:02.2270000Z,2021-03-31T23:59:59.4360000Z,0.010035,0.04447,0.009647,0.041963,27346966328.0,2285966
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:01.7970000Z,2021-04-30T23:59:59.9840000Z,0.04195,0.042093,0.015142,0.026041,17537655921.0,2022183
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:04.3780000Z,2021-05-31T23:59:44.4790000Z,0.026039,0.042,0.0101,0.014642,29123887325.0,2640902
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:03.9330000Z,2021-06-30T23:59:53.6310000Z,0.0146,0.02481,0.01,0.012583,19765599791.0,1504138
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:04.8920000Z,2021-07-31T23:59:57.2650000Z,0.012602,0.012613,0.007845,0.010417,8499708871.0,452174
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:20.3860000Z,2021-08-31T23:59:40.6140000Z,0.010417,0.0195,0.010062,0.01439,13080595669.0,814477
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:00.6120000Z,2021-09-30T23:59:50.1070000Z,0.01438,0.02319,0.01088,0.01224,24380091300.0,1570896
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:04.1910000Z,2021-10-31T23:59:59.5650000Z,0.01226,0.0252,0.01208,0.02008,20840394029.0,1375713
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:01.8700000Z,2021-11-30T23:59:48.9350000Z,0.0201,0.03567,0.01907,0.02996,27041607822.0,2521906
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:03.8680000Z,2021-12-02T16:09:51.2430000Z,0.02998,0.03206,0.02827,0.02902,620643437.0,65343
