time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-01T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-21T08:00:00.0000000Z,2021-01-31T23:50:35.1540000Z,5.44,8.4,3.574,3.85,3357270.269,46899
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-01T00:02:48.1550000Z,2021-02-28T23:58:23.9430000Z,3.834,15.0,3.712,6.459,7829290.515,167936
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:06.3470000Z,2021-03-31T23:51:57.1430000Z,6.52,36.571,6.407,22.822,9516161.642,472810
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:02.4840000Z,2021-04-30T23:59:06.0710000Z,22.822,31.873,17.925,21.193,11147172.553,232761
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:01:02.1020000Z,2021-05-31T23:59:45.8950000Z,21.193,21.8,4.834,6.439,37986790.912,470965
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:02.9200000Z,2021-06-30T23:59:59.0840000Z,6.432,8.8,2.618,3.488,90682083.121,633415
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:04.9490000Z,2021-07-31T23:59:40.5190000Z,3.479,23.499,3.054,13.036,107923941.071,2344651
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:01:35.8260000Z,2021-08-31T23:59:45.3410000Z,13.036,22.9,10.475,16.0,16454356.077,1146253
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:01.9420000Z,2021-09-30T23:59:34.2550000Z,15.99,17.85,9.59,12.12,15083689.534,843920
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:43.6110000Z,2021-10-31T23:57:35.3080000Z,12.13,15.09,11.65,12.2,3812225.55,359960
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:09:52.3530000Z,2021-11-30T23:59:49.6350000Z,12.21,20.61,11.3,14.98,5727071.66,533537
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:26.1600000Z,2021-12-02T16:09:46.8530000Z,14.98,16.85,13.9,14.08,387736.26,38036
