time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-03T08:00:00.0000000Z,2021-03-31T23:59:24.4390000Z,3.341,4.88,2.578,3.845,42759939.587,596839
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:09.0560000Z,2021-04-30T23:59:59.7180000Z,3.862,4.47,1.56,3.19,53065440.678,679480
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:08.9400000Z,2021-05-31T23:59:19.2660000Z,3.192,4.64,0.967,1.344,162575698.528,1642391
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:22.1360000Z,2021-06-30T23:55:08.2380000Z,1.344,1.738,0.586,0.726,88257327.226,553369
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:22.1570000Z,2021-07-31T23:59:58.9440000Z,0.728,1.097,0.588,0.966,96897881.114,431241
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:01.6330000Z,2021-08-31T23:59:43.4980000Z,0.967,4.061,0.864,2.1047,526402435.308,3856897
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:30.6010000Z,2021-09-30T23:59:08.5960000Z,2.0986,2.844,1.1835,1.4191,160674410.452,1348222
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:29.7080000Z,2021-10-31T23:59:52.3110000Z,1.4228,2.19,1.3997,1.6831,125079574.0,874971
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:07.8080000Z,2021-11-30T23:59:02.5300000Z,1.6852,2.53,1.3619,1.6545,166091608.0,1030352
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:09.5300000Z,2021-12-02T16:09:28.2160000Z,1.6589,1.7,1.6004,1.6254,3514123.0,21247
