time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-04T06:00:01.6850000Z,2021-02-28T23:59:59.1940000Z,15.0,18.8264,2.22,6.9102,345200253.08,6619566
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:01.1050000Z,2021-03-31T23:59:56.8140000Z,6.8798,12.5,6.8212,9.2442,97841346.09,3144459
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:05.0150000Z,2021-04-30T23:59:49.6910000Z,9.2709,13.39,6.6047,9.1557,86395236.63,3379603
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:00.3510000Z,2021-05-31T23:59:59.9130000Z,9.1343,9.983,2.0,3.5808,79512977.71,1856671
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:15.1560000Z,2021-06-30T23:59:57.0500000Z,3.5804,4.6139,1.9269,2.4036,52004859.15,836661
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:03.7910000Z,2021-07-31T23:59:59.1970000Z,2.4036,4.22,2.115,3.5746,124068161.77,1645330
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:01.6300000Z,2021-08-31T23:59:53.3780000Z,3.5689,5.98,3.37,5.35,122022648.14,2527653
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:11.3840000Z,2021-09-30T23:59:43.0500000Z,5.352,5.73,2.979,3.22,109588213.26,2307529
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:06.3100000Z,2021-10-31T23:59:58.0940000Z,3.219,5.3,3.167,5.118,86436120.3,2783225
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:01.3970000Z,2021-11-30T23:59:13.3400000Z,5.118,7.78,3.857,5.267,169512352.47,8527109
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:01.6080000Z,2021-12-02T16:09:48.3150000Z,5.264,5.429,4.78,4.882,5111027.5,176921
