time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-22T09:00:00.0000000Z,2021-03-31T23:59:42.0600000Z,0.68,1.3,0.52,0.8224,379305479.86,871362
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:06.4600000Z,2021-04-30T23:59:57.9660000Z,0.8246,0.99,0.3841,0.5037,697883177.52,1851571
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:20.5270000Z,2021-05-31T23:59:58.8890000Z,0.5036,0.7,0.123,0.248,880994468.14,1439326
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:06.0030000Z,2021-06-30T23:59:55.1510000Z,0.248,0.305,0.1339,0.1628,399882133.8,443739
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:22.6250000Z,2021-07-31T23:59:59.7340000Z,0.1629,0.2377,0.125,0.2237,747719041.67,591752
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:00.3020000Z,2021-08-31T23:59:56.7960000Z,0.2239,0.38,0.189,0.3063,766703555.26,704178
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:03.5530000Z,2021-09-30T23:59:54.6270000Z,0.3066,0.5693,0.247,0.2725,1068223497.61,1469000
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:06.6280000Z,2021-10-31T23:57:30.9370000Z,0.2724,0.365,0.2581,0.271,530069622.0,567853
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:16.2420000Z,2021-11-30T23:59:28.8390000Z,0.271,0.4777,0.2593,0.286,1182737567.0,1178183
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:05.3440000Z,2021-12-02T16:09:43.3850000Z,0.2862,0.3388,0.28,0.2937,78385297.0,70530
