time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-25T10:00:00.0000000Z,2021-03-31T23:59:31.7960000Z,2.71,4.9,1.937,3.492,10681825.206,155340
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:06.6520000Z,2021-04-30T23:59:07.0610000Z,3.521,4.0,1.475,2.355,30778056.956,475459
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:47.0320000Z,2021-05-31T23:59:39.7930000Z,2.353,3.0,0.364,0.816,36967630.228,299697
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:53.1750000Z,2021-06-30T23:59:37.8790000Z,0.816,0.889,0.276,0.454,81650320.159,348652
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:10.7570000Z,2021-07-31T23:59:51.9190000Z,0.455,0.96,0.362,0.783,250996096.6,932892
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:11.7250000Z,2021-08-31T23:59:13.5670000Z,0.784,1.225,0.654,0.8914,205249669.168,886320
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:05.9680000Z,2021-09-30T23:55:54.3920000Z,0.8911,1.1988,0.5334,0.5663,170238020.671,627242
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:03:20.5990000Z,2021-10-31T23:59:31.2330000Z,0.5678,1.2499,0.5542,0.9927,189325207.688,720183
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:07.7480000Z,2021-11-30T23:59:47.9780000Z,0.9927,2.2,0.9409,1.8345,139388025.548,1186356
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:35.1320000Z,2021-12-02T16:09:27.1050000Z,1.8347,2.0867,1.73,1.7913,3811752.0,39382
