time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-26T09:00:00.0000000Z,2021-02-28T23:59:25.8010000Z,0.5246,0.91,0.3296,0.4213,76284198.84,138056
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:06.6290000Z,2021-03-31T23:59:35.5720000Z,0.4214,1.2475,0.4155,0.722,628454467.97,2112552
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:00.4060000Z,2021-04-30T23:59:55.6840000Z,0.722,0.7894,0.2797,0.5159,748996215.86,1585903
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:00.9420000Z,2021-05-31T23:59:59.3240000Z,0.5159,0.6777,0.1124,0.2165,722167860.99,1440613
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:08.6810000Z,2021-06-30T23:59:06.9290000Z,0.2165,0.2367,0.0737,0.0971,634031657.56,725610
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:09.9110000Z,2021-07-31T23:59:53.7450000Z,0.097,0.2999,0.0851,0.226,2159021530.63,2304398
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:04.3020000Z,2021-08-31T23:59:15.2440000Z,0.2258,0.4958,0.1941,0.3115,1850435037.08,3173647
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:01.8740000Z,2021-09-30T23:59:30.4680000Z,0.311,0.4158,0.165,0.1811,745809969.66,1195836
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:43.9420000Z,2021-10-31T23:59:53.0760000Z,0.1813,0.3108,0.1714,0.2488,575643234.0,821090
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:00.3120000Z,2021-11-30T23:59:52.1500000Z,0.2489,0.5479,0.2277,0.4262,973533362.08,2377583
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:01.7900000Z,2021-12-02T16:09:15.7710000Z,0.4248,0.4547,0.3727,0.3812,26961171.0,80571
