time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-01T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-27T08:00:00.0000000Z,2021-01-31T23:59:53.4060000Z,0.1688,0.45,0.1688,0.2908,49774770.18,64240
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-01T00:02:10.4740000Z,2021-02-28T23:56:50.8060000Z,0.2908,0.8886,0.2861,0.461,90776697.74,290701
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:02:56.0690000Z,2021-03-31T23:58:05.9610000Z,0.4654,0.7,0.4585,0.6169,47846156.99,178398
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:02.8300000Z,2021-04-30T23:58:28.7220000Z,0.6172,0.873,0.5,0.6834,48562425.27,199980
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:01:14.2790000Z,2021-05-31T23:54:18.5060000Z,0.6834,1.3166,0.3397,0.5207,145840681.47,502279
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:24.5260000Z,2021-06-30T23:56:24.9370000Z,0.5207,0.6513,0.23,0.3306,143228983.71,185484
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:07.9470000Z,2021-07-31T23:59:50.0750000Z,0.3306,0.3996,0.26,0.3914,63043980.8,146384
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:19.3660000Z,2021-08-31T23:59:33.2000000Z,0.3916,0.9899,0.3541,0.8754,320091200.43,1019693
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:01:00.4630000Z,2021-09-30T23:57:19.6080000Z,0.8748,1.6519,0.8617,0.9823,368681505.26,1388103
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:16.0460000Z,2021-10-31T23:59:43.3290000Z,0.9842,1.45,0.9372,1.0407,229780822.0,767416
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:17.5670000Z,2021-11-30T23:56:08.3180000Z,1.042,1.375,0.9848,1.0423,149816307.0,657530
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:38.0790000Z,2021-12-02T16:09:46.5960000Z,1.0397,1.2717,1.027,1.1198,15450464.0,63768
