time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-23T09:00:30.5160000Z,2021-02-28T23:59:58.1820000Z,3.4066,3.6,1.8,2.1376,19514540.51,213186
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:11.4490000Z,2021-03-31T23:59:56.6970000Z,2.1375,4.05,2.0228,2.8247,36513385.23,870034
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:04.9300000Z,2021-04-30T23:59:38.9540000Z,2.8249,2.9488,1.019,1.9919,48799980.41,591863
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:32.5010000Z,2021-05-31T23:57:56.9560000Z,1.9889,2.3888,0.4743,0.9195,42593841.0,412751
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:00.9010000Z,2021-06-30T23:59:59.2790000Z,0.9141,1.8,0.5509,0.7544,32772219.65,285508
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:03.2970000Z,2021-07-31T23:59:41.8700000Z,0.7539,0.8423,0.4315,0.6578,58659354.48,195291
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:02:08.6250000Z,2021-08-31T23:59:07.3470000Z,0.6578,1.6567,0.6159,1.0986,119639780.05,608697
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:58.5390000Z,2021-09-30T23:59:44.3070000Z,1.095,1.7214,0.7667,0.9019,151819592.76,948654
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:46.1430000Z,2021-10-31T23:58:25.3830000Z,0.9021,1.25,0.8987,0.9998,70433653.0,445320
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:01:15.3970000Z,2021-11-30T23:53:26.9690000Z,0.9998,1.13,0.8139,0.8668,31021573.0,237461
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:01:44.0480000Z,2021-12-02T16:07:17.2000000Z,0.8668,0.8986,0.8226,0.8653,878912.0,6410
