time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-02T08:00:00.0000000Z,2021-03-31T23:59:27.4660000Z,51.8,64.9,34.101,37.091,4194160.748,676130
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:15.3700000Z,2021-04-30T23:59:26.8820000Z,36.864,53.792,23.634,34.636,5109653.995,831838
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:36.3400000Z,2021-05-31T23:59:45.5020000Z,34.737,47.739,3.063,12.588,8083198.502,966156
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:37.1390000Z,2021-06-30T23:58:56.1310000Z,12.619,20.538,7.024,9.402,9966031.03,622999
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:00.6020000Z,2021-07-31T23:59:52.4760000Z,9.371,12.364,6.566,11.69,5903707.478,318278
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:02.0270000Z,2021-08-31T23:59:49.7800000Z,11.686,34.0,10.316,24.6,18850333.769,1514135
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:00.5510000Z,2021-09-30T23:59:47.1460000Z,24.61,27.98,14.59,16.1,6590694.818,519896
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:40.7000000Z,2021-10-31T23:59:04.9490000Z,16.07,45.09,15.73,25.61,15199177.143,1509112
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:36.7140000Z,2021-11-30T23:58:28.7110000Z,25.6,56.915,22.77,26.37,11293962.351,1099193
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:12.1100000Z,2021-12-02T16:09:52.5240000Z,26.34,28.48,21.15,22.04,936189.37,65322
