time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-23T12:00:01.7810000Z,2021-02-28T23:59:54.5740000Z,13.199,18.5,10.321,11.843,326887.255,23054
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:13.5640000Z,2021-03-31T23:59:23.2910000Z,11.866,17.238,11.212,16.765,1466165.654,148021
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:09.8890000Z,2021-04-30T23:59:22.6600000Z,16.766,23.302,12.097,17.202,2538564.206,213824
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:17.3790000Z,2021-05-31T23:59:23.5340000Z,17.21,20.676,5.241,8.995,5114705.189,270574
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-02T00:00:04.9480000Z,2021-06-30T23:59:58.6680000Z,8.557,9.441,4.075,5.956,5192922.287,190213
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:10.5050000Z,2021-07-31T23:59:51.7890000Z,5.959,7.159,4.228,6.472,4563317.587,208681
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:42.7250000Z,2021-08-31T23:58:20.8600000Z,6.487,10.427,5.964,9.229,5384376.411,228209
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:25.1140000Z,2021-09-30T23:58:36.3800000Z,9.229,11.435,6.74,7.166,5101371.969,196760
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:04.5540000Z,2021-10-31T23:59:58.3150000Z,7.175,9.98,7.078,9.872,4769580.9,176065
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:02.3050000Z,2021-11-30T23:59:41.1740000Z,9.84,10.552,6.7,7.717,5594948.6,230273
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:01:42.8150000Z,2021-12-02T16:09:32.7610000Z,7.708,8.633,7.331,8.257,571306.7,18964
