time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-16T09:00:00.0000000Z,2021-03-31T23:59:23.2450000Z,1272.0,6450.0,1272.0,2063.94,69995.97306,629910
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:02:46.4140000Z,2021-04-30T23:59:42.5360000Z,2074.56,2618.0,1057.6,1771.55,43696.81909,267001
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:16.3700000Z,2021-05-31T23:57:14.0950000Z,1777.75,2123.0,371.48,954.49,49304.66426,257458
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:09.9270000Z,2021-06-30T23:58:45.0970000Z,945.82,1948.0,840.01,1061.15,30336.38319,245793
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:11.8330000Z,2021-07-31T23:59:46.3330000Z,1061.09,1106.0,651.43,989.62,19490.20308,108749
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:25.3480000Z,2021-08-31T23:56:12.4950000Z,989.12,1390.34,928.74,1022.5,18914.68353,166579
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:03:22.1070000Z,2021-09-30T23:58:11.0930000Z,1017.4,1695.0,920.2,1002.8,49562.32424,298978
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:10.7070000Z,2021-10-31T23:59:39.8170000Z,1002.8,1450.8,980.0,1315.3,26882.015,188136
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:01.6470000Z,2021-11-30T23:51:14.3350000Z,1315.3,1499.0,1034.6,1358.1,10897.404,111656
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:02:02.8170000Z,2021-12-02T16:09:53.5540000Z,1362.1,1650.0,1354.5,1536.0,4847.063,66086
